source	target	reference	reference_source
DED000910	4780	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000910	8856	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000910	5465	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000910	5468	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000979	7040	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000362	2099	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000362	4780	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000362	5465	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000362	5468	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000646	2099	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000646	4780	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000646	5468	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000646	6257	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000912	2353	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000912	3725	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000912	4780	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000912	8856	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	1051	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	2099	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	8856	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	5465	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	5468	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000647	4780	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000194	2353	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000194	3725	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000194	4780	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000194	5465	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000194	5467	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000194	5468	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	2353	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	3725	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	4086	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	4602	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	4780	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	5467	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	6774	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	7040	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000986	2099	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000986	8856	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000974	2099	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000974	10062	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000910	5467	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000910	2099	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000910	6257	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000915	2099	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
