source	target	reference	reference_source
DED000001	GO:0006743	PMID:39389441	Comparative Toxicogenomics Database (CTD)
DED000001	GO:0008152	PMID:35588986	Comparative Toxicogenomics Database (CTD)
DED000001	GO:0018874	PMID:35298131	Comparative Toxicogenomics Database (CTD)
DED000001	GO:0045333	PMID:33140513	Comparative Toxicogenomics Database (CTD)
DED000001	GO:0072593	PMID:39389441	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0000266	PMID:35158046	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0006117	PMID:30255327|PMID:34830855|PMID:39988212	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0046034	PMID:35158046	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0051560	PMID:35158046	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0051881	PMID:35158046	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0072593	PMID:35158046	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0001776	PMID:28733890|PMID:31381583|PMID:31988427|PMID:33749080|PMID:35092719|PMID:39842622|PMID:38866309|PMID:38914192	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0001780	PMID:33749080|PMID:39842622	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0002260	PMID:33749080|PMID:39842622	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0002262	PMID:39842622	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0004197	PMID:22960397	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0006520	PMID:38866309	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0006631	PMID:38866309	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0006749	PMID:33749080|PMID:35661779	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0006879	PMID:35661779	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0007005	PMID:35661779	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0008283	PMID:27339418|PMID:27853917	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0009437	PMID:38866309	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0016042	PMID:33749080|PMID:35661779	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0020027	PMID:35092719|PMID:35661779	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0030097	PMID:31988427|PMID:33749080|PMID:35661779|PMID:35661779|PMID:38914192|PMID:38866309|PMID:38914192	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0032776	PMID:31381583	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0034101	PMID:30567741|PMID:32293364|PMID:35092719|PMID:38866309|PMID:35661779|PMID:38866309|PMID:38914192	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0035702	PMID:33749080	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0035855	PMID:33749080	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0042129	PMID:35090963	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0042593	PMID:30346588	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0043436	PMID:38866309	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0043576	PMID:25108490	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0046034	PMID:27853917|PMID:35090963|PMID:35661779	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0048872	PMID:35661779	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0060218	PMID:35661779	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0071425	PMID:30567741	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0071838	PMID:33749080	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0072593	PMID:33749080	Comparative Toxicogenomics Database (CTD)
DED000005	GO:0008152	PMID:34089294	Comparative Toxicogenomics Database (CTD)
DED000006	GO:0042554	PMID:36184561	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0001510	PMID:39405678	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0003729	PMID:32406909	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0005977	PMID:31935557	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0006006	PMID:31935557	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0006520	PMID:38703806	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0006606	PMID:36534342	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0006611	PMID:33129825	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0006693	PMID:34339004	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0006749	PMID:28688901|PMID:28688901|PMID:32030632|PMID:31272005|PMID:32030632|PMID:34339004|PMID:36343453|PMID:36791901	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0006805	PMID:25194983	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0006874	PMID:26677073|PMID:34453993|PMID:35964836|PMID:37659621	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0007631	PMID:37442281	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0008283	PMID:23744399|PMID:24473123|PMID:26677073|PMID:28444938|PMID:35124418|PMID:38485781|PMID:38563870	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0014852	PMID:24960579	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0019627	PMID:38703806	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0032963	PMID:38703806	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0042554	PMID:34339004	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0042593	PMID:28952001	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0042756	PMID:37442281	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0044127	PMID:26529668	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0044255	PMID:30376133	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0044399	PMID:26529668	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0046459	PMID:36791901	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0051348	PMID:29572906	Comparative Toxicogenomics Database (CTD)
