source	target	reference	reference_source
DED000001	1109	PMID:27163852	Comparative Toxicogenomics Database (CTD)
DED000001	1645	PMID:27163852	Comparative Toxicogenomics Database (CTD)
DED000001	1646	PMID:27163852	Comparative Toxicogenomics Database (CTD)
DED000001	3141	PMID:26303405	Comparative Toxicogenomics Database (CTD)
DED000001	8644	PMID:27163852	Comparative Toxicogenomics Database (CTD)
DED000002	1277	PMID:17030193	Comparative Toxicogenomics Database (CTD)
DED000002	43	PMID:8292740	Comparative Toxicogenomics Database (CTD)
DED000002	4548	PMID:9590515	Comparative Toxicogenomics Database (CTD)
DED000002	4953	PMID:3986791	Comparative Toxicogenomics Database (CTD)
DED000002	5465	PMID:11022051|PMID:18703563	Comparative Toxicogenomics Database (CTD)
DED000002	5468	PMID:17030193	Comparative Toxicogenomics Database (CTD)
DED000002	847	PMID:11344824	Comparative Toxicogenomics Database (CTD)
DED000003	100	PMID:17562280	Comparative Toxicogenomics Database (CTD)
DED000003	11255	PMID:16616493	Comparative Toxicogenomics Database (CTD)
DED000003	1803	PMID:17977724	Comparative Toxicogenomics Database (CTD)
DED000003	210	PMID:3344524	Comparative Toxicogenomics Database (CTD)
DED000003	2645	PMID:26056850	Comparative Toxicogenomics Database (CTD)
DED000003	2798	PMID:18282756	Comparative Toxicogenomics Database (CTD)
DED000003	2908	PMID:17822897	Comparative Toxicogenomics Database (CTD)
DED000003	3558	PMID:1650334	Comparative Toxicogenomics Database (CTD)
DED000003	4790	PMID:15894107	Comparative Toxicogenomics Database (CTD)
DED000003	5970	PMID:15894107	Comparative Toxicogenomics Database (CTD)
DED000003	847	PMID:21511895	Comparative Toxicogenomics Database (CTD)
DED000006	824	PMID:17567590	Comparative Toxicogenomics Database (CTD)
DED000008	142	PMID:17011244|PMID:18707137|PMID:22387748|PMID:22387748	Comparative Toxicogenomics Database (CTD)
DED000008	2023	PMID:20196163	Comparative Toxicogenomics Database (CTD)
DED000008	210	PMID:15202869	Comparative Toxicogenomics Database (CTD)
DED000008	22059	PMID:16739126	Comparative Toxicogenomics Database (CTD)
DED000008	3551	PMID:10967126	Comparative Toxicogenomics Database (CTD)
DED000008	5170	PMID:17520061	Comparative Toxicogenomics Database (CTD)
DED000008	842	PMID:22387748	Comparative Toxicogenomics Database (CTD)
DED000008	847	PMID:31935557|PMID:34339004	Comparative Toxicogenomics Database (CTD)
DED000008	983	PMID:17373649	Comparative Toxicogenomics Database (CTD)
DED000009	1050	PMID:16737972	Comparative Toxicogenomics Database (CTD)
DED000009	10840	PMID:16385189	Comparative Toxicogenomics Database (CTD)
DED000009	10891	PMID:18755807	Comparative Toxicogenomics Database (CTD)
DED000009	1385	PMID:21655322	Comparative Toxicogenomics Database (CTD)
DED000009	1728	PMID:28442378	Comparative Toxicogenomics Database (CTD)
DED000009	23411	PMID:18239056|PMID:18755807|PMID:18755807|PMID:27984176|PMID:34470993	Comparative Toxicogenomics Database (CTD)
DED000009	2597	PMID:28962519	Comparative Toxicogenomics Database (CTD)
DED000009	266684	PMID:35301062	Comparative Toxicogenomics Database (CTD)
DED000009	2936	PMID:20020850|PMID:20923693|PMID:24972622|PMID:32151596|PMID:35156864|PMID:21086752|PMID:25111957|PMID:28412402	Comparative Toxicogenomics Database (CTD)
DED000009	2940	PMID:15922138	Comparative Toxicogenomics Database (CTD)
DED000009	3172	PMID:19637192	Comparative Toxicogenomics Database (CTD)
DED000009	3741	PMID:28284858	Comparative Toxicogenomics Database (CTD)
