source	target	reference	reference_source
DED000002	10059	PMID:35158046	Comparative Toxicogenomics Database (CTD)
DED000002	10138	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	1019	PMID:14636436|PMID:18234639	Comparative Toxicogenomics Database (CTD)
DED000002	1051	PMID:10613735	Comparative Toxicogenomics Database (CTD)
DED000002	1268	PMID:21863215	Comparative Toxicogenomics Database (CTD)
DED000002	1277	PMID:10069557|PMID:8660697|PMID:10733585|PMID:12065697|PMID:12223100|PMID:12419648|PMID:17952619|PMID:17030193|PMID:17949463	Comparative Toxicogenomics Database (CTD)
DED000002	1278	PMID:10069557|PMID:10729205|PMID:15130784|PMID:7768510|PMID:8294106|PMID:8660697|PMID:9143363|PMID:11343241|PMID:16025520	Comparative Toxicogenomics Database (CTD)
DED000002	1280	PMID:14722113|PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	1490	PMID:19280452	Comparative Toxicogenomics Database (CTD)
DED000002	1536	PMID:18845238	Comparative Toxicogenomics Database (CTD)
DED000002	1649	PMID:12612910	Comparative Toxicogenomics Database (CTD)
DED000002	1850	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	18811	PMID:14514435	Comparative Toxicogenomics Database (CTD)
DED000002	1958	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	1974	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	2177	PMID:18482162	Comparative Toxicogenomics Database (CTD)
DED000002	221079	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	22888	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	2335	PMID:11343241|PMID:33064461|PMID:8135774|PMID:14724836|PMID:7945571|PMID:8151099|PMID:8135774	Comparative Toxicogenomics Database (CTD)
DED000002	2353	PMID:11860963|PMID:12065697|PMID:12217933|PMID:7945571|PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	2539	PMID:8123704	Comparative Toxicogenomics Database (CTD)
DED000002	2669	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	27111	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	27289	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	2729	PMID:11439094	Comparative Toxicogenomics Database (CTD)
DED000002	3164	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	3280	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	3456	PMID:15885616	Comparative Toxicogenomics Database (CTD)
DED000002	3553	PMID:11344824|PMID:17050345|PMID:17050345	Comparative Toxicogenomics Database (CTD)
DED000002	3569	PMID:12419648|PMID:17050345|PMID:17952619	Comparative Toxicogenomics Database (CTD)
DED000002	3576	PMID:11344824|PMID:11344824|PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	3725	PMID:11978551|PMID:12065697|PMID:7945571	Comparative Toxicogenomics Database (CTD)
DED000002	4170	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	4313	PMID:12524413|PMID:7934638	Comparative Toxicogenomics Database (CTD)
DED000002	4318	PMID:19110045	Comparative Toxicogenomics Database (CTD)
DED000002	4320	PMID:11978551	Comparative Toxicogenomics Database (CTD)
DED000002	4782	PMID:7768510	Comparative Toxicogenomics Database (CTD)
DED000002	4793	PMID:14722113	Comparative Toxicogenomics Database (CTD)
DED000002	4843	PMID:18845238	Comparative Toxicogenomics Database (CTD)
DED000002	4929	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	51655	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	5328	PMID:10513995|PMID:15452360	Comparative Toxicogenomics Database (CTD)
DED000002	54093	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	5443	PMID:7704432	Comparative Toxicogenomics Database (CTD)
DED000002	54498	PMID:23707493	Comparative Toxicogenomics Database (CTD)
DED000002	5468	PMID:17030193	Comparative Toxicogenomics Database (CTD)
DED000002	57018	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	57035	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	57157	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	5742	PMID:17050345	Comparative Toxicogenomics Database (CTD)
DED000002	5743	PMID:17050345|PMID:19110045|PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	57679	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	581	PMID:16814256|PMID:35158046	Comparative Toxicogenomics Database (CTD)
DED000002	595	PMID:14636436|PMID:18234639	Comparative Toxicogenomics Database (CTD)
DED000002	5970	PMID:14722113	Comparative Toxicogenomics Database (CTD)
DED000002	6347	PMID:17050345	Comparative Toxicogenomics Database (CTD)
DED000002	6403	PMID:19036374	Comparative Toxicogenomics Database (CTD)
DED000002	64651	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	6498	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	65117	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	6696	PMID:18703563	Comparative Toxicogenomics Database (CTD)
DED000002	6720	PMID:12036955|PMID:12612910	Comparative Toxicogenomics Database (CTD)
DED000002	687	PMID:10733585	Comparative Toxicogenomics Database (CTD)
DED000002	7037	PMID:35595033	Comparative Toxicogenomics Database (CTD)
DED000002	7040	PMID:15130784|PMID:16025520|PMID:17650227|PMID:18234639	Comparative Toxicogenomics Database (CTD)
DED000002	7048	PMID:12223100	Comparative Toxicogenomics Database (CTD)
DED000002	7077	PMID:12524413	Comparative Toxicogenomics Database (CTD)
DED000002	7124	PMID:11344824|PMID:17050345|PMID:19036374|PMID:19036374	Comparative Toxicogenomics Database (CTD)
DED000002	728577	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	729230	PMID:19036374	Comparative Toxicogenomics Database (CTD)
