source	target	reference	reference_source
DED000979	7157	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000979	6932	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000979	6934	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000979	51176	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000979	83439	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000362	2353	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000362	3725	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000362	5465	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000362	5467	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000362	5468	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000362	8856	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000646	5914	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000646	5915	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000646	5916	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	7376	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	10062	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	4780	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	6932	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	6934	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	51176	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	83439	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	7040	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	1051	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	3175	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	8856	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000911	6720	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000974	2099	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000910	2099	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED001029	3576	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED001029	6347	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED001029	2152	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED001029	4312	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED001029	1435	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED001029	7056	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED001029	958	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED001029	3586	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED001029	10344	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED001029	5054	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED001029	4283	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED001029	7412	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED001029	3552	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED001029	4318	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000915	2099	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000466	2353	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000466	3725	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
DED000466	2099	ToxCast invitrodb v4.3	ToxCast invitrodb v4.3
