source	target	reference	reference_source
DED000835	AOP:3	AOP:3	AOP-Wiki
DED000012	AOP:10	AOP:10	AOP-Wiki
DED000461	AOP:10	AOP:10	AOP-Wiki
DED000056	AOP:10	AOP:10	AOP-Wiki
DED000049	AOP:10	AOP:10	AOP-Wiki
DED000049	AOP:561	AOP:561	AOP-Wiki
DED000584	AOP:10	AOP:10	AOP-Wiki
DED000504	AOP:12	AOP:12	AOP-Wiki
DED000504	AOP:499	AOP:499	AOP-Wiki
DED000504	AOP:500	AOP:500	AOP-Wiki
DED000504	AOP:552	AOP:552	AOP-Wiki
DED000504	AOP:555	AOP:555	AOP-Wiki
DED000504	AOP:556	AOP:556	AOP-Wiki
DED000504	AOP:558	AOP:558	AOP-Wiki
DED000504	AOP:560	AOP:560	AOP-Wiki
DED000442	AOP:17	AOP:17	AOP-Wiki
DED000270	AOP:17	AOP:17	AOP-Wiki
DED000270	AOP:492	AOP:492	AOP-Wiki
DED000119	AOP:17	AOP:17	AOP-Wiki
DED000633	AOP:23	AOP:23	AOP-Wiki
DED000633	AOP:376	AOP:376	AOP-Wiki
DED000633	AOP:496	AOP:496	AOP-Wiki
DED000351	AOP:25	AOP:25	AOP-Wiki
DED000351	AOP:346	AOP:346	AOP-Wiki
DED000825	AOP:37	AOP:37	AOP-Wiki
DED000807	AOP:37	AOP:37	AOP-Wiki
DED000807	AOP:323	AOP:323	AOP-Wiki
DED000608	AOP:37	AOP:37	AOP-Wiki
DED000608	AOP:457	AOP:457	AOP-Wiki
DED000164	AOP:38	AOP:38	AOP-Wiki
DED000091	AOP:38	AOP:38	AOP-Wiki
DED000972	AOP:42	AOP:42	AOP-Wiki
DED000972	AOP:159	AOP:159	AOP-Wiki
DED000972	AOP:175	AOP:175	AOP-Wiki
DED000972	AOP:271	AOP:271	AOP-Wiki
DED000972	AOP:363	AOP:363	AOP-Wiki
DED000670	AOP:42	AOP:42	AOP-Wiki
DED000670	AOP:159	AOP:159	AOP-Wiki
DED000670	AOP:175	AOP:175	AOP-Wiki
DED000670	AOP:271	AOP:271	AOP-Wiki
DED000670	AOP:363	AOP:363	AOP-Wiki
DED000424	AOP:54	AOP:54	AOP-Wiki
DED000424	AOP:176	AOP:176	AOP-Wiki
DED000015	AOP:54	AOP:54	AOP-Wiki
DED000192	AOP:54	AOP:54	AOP-Wiki
DED000471	AOP:561	AOP:561	AOP-Wiki
DED000099	AOP:106	AOP:106	AOP-Wiki
DED000286	AOP:106	AOP:106	AOP-Wiki
DED000286	AOP:561	AOP:561	AOP-Wiki
DED000071	AOP:107	AOP:107	AOP-Wiki
DED000992	AOP:107	AOP:107	AOP-Wiki
DED000610	AOP:131	AOP:131	AOP-Wiki
DED000165	AOP:136	AOP:136	AOP-Wiki
DED000121	AOP:504	AOP:504	AOP-Wiki
DED000611	AOP:175	AOP:175	AOP-Wiki
DED000064	AOP:346	AOP:346	AOP-Wiki
DED000813	AOP:154	AOP:154	AOP-Wiki
DED000465	AOP:440	AOP:440	AOP-Wiki
DED000465	AOP:503	AOP:503	AOP-Wiki
DED000078	AOP:440	AOP:440	AOP-Wiki
DED000665	AOP:167	AOP:167	AOP-Wiki
