source	target	reference	reference_source
DED000001	DED000139	Tanimoto coefficient: 0.54	RDKit
DED000001	DED000149	Tanimoto coefficient: 0.63	RDKit
DED000001	DED000151	Tanimoto coefficient: 0.59	RDKit
DED000001	DED000182	Tanimoto coefficient: 0.58	RDKit
DED000001	DED000258	Tanimoto coefficient: 0.55	RDKit
DED000001	DED000626	Tanimoto coefficient: 0.51	RDKit
DED000001	DED000792	Tanimoto coefficient: 0.51	RDKit
DED000001	DED000799	Tanimoto coefficient: 0.53	RDKit
DED000004	DED000170	Tanimoto coefficient: 0.73	RDKit
DED000004	DED000174	Tanimoto coefficient: 0.88	RDKit
DED000004	DED000697	Tanimoto coefficient: 0.52	RDKit
DED000006	DED000039	Tanimoto coefficient: 0.57	RDKit
DED000006	DED000160	Tanimoto coefficient: 0.57	RDKit
DED000006	DED000707	Tanimoto coefficient: 0.57	RDKit
DED000006	DED000771	Tanimoto coefficient: 0.55	RDKit
DED000006	DED000799	Tanimoto coefficient: 0.57	RDKit
DED000006	DED000820	Tanimoto coefficient: 0.57	RDKit
DED000012	DED000569	Tanimoto coefficient: 1.0	RDKit
DED000015	DED000885	Tanimoto coefficient: 0.89	RDKit
DED000017	DED000150	Tanimoto coefficient: 0.64	RDKit
DED000017	DED000702	Tanimoto coefficient: 0.64	RDKit
DED000018	DED000067	Tanimoto coefficient: 0.64	RDKit
DED000018	DED000244	Tanimoto coefficient: 0.52	RDKit
DED000020	DED000097	Tanimoto coefficient: 0.54	RDKit
DED000020	DED000152	Tanimoto coefficient: 0.54	RDKit
DED000021	DED000236	Tanimoto coefficient: 0.57	RDKit
DED000022	DED000023	Tanimoto coefficient: 0.69	RDKit
DED000022	DED000140	Tanimoto coefficient: 0.58	RDKit
DED000022	DED000279	Tanimoto coefficient: 0.51	RDKit
DED000023	DED000140	Tanimoto coefficient: 0.57	RDKit
DED000026	DED000249	Tanimoto coefficient: 0.51	RDKit
DED000028	DED000529	Tanimoto coefficient: 0.54	RDKit
DED000028	DED000574	Tanimoto coefficient: 0.66	RDKit
DED000028	DED000760	Tanimoto coefficient: 0.59	RDKit
DED000030	DED000200	Tanimoto coefficient: 0.7	RDKit
DED000030	DED000964	Tanimoto coefficient: 0.56	RDKit
DED000031	DED000036	Tanimoto coefficient: 0.53	RDKit
DED000031	DED000060	Tanimoto coefficient: 0.62	RDKit
DED000034	DED000092	Tanimoto coefficient: 0.51	RDKit
DED000034	DED000209	Tanimoto coefficient: 0.77	RDKit
DED000034	DED000367	Tanimoto coefficient: 0.58	RDKit
DED000034	DED000674	Tanimoto coefficient: 0.53	RDKit
DED000035	DED000879	Tanimoto coefficient: 0.74	RDKit
DED000036	DED000822	Tanimoto coefficient: 0.54	RDKit
DED000038	DED000425	Tanimoto coefficient: 1.0	RDKit
DED000039	DED000706	Tanimoto coefficient: 0.57	RDKit
DED000039	DED000799	Tanimoto coefficient: 0.57	RDKit
DED000039	DED000820	Tanimoto coefficient: 0.57	RDKit
DED000041	DED000103	Tanimoto coefficient: 0.61	RDKit
DED000041	DED000197	Tanimoto coefficient: 0.67	RDKit
DED000043	DED000093	Tanimoto coefficient: 0.52	RDKit
DED000043	DED000461	Tanimoto coefficient: 1.0	RDKit
DED000043	DED000536	Tanimoto coefficient: 0.55	RDKit
DED000043	DED001012	Tanimoto coefficient: 0.52	RDKit
DED000044	DED000210	Tanimoto coefficient: 0.56	RDKit
DED000044	DED000227	Tanimoto coefficient: 0.62	RDKit
DED000044	DED000388	Tanimoto coefficient: 0.56	RDKit
DED000044	DED000732	Tanimoto coefficient: 0.54	RDKit
DED000045	DED000076	Tanimoto coefficient: 0.64	RDKit
DED000045	DED000193	Tanimoto coefficient: 0.75	RDKit
DED000045	DED000281	Tanimoto coefficient: 0.72	RDKit
DED000045	DED000874	Tanimoto coefficient: 0.64	RDKit
DED000045	DED001013	Tanimoto coefficient: 0.6	RDKit
DED000047	DED000589	Tanimoto coefficient: 0.73	RDKit
DED000047	DED000639	Tanimoto coefficient: 0.6	RDKit
DED000048	DED000197	Tanimoto coefficient: 0.68	RDKit
DED000049	DED000512	Tanimoto coefficient: 1.0	RDKit
DED000049	DED000535	Tanimoto coefficient: 1.0	RDKit
DED000051	DED000526	Tanimoto coefficient: 1.0	RDKit
DED000051	DED000579	Tanimoto coefficient: 0.51	RDKit
DED000051	DED000749	Tanimoto coefficient: 0.51	RDKit
DED000051	DED000751	Tanimoto coefficient: 0.51	RDKit
DED000051	DED000769	Tanimoto coefficient: 0.51	RDKit
DED000051	DED000782	Tanimoto coefficient: 0.51	RDKit
