source	target	reference	reference_source
MESH:C538178	KE:10041	manually inferred	-
MESH:C538178	KE:2145	manually inferred	-
MESH:C563614	KE:1106	manually inferred	-
MESH:C566627	KE:1514	manually inferred	-
MESH:C566858	KE:2034	manually inferred	-
MESH:D000013	KE:10042	manually inferred	-
MESH:D000014	KE:577	manually inferred	-
MESH:D000015	KE:10013	manually inferred	-
MESH:D000014	KE:2050	manually inferred	-
MESH:D000015	KE:10042	manually inferred	-
MESH:D000022	KE:1295	manually inferred	-
MESH:D000077277	KE:885	manually inferred	-
MESH:D000077962	KE:10077	manually inferred	-
MESH:D000086382	KE:1847	manually inferred	-
MESH:D000138	KE:1135	manually inferred	-
MESH:D000169	KE:1633	manually inferred	-
MESH:D000419	KE:814	manually inferred	-
MESH:D001008	KE:402	manually inferred	-
MESH:D001169	KE:323	manually inferred	-
MESH:D001170	KE:827	manually inferred	-
MESH:D001172	KE:1750	manually inferred	-
MESH:D001249	KE:2086	manually inferred	-
MESH:D001254	KE:885	manually inferred	-
MESH:D001327	KE:1818	manually inferred	-
MESH:D001523	KE:2022	manually inferred	-
MESH:D001724	KE:10077	manually inferred	-
MESH:D001847	KE:1750	manually inferred	-
MESH:D001862	KE:2091	manually inferred	-
MESH:D002105	KE:1132	manually inferred	-
MESH:D002318	KE:317	manually inferred	-
MESH:D002583	KE:2154	manually inferred	-
MESH:D002690	KE:406	manually inferred	-
MESH:D002779	KE:357	manually inferred	-
MESH:D003248	KE:993	manually inferred	-
MESH:D003324	KE:1443	manually inferred	-
MESH:D003480	KE:1396	manually inferred	-
MESH:D003556	KE:793	manually inferred	-
MESH:D003643	KE:1964	manually inferred	-
MESH:D003677	KE:2145	manually inferred	-
MESH:D003866	KE:1346	manually inferred	-
MESH:D003872	KE:827	manually inferred	-
MESH:D003875	KE:827	manually inferred	-
MESH:D003876	KE:827	manually inferred	-
MESH:D003877	KE:827	manually inferred	-
MESH:D003920	KE:1953	manually inferred	-
MESH:D003924	KE:2119	manually inferred	-
MESH:D004195	KE:323	manually inferred	-
MESH:D004485	KE:827	manually inferred	-
MESH:D004487	KE:1769	manually inferred	-
MESH:D004890	KE:149	manually inferred	-
MESH:D004938	KE:1971	manually inferred	-
MESH:D005076	KE:827	manually inferred	-
MESH:D005128	KE:777	manually inferred	-
MESH:D005221	KE:10077	manually inferred	-
MESH:D005334	KE:1939	manually inferred	-
MESH:D005355	KE:1920	manually inferred	-
MESH:D005767	KE:993	manually inferred	-
MESH:D005911	KE:1106	manually inferred	-
MESH:D005921	KE:759	manually inferred	-
MESH:D006130	KE:10013	manually inferred	-
MESH:D006330	KE:1685	manually inferred	-
MESH:D006331	KE:1919	manually inferred	-
MESH:D006332	KE:2001	manually inferred	-
MESH:D006402	KE:250	manually inferred	-
MESH:D006463	KE:1603	manually inferred	-
MESH:D006471	KE:1130	manually inferred	-
MESH:D006501	KE:2034	manually inferred	-
MESH:D006505	KE:1820	manually inferred	-
MESH:D006521	KE:1549	manually inferred	-
MESH:D006529	KE:1395	manually inferred	-
MESH:D006946	KE:2018	manually inferred	-
MESH:D006949	KE:1060	manually inferred	-
MESH:D006967	KE:272	manually inferred	-
MESH:D006984	KE:2013	manually inferred	-
MESH:D006996	KE:52	manually inferred	-
MESH:D007003	KE:2071	manually inferred	-
MESH:D007022	KE:1846	manually inferred	-
MESH:D007105	KE:1411	manually inferred	-
MESH:D007172	KE:330	manually inferred	-
MESH:D007319	KE:1414	manually inferred	-
MESH:D007410	KE:1931	manually inferred	-
MESH:D007414	KE:1971	manually inferred	-
MESH:D007674	KE:1603	manually inferred	-
MESH:D007706	KE:1348	manually inferred	-
MESH:D007855	KE:768	manually inferred	-
MESH:D007960	KE:1132	manually inferred	-
MESH:D007964	KE:1411	manually inferred	-
MESH:D008103	KE:1395	manually inferred	-
MESH:D008107	KE:139	manually inferred	-
MESH:D008133	KE:444	manually inferred	-
MESH:D008231	KE:168	manually inferred	-
MESH:D008232	KE:272	manually inferred	-
MESH:D008268	KE:1877	manually inferred	-
MESH:D008630	KE:192	manually inferred	-
MESH:D008654	KE:1090	manually inferred	-
MESH:D008850	KE:1878	manually inferred	-
MESH:D009062	KE:1971	manually inferred	-
MESH:D009123	KE:1514	manually inferred	-
MESH:D009133	KE:868	manually inferred	-
MESH:D009135	KE:1043	manually inferred	-
MESH:D009139	KE:1151	manually inferred	-
MESH:D009205	KE:1929	manually inferred	-
MESH:D009389	KE:778	manually inferred	-
MESH:D009393	KE:1603	manually inferred	-
MESH:D009395	KE:767	manually inferred	-
MESH:D009404	KE:1603	manually inferred	-
MESH:D009783	KE:827	manually inferred	-
MESH:D009784	KE:445	manually inferred	-
MESH:D009901	KE:1643	manually inferred	-
MESH:D010051	KE:1052	manually inferred	-
MESH:D010051	KE:1971	manually inferred	-
MESH:D010182	KE:1750	manually inferred	-
MESH:D010302	KE:896	manually inferred	-
MESH:D010523	KE:1583	manually inferred	-
MESH:D010922	KE:1892	manually inferred	-
MESH:D011041	KE:768	manually inferred	-
MESH:D011141	KE:1953	manually inferred	-
MESH:D011164	KE:369	manually inferred	-
MESH:D011230	KE:885	manually inferred	-
MESH:D011297	KE:2050	manually inferred	-
MESH:D011507	KE:793	manually inferred	-
MESH:D011537	KE:1709	manually inferred	-
