source	target	reference	reference_source
20	GO:0019218	PMID:24201375	Gene Ontology (GO) - Experimental Evidence
20	GO:0032384	PMID:21810484	Gene Ontology (GO) - Experimental Evidence
20	GO:0032805	PMID:21810484	Gene Ontology (GO) - Experimental Evidence
20	GO:0090370	PMID:21810484	Gene Ontology (GO) - Experimental Evidence
20	GO:1901873	PMID:22086926	Gene Ontology (GO) - Experimental Evidence
20	GO:1902004	PMID:22086926	Gene Ontology (GO) - Experimental Evidence
20	GO:1902993	PMID:20704561	Gene Ontology (GO) - Experimental Evidence
20	GO:1902993	PMID:22086926	Gene Ontology (GO) - Experimental Evidence
20	GO:1905601	PMID:21810484	Gene Ontology (GO) - Experimental Evidence
94	GO:0030858	PMID:32561494	Gene Ontology (GO) - Experimental Evidence
94	GO:0045747	PMID:32561494	Gene Ontology (GO) - Experimental Evidence
183	GO:0090205	PMID:18971559	Gene Ontology (GO) - Experimental Evidence
183	GO:1901203	PMID:30729664	Gene Ontology (GO) - Experimental Evidence
183	GO:1902895	PMID:30729664	Gene Ontology (GO) - Experimental Evidence
183	GO:1990776	PMID:30729664	Gene Ontology (GO) - Experimental Evidence
185	GO:0090205	PMID:18971559	Gene Ontology (GO) - Experimental Evidence
190	GO:0010894	PMID:9384387	Gene Ontology (GO) - Experimental Evidence
205	GO:0071456	PMID:19130895|PMID:23474458|PMID:26980435	Gene Ontology (GO) - Experimental Evidence
207	GO:1900087	PMID:18483258	Gene Ontology (GO) - Experimental Evidence
287	GO:1903288	PMID:19805355	Gene Ontology (GO) - Experimental Evidence
346	GO:0019915	PMID:18809223	Gene Ontology (GO) - Experimental Evidence
351	GO:0043065	PMID:27241555	Gene Ontology (GO) - Experimental Evidence
351	GO:1900221	PMID:19057576	Gene Ontology (GO) - Experimental Evidence
367	GO:1903076	PMID:21310825	Gene Ontology (GO) - Experimental Evidence
367	GO:2001237	PMID:21310825	Gene Ontology (GO) - Experimental Evidence
405	GO:0045821	PMID:-	Gene Ontology (GO) - Experimental Evidence
545	GO:0051081	PMID:37788673|PMID:37832547	Gene Ontology (GO) - Experimental Evidence
