source	target	reference	reference_source
25	GO:0006979	PMID:17626041	Gene Ontology (GO) - Experimental Evidence
25	GO:0007204	PMID:24367707	Gene Ontology (GO) - Experimental Evidence
25	GO:0030845	PMID:24367707	Gene Ontology (GO) - Experimental Evidence
25	GO:0051444	PMID:20823226	Gene Ontology (GO) - Experimental Evidence
27	GO:0007200	PMID:24367707	Gene Ontology (GO) - Experimental Evidence
27	GO:0007204	PMID:24367707	Gene Ontology (GO) - Experimental Evidence
50	GO:0006099	PMID:9630632	Gene Ontology (GO) - Experimental Evidence
50	GO:0006101	PMID:9630632	Gene Ontology (GO) - Experimental Evidence
92	GO:0001934	PMID:17472960	Gene Ontology (GO) - Experimental Evidence
92	GO:0030509	PMID:17472960	Gene Ontology (GO) - Experimental Evidence
100	GO:0006154	PMID:8894685	Gene Ontology (GO) - Experimental Evidence
100	GO:0046103	PMID:8894685	Gene Ontology (GO) - Experimental Evidence
102	GO:0006509	PMID:18355449	Gene Ontology (GO) - Experimental Evidence
102	GO:0010629	PMID:24530397	Gene Ontology (GO) - Experimental Evidence
103	GO:0016553	PMID:9020165	Gene Ontology (GO) - Experimental Evidence
103	GO:0031054	PMID:23622242	Gene Ontology (GO) - Experimental Evidence
103	GO:0070922	PMID:23622242	Gene Ontology (GO) - Experimental Evidence
142	GO:0006974	PMID:24550317	Gene Ontology (GO) - Experimental Evidence
142	GO:0007005	PMID:25378300	Gene Ontology (GO) - Experimental Evidence
142	GO:0032042	PMID:25378300	Gene Ontology (GO) - Experimental Evidence
142	GO:0032880	PMID:24550317	Gene Ontology (GO) - Experimental Evidence
142	GO:0034599	PMID:25378300	Gene Ontology (GO) - Experimental Evidence
142	GO:0036211	PMID:25378300	Gene Ontology (GO) - Experimental Evidence
142	GO:0043504	PMID:25378300	Gene Ontology (GO) - Experimental Evidence
159	GO:0044208	PMID:27590927	Gene Ontology (GO) - Experimental Evidence
207	GO:0006468	PMID:14749367	Gene Ontology (GO) - Experimental Evidence
207	GO:0006924	PMID:14749367	Gene Ontology (GO) - Experimental Evidence
207	GO:0035556	PMID:14749367	Gene Ontology (GO) - Experimental Evidence
221	GO:0006979	PMID:20699116	Gene Ontology (GO) - Experimental Evidence
221	GO:0034599	PMID:20699116	Gene Ontology (GO) - Experimental Evidence
221	GO:0046185	PMID:20699116	Gene Ontology (GO) - Experimental Evidence
238	GO:0046777	PMID:9174053	Gene Ontology (GO) - Experimental Evidence
270	GO:0032263	PMID:29079593	Gene Ontology (GO) - Experimental Evidence
271	GO:0006188	PMID:23911318	Gene Ontology (GO) - Experimental Evidence
271	GO:0032263	PMID:29079593	Gene Ontology (GO) - Experimental Evidence
271	GO:0097009	PMID:23911318	Gene Ontology (GO) - Experimental Evidence
283	GO:0001525	PMID:8448182	Gene Ontology (GO) - Experimental Evidence
285	GO:0010467	PMID:28179430	Gene Ontology (GO) - Experimental Evidence
324	GO:0000281	PMID:17570218	Gene Ontology (GO) - Experimental Evidence
324	GO:0007026	PMID:17192415	Gene Ontology (GO) - Experimental Evidence
324	GO:0007094	PMID:17227893	Gene Ontology (GO) - Experimental Evidence
324	GO:0030335	PMID:17192415	Gene Ontology (GO) - Experimental Evidence
324	GO:0031274	PMID:17192415	Gene Ontology (GO) - Experimental Evidence
324	GO:0043065	PMID:17227893	Gene Ontology (GO) - Experimental Evidence
324	GO:0045732	PMID:12952940	Gene Ontology (GO) - Experimental Evidence
324	GO:0051988	PMID:17227893	Gene Ontology (GO) - Experimental Evidence
324	GO:0090090	PMID:12952940	Gene Ontology (GO) - Experimental Evidence
335	GO:0030301	PMID:10559507	Gene Ontology (GO) - Experimental Evidence
348	GO:0060999	PMID:24328732	Gene Ontology (GO) - Experimental Evidence
348	GO:0061000	PMID:24328732	Gene Ontology (GO) - Experimental Evidence
348	GO:1902951	PMID:24328732	Gene Ontology (GO) - Experimental Evidence
348	GO:1902952	PMID:24328732	Gene Ontology (GO) - Experimental Evidence
351	GO:0010468	PMID:29274751	Gene Ontology (GO) - Experimental Evidence
355	GO:0006915	PMID:9681877	Gene Ontology (GO) - Experimental Evidence
356	GO:0008625	PMID:26582200	Gene Ontology (GO) - Experimental Evidence
356	GO:0043065	PMID:14749367	Gene Ontology (GO) - Experimental Evidence
356	GO:1903514	PMID:26582200	Gene Ontology (GO) - Experimental Evidence
360	GO:0071456	PMID:24462679	Gene Ontology (GO) - Experimental Evidence
374	GO:0038134	PMID:8702723	Gene Ontology (GO) - Experimental Evidence
378	GO:0060996	PMID:23050017	Gene Ontology (GO) - Experimental Evidence
387	GO:0043542	PMID:20208559	Gene Ontology (GO) - Experimental Evidence
387	GO:0045666	PMID:17488780	Gene Ontology (GO) - Experimental Evidence
387	GO:0051496	PMID:15467718	Gene Ontology (GO) - Experimental Evidence
387	GO:0090051	PMID:20208559	Gene Ontology (GO) - Experimental Evidence
387	GO:0097498	PMID:20208559	Gene Ontology (GO) - Experimental Evidence
391	GO:0007266	PMID:12376551	Gene Ontology (GO) - Experimental Evidence
