source	target	reference	reference_source
71	GO:0001525	PMID:25705373	Gene Ontology (GO) - Experimental Evidence
284	GO:0051897	PMID:18425120	Gene Ontology (GO) - Experimental Evidence
284	GO:0070374	PMID:18425120	Gene Ontology (GO) - Experimental Evidence
348	GO:0097113	PMID:24328732	Gene Ontology (GO) - Experimental Evidence
348	GO:0097114	PMID:24328732	Gene Ontology (GO) - Experimental Evidence
719	GO:0019722	PMID:10571060	Gene Ontology (GO) - Experimental Evidence
960	GO:0006897	PMID:16945930	Gene Ontology (GO) - Experimental Evidence
1285	GO:0072577	PMID:10766752	Gene Ontology (GO) - Experimental Evidence
1285	GO:1905563	PMID:10766752	Gene Ontology (GO) - Experimental Evidence
2769	GO:0019722	PMID:10571060	Gene Ontology (GO) - Experimental Evidence
4000	GO:0090398	PMID:20458013	Gene Ontology (GO) - Experimental Evidence
4987	GO:0019722	PMID:10571060	Gene Ontology (GO) - Experimental Evidence
5295	GO:0000209	PMID:27708159	Gene Ontology (GO) - Experimental Evidence
6671	GO:0006357	PMID:7559627	Gene Ontology (GO) - Experimental Evidence
7010	GO:0051897	PMID:18425120	Gene Ontology (GO) - Experimental Evidence
7010	GO:0070374	PMID:18425120	Gene Ontology (GO) - Experimental Evidence
7114	GO:0033209	PMID:21343177	Gene Ontology (GO) - Experimental Evidence
7114	GO:0043124	PMID:21343177	Gene Ontology (GO) - Experimental Evidence
8882	GO:0006260	PMID:17068332	Gene Ontology (GO) - Experimental Evidence
10057	GO:0030213	PMID:15345330	Gene Ontology (GO) - Experimental Evidence
23126	GO:0000724	PMID:26721387	Gene Ontology (GO) - Experimental Evidence
25799	GO:0000082	PMID:11779640	Gene Ontology (GO) - Experimental Evidence
25799	GO:0008283	PMID:11779640	Gene Ontology (GO) - Experimental Evidence
25948	GO:0000209	PMID:27708159	Gene Ontology (GO) - Experimental Evidence
54209	GO:0038160	PMID:33097708	Gene Ontology (GO) - Experimental Evidence
64081	GO:0030512	PMID:23687415	Gene Ontology (GO) - Experimental Evidence
392255	GO:0001656	PMID:32737436	Gene Ontology (GO) - Experimental Evidence
401024	GO:0007288	PMID:30137358|PMID:30745215	Gene Ontology (GO) - Experimental Evidence
401024	GO:0030317	PMID:30745215	Gene Ontology (GO) - Experimental Evidence
401024	GO:0061512	PMID:30137358	Gene Ontology (GO) - Experimental Evidence
440193	GO:0046330	PMID:25062847	Gene Ontology (GO) - Experimental Evidence
653361	GO:0042554	PMID:2547247	Gene Ontology (GO) - Experimental Evidence
11450	GO:0010467	PMID:23015294	Gene Ontology (GO) - Experimental Evidence
11651	GO:0010467	PMID:31272455	Gene Ontology (GO) - Experimental Evidence
11750	GO:0007207	PMID:10570150	Gene Ontology (GO) - Experimental Evidence
11909	GO:0006357	PMID:11231009	Gene Ontology (GO) - Experimental Evidence
11909	GO:1990253	PMID:21533046	Gene Ontology (GO) - Experimental Evidence
12628	GO:0060041	PMID:30705315	Gene Ontology (GO) - Experimental Evidence
13433	GO:0043045	PMID:29117290	Gene Ontology (GO) - Experimental Evidence
14042	GO:0000902	PMID:18480751	Gene Ontology (GO) - Experimental Evidence
14042	GO:0007166	PMID:15177029	Gene Ontology (GO) - Experimental Evidence
14042	GO:0007369	PMID:10926768	Gene Ontology (GO) - Experimental Evidence
14042	GO:0007411	PMID:14605369	Gene Ontology (GO) - Experimental Evidence
14042	GO:0007420	PMID:14605369	Gene Ontology (GO) - Experimental Evidence
14042	GO:0007492	PMID:10926768	Gene Ontology (GO) - Experimental Evidence
14042	GO:0007498	PMID:10926768	Gene Ontology (GO) - Experimental Evidence
14042	GO:0008543	PMID:26295701	Gene Ontology (GO) - Experimental Evidence
14042	GO:0030210	PMID:10926768|PMID:15161920|PMID:15177029|PMID:18480751	Gene Ontology (GO) - Experimental Evidence
14042	GO:0048598	PMID:10926768	Gene Ontology (GO) - Experimental Evidence
14042	GO:0072112	PMID:18480751	Gene Ontology (GO) - Experimental Evidence
14043	GO:0006487	PMID:18337501	Gene Ontology (GO) - Experimental Evidence
14043	GO:0010467	PMID:18337501	Gene Ontology (GO) - Experimental Evidence
14043	GO:0051923	PMID:18337501	Gene Ontology (GO) - Experimental Evidence
14063	GO:0042311	PMID:9918574	Gene Ontology (GO) - Experimental Evidence
14265	GO:0035195	PMID:20159450	Gene Ontology (GO) - Experimental Evidence
14402	GO:0032229	PMID:19846622	Gene Ontology (GO) - Experimental Evidence
14402	GO:0060079	PMID:19846622	Gene Ontology (GO) - Experimental Evidence
14402	GO:0060080	PMID:19846622	Gene Ontology (GO) - Experimental Evidence
14402	GO:0098926	PMID:19846622	Gene Ontology (GO) - Experimental Evidence
14466	GO:0071425	PMID:22665763	Gene Ontology (GO) - Experimental Evidence
14580	GO:0006886	PMID:15135219	Gene Ontology (GO) - Experimental Evidence
14580	GO:0010467	PMID:15135219	Gene Ontology (GO) - Experimental Evidence
14580	GO:0070779	PMID:15135219	Gene Ontology (GO) - Experimental Evidence
14652	GO:0046879	PMID:23542788	Gene Ontology (GO) - Experimental Evidence
14676	GO:0019722	PMID:10571060	Gene Ontology (GO) - Experimental Evidence
16193	GO:0010467	PMID:20504903	Gene Ontology (GO) - Experimental Evidence
17257	GO:0010467	PMID:15615769	Gene Ontology (GO) - Experimental Evidence
18072	GO:0006915	PMID:17573818	Gene Ontology (GO) - Experimental Evidence
18072	GO:0007422	PMID:19436734	Gene Ontology (GO) - Experimental Evidence
18072	GO:0021888	PMID:23785158	Gene Ontology (GO) - Experimental Evidence
19164	GO:0010467	PMID:15009636	Gene Ontology (GO) - Experimental Evidence
19164	GO:0032469	PMID:15009636	Gene Ontology (GO) - Experimental Evidence
19164	GO:0098712	PMID:15009636	Gene Ontology (GO) - Experimental Evidence
19692	GO:0010467	PMID:16405968	Gene Ontology (GO) - Experimental Evidence
19701	GO:0008217	PMID:27754863	Gene Ontology (GO) - Experimental Evidence
19763	GO:0006325	PMID:16359901	Gene Ontology (GO) - Experimental Evidence
19763	GO:0006325	PMID:15525528	Gene Ontology (GO) - Experimental Evidence
19821	GO:0006325	PMID:16359901	Gene Ontology (GO) - Experimental Evidence
19821	GO:0006325	PMID:15525528	Gene Ontology (GO) - Experimental Evidence
20583	GO:0006325	PMID:17905753	Gene Ontology (GO) - Experimental Evidence
20846	GO:0043065	PMID:10692450	Gene Ontology (GO) - Experimental Evidence
20928	GO:0086003	PMID:31575858	Gene Ontology (GO) - Experimental Evidence
21809	GO:0010467	PMID:16245336	Gene Ontology (GO) - Experimental Evidence
22242	GO:0006468	PMID:21737451	Gene Ontology (GO) - Experimental Evidence
22632	GO:0010467	PMID:23942234	Gene Ontology (GO) - Experimental Evidence
26554	GO:0000209	PMID:27708159	Gene Ontology (GO) - Experimental Evidence
51810	GO:0016071	PMID:25921091	Gene Ontology (GO) - Experimental Evidence
56508	GO:0046879	PMID:23542788	Gene Ontology (GO) - Experimental Evidence
56532	GO:0038061	PMID:25367573	Gene Ontology (GO) - Experimental Evidence
59011	GO:0043503	PMID:18846255	Gene Ontology (GO) - Experimental Evidence
66333	GO:0009101	PMID:24854278	Gene Ontology (GO) - Experimental Evidence
66864	GO:0036325	PMID:27991863	Gene Ontology (GO) - Experimental Evidence
72171	GO:0060765	PMID:29057879	Gene Ontology (GO) - Experimental Evidence
72821	GO:0010467	PMID:16870743	Gene Ontology (GO) - Experimental Evidence
72821	GO:0061337	PMID:27932425	Gene Ontology (GO) - Experimental Evidence
83433	GO:0050829	PMID:29887864	Gene Ontology (GO) - Experimental Evidence
104271	GO:0006346	PMID:32381626	Gene Ontology (GO) - Experimental Evidence
105504	GO:0001736	PMID:26040895	Gene Ontology (GO) - Experimental Evidence
108655	GO:0060765	PMID:29057879	Gene Ontology (GO) - Experimental Evidence
109215	GO:0016071	PMID:25921091	Gene Ontology (GO) - Experimental Evidence
109215	GO:1990845	PMID:25921091	Gene Ontology (GO) - Experimental Evidence
114642	GO:0010628	PMID:22922464	Gene Ontology (GO) - Experimental Evidence
170762	GO:0034504	PMID:31481660	Gene Ontology (GO) - Experimental Evidence
170762	GO:0035196	PMID:31481660	Gene Ontology (GO) - Experimental Evidence
210973	GO:0006006	PMID:27708159	Gene Ontology (GO) - Experimental Evidence
210973	GO:0006629	PMID:27708159	Gene Ontology (GO) - Experimental Evidence
210973	GO:0010467	PMID:27708159	Gene Ontology (GO) - Experimental Evidence
210973	GO:0032868	PMID:27708159	Gene Ontology (GO) - Experimental Evidence
210973	GO:0043491	PMID:27708159	Gene Ontology (GO) - Experimental Evidence
216188	GO:0006635	PMID:33168096	Gene Ontology (GO) - Experimental Evidence
216742	GO:0008285	PMID:25775561	Gene Ontology (GO) - Experimental Evidence
216805	GO:0008285	PMID:25775561	Gene Ontology (GO) - Experimental Evidence
242316	GO:0016477	PMID:32737436	Gene Ontology (GO) - Experimental Evidence
329679	GO:0008285	PMID:25775561	Gene Ontology (GO) - Experimental Evidence
381485	GO:0050904	PMID:26452100	Gene Ontology (GO) - Experimental Evidence
387161	GO:0071425	PMID:29925839	Gene Ontology (GO) - Experimental Evidence
387163	GO:0071425	PMID:29925839	Gene Ontology (GO) - Experimental Evidence
545030	GO:0036037	PMID:30409884	Gene Ontology (GO) - Experimental Evidence
100038628	GO:0006094	PMID:29363576	Gene Ontology (GO) - Experimental Evidence
100038628	GO:0010467	PMID:29363576	Gene Ontology (GO) - Experimental Evidence
100038628	GO:1901142	PMID:29363576	Gene Ontology (GO) - Experimental Evidence
100124457	GO:0010467	PMID:28837808	Gene Ontology (GO) - Experimental Evidence
100124476	GO:0070371	PMID:26941017	Gene Ontology (GO) - Experimental Evidence
100124476	GO:1904738	PMID:26941017	Gene Ontology (GO) - Experimental Evidence
100124476	GO:1990874	PMID:26941017	Gene Ontology (GO) - Experimental Evidence
100316737	GO:0010467	PMID:30323063	Gene Ontology (GO) - Experimental Evidence
100316737	GO:0051450	PMID:30323063	Gene Ontology (GO) - Experimental Evidence
100499514	GO:0001503	PMID:19920351	Gene Ontology (GO) - Experimental Evidence
100499514	GO:0001649	PMID:19920351	Gene Ontology (GO) - Experimental Evidence
100499514	GO:0010467	PMID:19920351	Gene Ontology (GO) - Experimental Evidence
100499514	GO:0060348	PMID:19920351	Gene Ontology (GO) - Experimental Evidence
100503311	GO:0044782	PMID:20643351	Gene Ontology (GO) - Experimental Evidence
102465187	GO:0071425	PMID:29925839	Gene Ontology (GO) - Experimental Evidence
102465671	GO:0017148	PMID:28543680	Gene Ontology (GO) - Experimental Evidence
102636218	GO:0010467	PMID:28943435	Gene Ontology (GO) - Experimental Evidence
102636218	GO:0045444	PMID:28943435	Gene Ontology (GO) - Experimental Evidence
102636218	GO:0060612	PMID:28943435	Gene Ontology (GO) - Experimental Evidence
103164605	GO:0010467	PMID:24488179	Gene Ontology (GO) - Experimental Evidence
24434	GO:0030214	PMID:7354065	Gene Ontology (GO) - Experimental Evidence
24832	GO:0007267	PMID:22479590	Gene Ontology (GO) - Experimental Evidence
24832	GO:0070571	PMID:22479590	Gene Ontology (GO) - Experimental Evidence
25012	GO:0030073	PMID:20643776	Gene Ontology (GO) - Experimental Evidence
25139	GO:0007616	PMID:27881773	Gene Ontology (GO) - Experimental Evidence
116677	GO:0042311	PMID:11884377	Gene Ontology (GO) - Experimental Evidence
