source	target	reference	reference_source
20	GO:0046512	PMID:26510981	Gene Ontology (GO) - Experimental Evidence
351	GO:0031583	PMID:18723082	Gene Ontology (GO) - Experimental Evidence
672	GO:0044027	PMID:20820192	Gene Ontology (GO) - Experimental Evidence
949	GO:0042311	PMID:11792700	Gene Ontology (GO) - Experimental Evidence
1001	GO:0043568	PMID:22696062	Gene Ontology (GO) - Experimental Evidence
1119	GO:1905691	PMID:34077757	Gene Ontology (GO) - Experimental Evidence
1656	GO:0035278	PMID:27342281	Gene Ontology (GO) - Experimental Evidence
1861	GO:2000008	PMID:15505207	Gene Ontology (GO) - Experimental Evidence
2232	GO:0006744	PMID:38425362	Gene Ontology (GO) - Experimental Evidence
2525	GO:0009988	PMID:12668675	Gene Ontology (GO) - Experimental Evidence
3066	GO:0050847	PMID:18316616	Gene Ontology (GO) - Experimental Evidence
3172	GO:0006805	PMID:17827783	Gene Ontology (GO) - Experimental Evidence
3320	GO:0007004	PMID:10197982	Gene Ontology (GO) - Experimental Evidence
3326	GO:0007004	PMID:10197982	Gene Ontology (GO) - Experimental Evidence
3572	GO:0007259	PMID:8272873|PMID:27384491	Gene Ontology (GO) - Experimental Evidence
4284	GO:1990349	PMID:11001937	Gene Ontology (GO) - Experimental Evidence
4291	GO:1901796	PMID:15861129	Gene Ontology (GO) - Experimental Evidence
4609	GO:0044027	PMID:19786833	Gene Ontology (GO) - Experimental Evidence
5562	GO:1905691	PMID:34077757	Gene Ontology (GO) - Experimental Evidence
5563	GO:1905691	PMID:34077757	Gene Ontology (GO) - Experimental Evidence
5678	GO:0045589	PMID:27389696	Gene Ontology (GO) - Experimental Evidence
6622	GO:0006749	PMID:23507046	Gene Ontology (GO) - Experimental Evidence
6688	GO:0036462	PMID:28362429	Gene Ontology (GO) - Experimental Evidence
6781	GO:0030336	PMID:17032941	Gene Ontology (GO) - Experimental Evidence
6950	GO:0090666	PMID:25467444	Gene Ontology (GO) - Experimental Evidence
7430	GO:1902207	PMID:17911601	Gene Ontology (GO) - Experimental Evidence
7490	GO:0044027	PMID:23042785	Gene Ontology (GO) - Experimental Evidence
9349	GO:0070314	PMID:19160485	Gene Ontology (GO) - Experimental Evidence
9349	GO:1903450	PMID:15314173	Gene Ontology (GO) - Experimental Evidence
9470	GO:0035278	PMID:28487484	Gene Ontology (GO) - Experimental Evidence
9698	GO:0010608	PMID:28431233	Gene Ontology (GO) - Experimental Evidence
10211	GO:0044857	PMID:25204797	Gene Ontology (GO) - Experimental Evidence
10524	GO:1905691	PMID:34077757	Gene Ontology (GO) - Experimental Evidence
10565	GO:0009101	PMID:17227842	Gene Ontology (GO) - Experimental Evidence
10575	GO:0090666	PMID:25467444	Gene Ontology (GO) - Experimental Evidence
10576	GO:0090666	PMID:25467444	Gene Ontology (GO) - Experimental Evidence
10728	GO:0007004	PMID:10197982	Gene Ontology (GO) - Experimental Evidence
11046	GO:0015012	PMID:15082721	Gene Ontology (GO) - Experimental Evidence
11171	GO:0030512	PMID:23687415	Gene Ontology (GO) - Experimental Evidence
23112	GO:0035278	PMID:32354837	Gene Ontology (GO) - Experimental Evidence
23264	GO:0010608	PMID:28431233	Gene Ontology (GO) - Experimental Evidence
23369	GO:0010608	PMID:28431233	Gene Ontology (GO) - Experimental Evidence
23479	GO:0044572	PMID:29309586	Gene Ontology (GO) - Experimental Evidence
29066	GO:0010608	PMID:28431233	Gene Ontology (GO) - Experimental Evidence
30815	GO:0009988	PMID:12668675	Gene Ontology (GO) - Experimental Evidence
51490	GO:0010608	PMID:28431233	Gene Ontology (GO) - Experimental Evidence
51776	GO:0070269	PMID:35857590	Gene Ontology (GO) - Experimental Evidence
54209	GO:0007613	PMID:31462511	Gene Ontology (GO) - Experimental Evidence
54209	GO:0007613	PMID:29518357	Gene Ontology (GO) - Experimental Evidence
54209	GO:0035176	PMID:29752066	Gene Ontology (GO) - Experimental Evidence
55122	GO:0071630	PMID:34711951	Gene Ontology (GO) - Experimental Evidence
56052	GO:0006487	PMID:14973778|PMID:26931382	Gene Ontology (GO) - Experimental Evidence
56478	GO:0035278	PMID:24335285|PMID:27342281|PMID:28487484|PMID:32354837	Gene Ontology (GO) - Experimental Evidence
57393	GO:0017156	PMID:16330323	Gene Ontology (GO) - Experimental Evidence
57393	GO:0035773	PMID:16330323	Gene Ontology (GO) - Experimental Evidence
57724	GO:0034162	PMID:29130391	Gene Ontology (GO) - Experimental Evidence
60496	GO:0009258	PMID:19933275|PMID:21238436	Gene Ontology (GO) - Experimental Evidence
60526	GO:0160077	PMID:28578400	Gene Ontology (GO) - Experimental Evidence
63910	GO:1904669	PMID:23467297	Gene Ontology (GO) - Experimental Evidence
64924	GO:0006506	PMID:35525268	Gene Ontology (GO) - Experimental Evidence
79868	GO:0006487	PMID:22492991	Gene Ontology (GO) - Experimental Evidence
81035	GO:0044857	PMID:25204797	Gene Ontology (GO) - Experimental Evidence
84872	GO:0010608	PMID:28431233	Gene Ontology (GO) - Experimental Evidence
