source	target	reference	reference_source
50518	MESH:D003872	PMID:32937126	Comparative Toxicogenomics Database (CTD)
50518	MESH:D003920	PMID:1473152|PMID:25620042	Comparative Toxicogenomics Database (CTD)
50518	MESH:D003924	PMID:8146154	Comparative Toxicogenomics Database (CTD)
50518	MESH:D003928	PMID:37769864	Comparative Toxicogenomics Database (CTD)
50518	MESH:D004487	PMID:32937126	Comparative Toxicogenomics Database (CTD)
50518	MESH:D005183	PMID:32937126	Comparative Toxicogenomics Database (CTD)
50518	MESH:D005355	PMID:37769864	Comparative Toxicogenomics Database (CTD)
50518	MESH:D005667	PMID:32937126	Comparative Toxicogenomics Database (CTD)
50518	MESH:D018149	PMID:25620042	Comparative Toxicogenomics Database (CTD)
50518	MESH:D006504	PMID:32937126	Comparative Toxicogenomics Database (CTD)
50518	MESH:D006943	PMID:25620042|PMID:36977210|PMID:37769864	Comparative Toxicogenomics Database (CTD)
50518	MESH:D006949	PMID:25620042	Comparative Toxicogenomics Database (CTD)
50518	MESH:D006965	PMID:32937126	Comparative Toxicogenomics Database (CTD)
50518	MESH:D007642	PMID:32937126	Comparative Toxicogenomics Database (CTD)
50518	MESH:D008113	PMID:15175105	Comparative Toxicogenomics Database (CTD)
50518	MESH:D009369	PMID:1473152	Comparative Toxicogenomics Database (CTD)
50518	MESH:D009765	PMID:1473152|PMID:25447408|PMID:25448685|PMID:32937126|PMID:8146154	Comparative Toxicogenomics Database (CTD)
50518	MESH:D010859	PMID:32937126|PMID:8146154	Comparative Toxicogenomics Database (CTD)
50518	MESH:D011297	PMID:32937126	Comparative Toxicogenomics Database (CTD)
50518	MESH:D015430	PMID:37769864	Comparative Toxicogenomics Database (CTD)
1	MESH:D006529	PMID:28108177	Comparative Toxicogenomics Database (CTD)
1	MESH:D012559	PMID:25821032	Comparative Toxicogenomics Database (CTD)
2	MESH:D058186	PMID:23052191	Comparative Toxicogenomics Database (CTD)
2	MESH:D018248	PMID:15509519	Comparative Toxicogenomics Database (CTD)
2	MESH:D000544	PMID:15023809|PMID:9697696|PMID:9811940	Comparative Toxicogenomics Database (CTD)
2	MESH:D006528	PMID:15509519	Comparative Toxicogenomics Database (CTD)
2	MESH:D003110	PMID:15059925	Comparative Toxicogenomics Database (CTD)
2	MESH:D006527	PMID:23519153	Comparative Toxicogenomics Database (CTD)
2	MESH:D008103	PMID:26396155	Comparative Toxicogenomics Database (CTD)
2	MESH:D008106	PMID:25380136	Comparative Toxicogenomics Database (CTD)
2	MESH:D008171	PMID:2475424	Comparative Toxicogenomics Database (CTD)
2	MESH:D008175	PMID:17902193|PMID:19180532	Comparative Toxicogenomics Database (CTD)
2	MESH:D009404	PMID:11304663	Comparative Toxicogenomics Database (CTD)
144568	MESH:D010033	PMID:26121085	Comparative Toxicogenomics Database (CTD)
53947	MESH:D002051	PMID:11482875	Comparative Toxicogenomics Database (CTD)
8086	MESH:C536008	PMID:17853339|PMID:23315990	Comparative Toxicogenomics Database (CTD)
8086	MESH:D011471	PMID:24763052	Comparative Toxicogenomics Database (CTD)
13	MESH:D008106	PMID:25380136	Comparative Toxicogenomics Database (CTD)
51166	MESH:D006528	PMID:28284560	Comparative Toxicogenomics Database (CTD)
51166	MESH:D008106	PMID:25380136	Comparative Toxicogenomics Database (CTD)
79719	MESH:D007645	PMID:23064416	Comparative Toxicogenomics Database (CTD)
15	MESH:D020178	PMID:12736803	Comparative Toxicogenomics Database (CTD)
10157	MESH:D056486	PMID:25231249	Comparative Toxicogenomics Database (CTD)
18	MESH:D001321	PMID:15830322	Comparative Toxicogenomics Database (CTD)
18	MESH:C535407	PMID:10407778	Comparative Toxicogenomics Database (CTD)
18	MESH:D005764	PMID:21552517	Comparative Toxicogenomics Database (CTD)
18	MESH:D020022	PMID:21552517	Comparative Toxicogenomics Database (CTD)
18	MESH:D053609	PMID:10407778	Comparative Toxicogenomics Database (CTD)
18	MESH:D008106	PMID:25380136	Comparative Toxicogenomics Database (CTD)
18	MESH:D009123	PMID:10407778	Comparative Toxicogenomics Database (CTD)
18	MESH:D011596	PMID:10407778	Comparative Toxicogenomics Database (CTD)
18	MESH:D012021	PMID:10407778	Comparative Toxicogenomics Database (CTD)
18	MESH:D012640	PMID:10407778	Comparative Toxicogenomics Database (CTD)
19	MESH:D050197	PMID:22022523	Comparative Toxicogenomics Database (CTD)
19	MESH:D015179	PMID:22294766	Comparative Toxicogenomics Database (CTD)
19	MESH:C538394	PMID:10431236|PMID:11476965	Comparative Toxicogenomics Database (CTD)
19	MESH:D006937	PMID:22022523	Comparative Toxicogenomics Database (CTD)
19	MESH:D006938	PMID:16030523	Comparative Toxicogenomics Database (CTD)
19	MESH:D007676	PMID:19878707	Comparative Toxicogenomics Database (CTD)
19	MESH:D015473	PMID:32929351	Comparative Toxicogenomics Database (CTD)
19	MESH:D010523	PMID:21245421	Comparative Toxicogenomics Database (CTD)
19	MESH:D013631	PMID:10431236|PMID:11476965|PMID:17710129	Comparative Toxicogenomics Database (CTD)
10349	MESH:D015179	PMID:22294766	Comparative Toxicogenomics Database (CTD)
26154	MESH:D015179	PMID:22294766	Comparative Toxicogenomics Database (CTD)
26154	MESH:D017490	PMID:16675967	Comparative Toxicogenomics Database (CTD)
26154	MESH:D012008	PMID:35837087	Comparative Toxicogenomics Database (CTD)
26154	MESH:D013964	PMID:35837087	Comparative Toxicogenomics Database (CTD)
154664	MESH:D015179	PMID:22294766	Comparative Toxicogenomics Database (CTD)
154664	MESH:D018450	PMID:22294766	Comparative Toxicogenomics Database (CTD)
20	MESH:D000067877	PMID:35663546	Comparative Toxicogenomics Database (CTD)
21	MESH:D015179	PMID:22294766	Comparative Toxicogenomics Database (CTD)
21	MESH:D004646	PMID:26780485	Comparative Toxicogenomics Database (CTD)
21	MESH:D006976	PMID:26780485	Comparative Toxicogenomics Database (CTD)
21	MESH:D011658	PMID:26780485	Comparative Toxicogenomics Database (CTD)
24	MESH:D002971	PMID:20436469	Comparative Toxicogenomics Database (CTD)
24	MESH:D015179	PMID:22294766	Comparative Toxicogenomics Database (CTD)
24	MESH:D000080345	PMID:29207047	Comparative Toxicogenomics Database (CTD)
24	MESH:D008268	PMID:16968212	Comparative Toxicogenomics Database (CTD)
24	MESH:D012174	PMID:16968212	Comparative Toxicogenomics Database (CTD)
23461	MESH:D015179	PMID:22294766	Comparative Toxicogenomics Database (CTD)
23460	MESH:D015179	PMID:22294766	Comparative Toxicogenomics Database (CTD)
23460	MESH:D017449	PMID:17374397	Comparative Toxicogenomics Database (CTD)
10347	MESH:D000544	PMID:21460840|PMID:25807283	Comparative Toxicogenomics Database (CTD)
10347	MESH:D018450	PMID:22294766	Comparative Toxicogenomics Database (CTD)
10351	MESH:D000067877	PMID:35663546	Comparative Toxicogenomics Database (CTD)
10351	MESH:D001943	PMID:35191604	Comparative Toxicogenomics Database (CTD)
10351	MESH:D015179	PMID:22294766	Comparative Toxicogenomics Database (CTD)
