source	target	reference	reference_source
2	GO:0002020	PMID:7679575|PMID:18485748	Gene Ontology (GO) - Experimental Evidence
2	GO:0004866	PMID:7679575	Gene Ontology (GO) - Experimental Evidence
2	GO:0004867	PMID:12538697	Gene Ontology (GO) - Experimental Evidence
2	GO:0005102	PMID:15226301	Gene Ontology (GO) - Experimental Evidence
2	GO:0005515	PMID:6698368|PMID:14687906|PMID:32814053	Gene Ontology (GO) - Experimental Evidence
2	GO:0019838	PMID:9398211	Gene Ontology (GO) - Experimental Evidence
2	GO:0019899	PMID:11435418	Gene Ontology (GO) - Experimental Evidence
2	GO:0019959	PMID:10880251	Gene Ontology (GO) - Experimental Evidence
2	GO:0019966	PMID:9714181	Gene Ontology (GO) - Experimental Evidence
2	GO:0043120	PMID:9714181	Gene Ontology (GO) - Experimental Evidence
2	GO:0048306	PMID:15226301	Gene Ontology (GO) - Experimental Evidence
9	GO:0005515	PMID:28514442|PMID:33961781	Gene Ontology (GO) - Experimental Evidence
10	GO:0005515	PMID:25640309|PMID:32296183	Gene Ontology (GO) - Experimental Evidence
10	GO:0046990	PMID:7915226	Gene Ontology (GO) - Experimental Evidence
12	GO:0005515	PMID:12709365|PMID:14668352|PMID:14687906|PMID:27107014|PMID:32814053	Gene Ontology (GO) - Experimental Evidence
13	GO:0005515	PMID:32296183	Gene Ontology (GO) - Experimental Evidence
13	GO:0017171	PMID:17936933	Gene Ontology (GO) - Experimental Evidence
13	GO:0019213	PMID:9665742	Gene Ontology (GO) - Experimental Evidence
14	GO:0005515	PMID:28514442|PMID:29892012|PMID:32296183|PMID:33961781	Gene Ontology (GO) - Experimental Evidence
14	GO:0008201	PMID:7743515	Gene Ontology (GO) - Experimental Evidence
15	GO:0004059	PMID:11313340	Gene Ontology (GO) - Experimental Evidence
15	GO:0005515	PMID:25416956|PMID:25910212|PMID:32296183	Gene Ontology (GO) - Experimental Evidence
16	GO:0002161	PMID:28493438	Gene Ontology (GO) - Experimental Evidence
16	GO:0004813	PMID:27622773|PMID:28493438	Gene Ontology (GO) - Experimental Evidence
16	GO:0141207	PMID:38512451|PMID:38653238|PMID:39322678	Gene Ontology (GO) - Experimental Evidence
