source	target	reference	reference_source
1	GO:0005576	PMID:27068509|PMID:27559042	Gene Ontology (GO) - Experimental Evidence
1	GO:0005576	PMID:3458201	Gene Ontology (GO) - Experimental Evidence
1	GO:0005615	PMID:16502470	Gene Ontology (GO) - Experimental Evidence
1	GO:0070062	PMID:19056867|PMID:23533145	Gene Ontology (GO) - Experimental Evidence
1	GO:0072562	PMID:22516433	Gene Ontology (GO) - Experimental Evidence
2	GO:0031012	PMID:25037231|PMID:28675934	Gene Ontology (GO) - Experimental Evidence
2	GO:0070062	PMID:20458337|PMID:21362503|PMID:23533145	Gene Ontology (GO) - Experimental Evidence
2	GO:0072562	PMID:22516433	Gene Ontology (GO) - Experimental Evidence
12	GO:0005615	PMID:16502470	Gene Ontology (GO) - Experimental Evidence
12	GO:0005615	PMID:25645918	Gene Ontology (GO) - Experimental Evidence
12	GO:0031012	PMID:28344315|PMID:28675934	Gene Ontology (GO) - Experimental Evidence
12	GO:0070062	PMID:19056867|PMID:23533145	Gene Ontology (GO) - Experimental Evidence
12	GO:0072562	PMID:22516433	Gene Ontology (GO) - Experimental Evidence
13	GO:0005789	PMID:10318829|PMID:15152005|PMID:19339378	Gene Ontology (GO) - Experimental Evidence
14	GO:0005886	PMID:-	Gene Ontology (GO) - Experimental Evidence
14	GO:0009986	PMID:10329261	Gene Ontology (GO) - Experimental Evidence
14	GO:0015630	PMID:-	Gene Ontology (GO) - Experimental Evidence
15	GO:0005829	PMID:-	Gene Ontology (GO) - Experimental Evidence
15	GO:0048471	PMID:11313340	Gene Ontology (GO) - Experimental Evidence
16	GO:0005829	PMID:-	Gene Ontology (GO) - Experimental Evidence
16	GO:0016020	PMID:19946888	Gene Ontology (GO) - Experimental Evidence
16	GO:0070062	PMID:20458337	Gene Ontology (GO) - Experimental Evidence
18	GO:0005739	PMID:34800366	Gene Ontology (GO) - Experimental Evidence
18	GO:0005739	PMID:-	Gene Ontology (GO) - Experimental Evidence
19	GO:0005768	PMID:24097981	Gene Ontology (GO) - Experimental Evidence
19	GO:0005886	PMID:10525055|PMID:19556522|PMID:23931754|PMID:24097981|PMID:28373057	Gene Ontology (GO) - Experimental Evidence
19	GO:0005886	PMID:35974019	Gene Ontology (GO) - Experimental Evidence
19	GO:0030139	PMID:14747463	Gene Ontology (GO) - Experimental Evidence
19	GO:0045121	PMID:15469992	Gene Ontology (GO) - Experimental Evidence
19	GO:0045335	PMID:15469992	Gene Ontology (GO) - Experimental Evidence
19	GO:0048471	PMID:23931754	Gene Ontology (GO) - Experimental Evidence
19	GO:0097708	PMID:28373057	Gene Ontology (GO) - Experimental Evidence
20	GO:0005764	PMID:11309290	Gene Ontology (GO) - Experimental Evidence
