source	target	reference	reference_source
18	GO:0032144	PMID:15528998	Gene Ontology (GO) - Experimental Evidence
22	GO:0043190	PMID:30765471	Gene Ontology (GO) - Experimental Evidence
25	GO:0032991	PMID:12384576	Gene Ontology (GO) - Experimental Evidence
49	GO:0032991	PMID:7521127	Gene Ontology (GO) - Experimental Evidence
55	GO:1904097	PMID:12525165	Gene Ontology (GO) - Experimental Evidence
59	GO:0032991	PMID:18468998	Gene Ontology (GO) - Experimental Evidence
60	GO:0000786	PMID:27153538	Gene Ontology (GO) - Experimental Evidence
60	GO:0032991	PMID:16217013	Gene Ontology (GO) - Experimental Evidence
60	GO:0032991	PMID:11687588|PMID:24415753	Gene Ontology (GO) - Experimental Evidence
60	GO:0035267	PMID:10966108|PMID:27153538	Gene Ontology (GO) - Experimental Evidence
60	GO:1990904	PMID:17289661	Gene Ontology (GO) - Experimental Evidence
81	GO:0032991	PMID:11948184	Gene Ontology (GO) - Experimental Evidence
81	GO:1990904	PMID:17289661	Gene Ontology (GO) - Experimental Evidence
86	GO:0000786	PMID:27153538	Gene Ontology (GO) - Experimental Evidence
86	GO:0016514	PMID:8804307|PMID:8895581|PMID:11078522|PMID:29374058	Gene Ontology (GO) - Experimental Evidence
86	GO:0031011	PMID:18026119|PMID:21303910	Gene Ontology (GO) - Experimental Evidence
86	GO:0032991	PMID:16217013	Gene Ontology (GO) - Experimental Evidence
86	GO:0035267	PMID:10966108|PMID:14966270|PMID:27153538	Gene Ontology (GO) - Experimental Evidence
86	GO:0071564	PMID:18816825	Gene Ontology (GO) - Experimental Evidence
90	GO:0048179	PMID:8242742	Gene Ontology (GO) - Experimental Evidence
91	GO:0043235	PMID:14517293	Gene Ontology (GO) - Experimental Evidence
91	GO:0048179	PMID:12665502	Gene Ontology (GO) - Experimental Evidence
92	GO:0034673	PMID:10746731	Gene Ontology (GO) - Experimental Evidence
92	GO:0043235	PMID:9872992	Gene Ontology (GO) - Experimental Evidence
93	GO:0032991	PMID:24019467	Gene Ontology (GO) - Experimental Evidence
93	GO:0043235	PMID:9872992	Gene Ontology (GO) - Experimental Evidence
102	GO:0046930	PMID:30463011	Gene Ontology (GO) - Experimental Evidence
103	GO:0044530	PMID:18362360	Gene Ontology (GO) - Experimental Evidence
117	GO:0043235	PMID:23382219	Gene Ontology (GO) - Experimental Evidence
118	GO:0008290	PMID:8626479	Gene Ontology (GO) - Experimental Evidence
119	GO:0008290	PMID:8626479	Gene Ontology (GO) - Experimental Evidence
142	GO:0005667	PMID:19303849	Gene Ontology (GO) - Experimental Evidence
142	GO:0032991	PMID:22504299|PMID:25378300	Gene Ontology (GO) - Experimental Evidence
142	GO:0032993	PMID:22504299	Gene Ontology (GO) - Experimental Evidence
150	GO:0043235	PMID:10948191	Gene Ontology (GO) - Experimental Evidence
154	GO:0043235	PMID:15123695|PMID:23382219	Gene Ontology (GO) - Experimental Evidence
155	GO:0043235	PMID:15123695	Gene Ontology (GO) - Experimental Evidence
158	GO:0032991	PMID:16973378	Gene Ontology (GO) - Experimental Evidence
160	GO:0030122	PMID:23676497	Gene Ontology (GO) - Experimental Evidence
161	GO:0030122	PMID:23676497	Gene Ontology (GO) - Experimental Evidence
163	GO:0030122	PMID:23676497	Gene Ontology (GO) - Experimental Evidence
163	GO:0030122	PMID:12086608	Gene Ontology (GO) - Experimental Evidence
163	GO:0030131	PMID:8262066	Gene Ontology (GO) - Experimental Evidence
196	GO:0032991	PMID:15641800	Gene Ontology (GO) - Experimental Evidence
196	GO:0034753	PMID:34521881	Gene Ontology (GO) - Experimental Evidence
207	GO:0032991	PMID:20878056|PMID:23223530	Gene Ontology (GO) - Experimental Evidence
213	GO:0032991	PMID:16283771	Gene Ontology (GO) - Experimental Evidence
214	GO:0042101	PMID:15294938	Gene Ontology (GO) - Experimental Evidence
238	GO:0032991	PMID:23382219	Gene Ontology (GO) - Experimental Evidence
267	GO:0032991	PMID:23382219	Gene Ontology (GO) - Experimental Evidence
267	GO:0036513	PMID:17872946	Gene Ontology (GO) - Experimental Evidence
267	GO:1904949	PMID:16275660	Gene Ontology (GO) - Experimental Evidence
274	GO:0060987	PMID:19004523	Gene Ontology (GO) - Experimental Evidence
274	GO:0090571	PMID:15992821	Gene Ontology (GO) - Experimental Evidence
283	GO:0032311	PMID:3470787	Gene Ontology (GO) - Experimental Evidence
286	GO:0170014	PMID:35835865	Gene Ontology (GO) - Experimental Evidence
292	GO:0071817	PMID:20797633	Gene Ontology (GO) - Experimental Evidence
302	GO:0090575	PMID:23415230	Gene Ontology (GO) - Experimental Evidence
302	GO:0098797	PMID:9886297|PMID:23275167	Gene Ontology (GO) - Experimental Evidence
302	GO:1990665	PMID:23861394	Gene Ontology (GO) - Experimental Evidence
302	GO:1990667	PMID:22848640	Gene Ontology (GO) - Experimental Evidence
302	GO:1990667	PMID:24808179	Gene Ontology (GO) - Experimental Evidence
317	GO:0032991	PMID:11821383	Gene Ontology (GO) - Experimental Evidence
317	GO:0043293	PMID:21827945	Gene Ontology (GO) - Experimental Evidence
317	GO:0043293	PMID:10206961	Gene Ontology (GO) - Experimental Evidence
324	GO:0016342	PMID:7806582	Gene Ontology (GO) - Experimental Evidence
324	GO:0030877	PMID:8638126|PMID:9601641|PMID:16188939	Gene Ontology (GO) - Experimental Evidence
332	GO:0032133	PMID:15260989|PMID:17956729|PMID:18591255	Gene Ontology (GO) - Experimental Evidence
332	GO:0032991	PMID:12773388	Gene Ontology (GO) - Experimental Evidence
332	GO:1990713	PMID:10949038	Gene Ontology (GO) - Experimental Evidence
335	GO:0034361	PMID:17154273	Gene Ontology (GO) - Experimental Evidence
335	GO:0034364	PMID:210174|PMID:3104518|PMID:9211985|PMID:15464323|PMID:21571275	Gene Ontology (GO) - Experimental Evidence
335	GO:0034366	PMID:16682745	Gene Ontology (GO) - Experimental Evidence
336	GO:0034361	PMID:8245722	Gene Ontology (GO) - Experimental Evidence
336	GO:0034364	PMID:210174|PMID:3104518|PMID:17264082	Gene Ontology (GO) - Experimental Evidence
336	GO:0034366	PMID:16682745	Gene Ontology (GO) - Experimental Evidence
336	GO:0042627	PMID:8245722	Gene Ontology (GO) - Experimental Evidence
337	GO:0034361	PMID:3095477|PMID:17154273	Gene Ontology (GO) - Experimental Evidence
337	GO:0034364	PMID:3095477	Gene Ontology (GO) - Experimental Evidence
337	GO:0042627	PMID:3095477	Gene Ontology (GO) - Experimental Evidence
338	GO:0034359	PMID:4363408	Gene Ontology (GO) - Experimental Evidence
338	GO:0034361	PMID:4363408|PMID:15308631	Gene Ontology (GO) - Experimental Evidence
338	GO:0034362	PMID:4363408	Gene Ontology (GO) - Experimental Evidence
338	GO:0034363	PMID:1917954	Gene Ontology (GO) - Experimental Evidence
338	GO:0042627	PMID:4363408|PMID:8245722	Gene Ontology (GO) - Experimental Evidence
339	GO:0030895	PMID:24916387	Gene Ontology (GO) - Experimental Evidence
341	GO:0034361	PMID:15576844	Gene Ontology (GO) - Experimental Evidence
341	GO:0034364	PMID:15576844	Gene Ontology (GO) - Experimental Evidence
344	GO:0034361	PMID:8245722	Gene Ontology (GO) - Experimental Evidence
344	GO:0034362	PMID:8245722	Gene Ontology (GO) - Experimental Evidence
344	GO:0034363	PMID:17336988	Gene Ontology (GO) - Experimental Evidence
344	GO:0034366	PMID:16682745	Gene Ontology (GO) - Experimental Evidence
