source	target	reference	reference_source
GO:0002118	KE:2301	manually inferred	-
GO:0002534	KE:1496	manually inferred	-
GO:0002532	KE:1496	manually inferred	-
GO:0040013	KE:635	manually inferred	-
GO:0040017	KE:622	manually inferred	-
GO:0070997	KE:2098	manually inferred	-
GO:1901216	KE:2098	manually inferred	-
GO:0036475	KE:2098	manually inferred	-
GO:2000193	KE:115	manually inferred	-
GO:0060467	KE:406	manually inferred	-
GO:0006897	KE:1539	manually inferred	-
GO:0035938	KE:2251	manually inferred	-
GO:0016055	KE:310	manually inferred	-
GO:0050811	KE:667	manually inferred	-
GO:2000242	KE:675	manually inferred	-
GO:0032980	KE:826	manually inferred	-
GO:0031052	KE:1636	manually inferred	-
GO:0031052	KE:1669	manually inferred	-
GO:0032635	KE:1868	manually inferred	-
GO:0035733	KE:265	manually inferred	-
GO:0035937	KE:1973	manually inferred	-
GO:2000863	KE:1973	manually inferred	-
GO:0035929	KE:1973	manually inferred	-
GO:0031914	KE:2242	manually inferred	-
GO:0048167	KE:2242	manually inferred	-
GO:0048599	KE:309	manually inferred	-
GO:0001556	KE:309	manually inferred	-
GO:0060082	KE:1434	manually inferred	-
GO:0007019	KE:720	manually inferred	-
GO:0060081	KE:763	manually inferred	-
GO:0006305	KE:97	manually inferred	-
GO:0035249	KE:1350	manually inferred	-
GO:0032611	KE:1868	manually inferred	-
GO:0010731	KE:927	manually inferred	-
GO:0001820	KE:626	manually inferred	-
GO:0014064	KE:626	manually inferred	-
GO:0002440	KE:2255	manually inferred	-
GO:0002253	KE:2255	manually inferred	-
GO:0007568	KE:571	manually inferred	-
GO:0033484	KE:2067	manually inferred	-
GO:0036475	KE:191	manually inferred	-
GO:1903223	KE:191	manually inferred	-
GO:0036480	KE:191	manually inferred	-
GO:0070997	KE:191	manually inferred	-
GO:0036473	KE:191	manually inferred	-
GO:0001508	KE:698	manually inferred	-
GO:0045760	KE:698	manually inferred	-
GO:0002263	KE:1492	manually inferred	-
GO:0010942	KE:55	manually inferred	-
GO:0010942	KE:768	manually inferred	-
GO:0010942	KE:1825	manually inferred	-
GO:0036473	KE:55	manually inferred	-
GO:0036473	KE:768	manually inferred	-
GO:0036473	KE:1825	manually inferred	-
GO:2000347	KE:716	manually inferred	-
GO:0033687	KE:870	manually inferred	-
GO:0071838	KE:870	manually inferred	-
GO:0070661	KE:870	manually inferred	-
GO:0002174	KE:870	manually inferred	-
GO:0036093	KE:870	manually inferred	-
GO:0035726	KE:870	manually inferred	-
GO:0061351	KE:870	manually inferred	-
GO:1901082	KE:1040	manually inferred	-
GO:0060087	KE:1040	manually inferred	-
GO:0090075	KE:1040	manually inferred	-
GO:0045596	KE:2245	manually inferred	-
GO:2000609	KE:277	manually inferred	-
GO:2000610	KE:277	manually inferred	-
GO:0030497	KE:89	manually inferred	-
GO:0030497	KE:458	manually inferred	-
GO:0031999	KE:179	manually inferred	-
GO:0031999	KE:451	manually inferred	-
GO:0031999	KE:860	manually inferred	-
GO:0031999	KE:1528	manually inferred	-
GO:2000193	KE:465	manually inferred	-
GO:0043030	KE:1198	manually inferred	-
GO:0033686	KE:1050	manually inferred	-
GO:0033685	KE:531	manually inferred	-
GO:0097722	KE:1241	manually inferred	-
GO:0033327	KE:1790	manually inferred	-
GO:0060008	KE:1790	manually inferred	-
GO:0030500	KE:2090	manually inferred	-
GO:0044255	KE:1060	manually inferred	-
GO:0045834	KE:1060	manually inferred	-
GO:0010940	KE:868	manually inferred	-
GO:0010940	KE:1263	manually inferred	-
GO:0018411	KE:2081	manually inferred	-
GO:0043687	KE:2081	manually inferred	-
GO:0010731	KE:2081	manually inferred	-
GO:0018342	KE:2081	manually inferred	-
GO:0017014	KE:2081	manually inferred	-
GO:2000871	KE:749	manually inferred	-
GO:2001280	KE:1285	manually inferred	-
GO:0051612	KE:619	manually inferred	-
GO:0051611	KE:619	manually inferred	-
GO:0022602	KE:405	manually inferred	-
GO:0060502	KE:710	manually inferred	-
GO:0060502	KE:734	manually inferred	-
GO:1903788	KE:1287	manually inferred	-
GO:1902656	KE:389	manually inferred	-
GO:1902656	KE:1218	manually inferred	-
GO:0060278	KE:488	manually inferred	-
GO:0060278	KE:1695	manually inferred	-
GO:0061527	KE:746	manually inferred	-
GO:0032226	KE:746	manually inferred	-
GO:0060292	KE:1015	manually inferred	-
GO:1904181	KE:599	manually inferred	-
GO:0003254	KE:599	manually inferred	-
GO:0001556	KE:1161	manually inferred	-
GO:0051985	KE:696	manually inferred	-
GO:1900225	KE:1895	manually inferred	-
GO:0090119	KE:644	manually inferred	-
GO:0016344	KE:752	manually inferred	-
GO:0000212	KE:721	manually inferred	-
GO:0003105	KE:819	manually inferred	-
GO:0098727	KE:240	manually inferred	-
GO:0098727	KE:364	manually inferred	-
GO:0007568	KE:240	manually inferred	-
GO:0007568	KE:364	manually inferred	-
GO:0007618	KE:253	manually inferred	-
GO:0022414	KE:253	manually inferred	-
GO:0002678	KE:1868	manually inferred	-
GO:0045671	KE:2089	manually inferred	-
GO:0098817	KE:682	manually inferred	-
GO:0090394	KE:1268	manually inferred	-
GO:0099537	KE:386	manually inferred	-
GO:0099537	KE:618	manually inferred	-
GO:1901857	KE:769	manually inferred	-
GO:0051452	KE:867	manually inferred	-
GO:0072683	KE:2275	manually inferred	-
GO:0001913	KE:768	manually inferred	-
GO:0042267	KE:768	manually inferred	-
GO:0001912	KE:768	manually inferred	-
GO:0010883	KE:2225	manually inferred	-
GO:0010877	KE:2225	manually inferred	-
GO:0036473	KE:1869	manually inferred	-
GO:2000180	KE:1756	manually inferred	-
GO:0050870	KE:272	manually inferred	-
