id	name	node_type
MESH:D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma	Disease
MESH:D006948	Hyperkinesis	Disease
MESH:D012640	Seizures	Disease
MESH:D004827	Epilepsy	Disease
MESH:D006816	Huntington Disease	Disease
MESH:D008113	Liver Neoplasms	Disease
MESH:D006333	Heart Failure	Disease
MESH:D007938	Leukemia	Disease
MESH:D064726	Triple Negative Breast Neoplasms	Disease
MESH:D008228	Lymphoma, Non-Hodgkin	Disease
MESH:D016399	Lymphoma, T-Cell	Disease
MESH:D013262	Stevens-Johnson Syndrome	Disease
MESH:D014202	Tremor	Disease
MESH:D000014	Abnormalities, Drug-Induced	Disease
MESH:D008107	Liver Diseases	Disease
MESH:D007249	Inflammation	Disease
MESH:D010049	Ovarian Diseases	Disease
MESH:D001145	Arrhythmias, Cardiac	Disease
MESH:D056486	Chemical and Drug Induced Liver Injury	Disease
MESH:D006521	Hepatitis, Chronic	Disease
MESH:D008175	Lung Neoplasms	Disease
MESH:D013274	Stomach Neoplasms	Disease
MESH:D011230	Precancerous Conditions	Disease
MESH:D012871	Skin Diseases	Disease
MESH:D019970	Cocaine-Related Disorders	Disease
MESH:D008223	Lymphoma	Disease
MESH:D055728	Primary Myelofibrosis	Disease
MESH:D002386	Cataract	Disease
MESH:D009069	Movement Disorders	Disease
MESH:D011041	Poisoning	Disease
MESH:D004487	Edema	Disease
MESH:D012600	Scoliosis	Disease
MESH:D002318	Cardiovascular Diseases	Disease
MESH:D020521	Stroke	Disease
MESH:D006965	Hyperplasia	Disease
MESH:D055371	Acute Lung Injury	Disease
MESH:D009202	Cardiomyopathies	Disease
MESH:D003092	Colitis	Disease
MESH:D005119	Extravasation of Diagnostic and Therapeutic Materials	Disease
MESH:D005355	Fibrosis	Disease
MESH:D006930	Hyperalgesia	Disease
MESH:D006943	Hyperglycemia	Disease
MESH:D007333	Insulin Resistance	Disease
MESH:D011654	Pulmonary Edema	Disease
MESH:D015430	Weight Gain	Disease
MESH:D015431	Weight Loss	Disease
MESH:D001919	Bradycardia	Disease
MESH:D007022	Hypotension	Disease
MESH:D002286	Carcinoma, Ehrlich Tumor	Disease
MESH:D015428	Myocardial Reperfusion Injury	Disease
MESH:D006332	Cardiomegaly	Disease
MESH:D000647	Amnesia	Disease
MESH:D001068	Feeding and Eating Disorders	Disease
MESH:D002189	Marijuana Abuse	Disease
MESH:D001169	Arthritis, Experimental	Disease
MESH:D004681	Encephalomyelitis, Autoimmune, Experimental	Disease
MESH:D011565	Psoriasis	Disease
MESH:D024821	Metabolic Syndrome	Disease
MESH:D056128	Obesity, Abdominal	Disease
MESH:D001284	Atrophy	Disease
MESH:D002375	Catalepsy	Disease
MESH:D007859	Learning Disabilities	Disease
MESH:D008569	Memory Disorders	Disease
MESH:D009436	Neural Tube Defects	Disease
MESH:D064420	Drug-Related Side Effects and Adverse Reactions	Disease
MESH:D010300	Parkinson Disease	Disease
MESH:D013375	Substance Withdrawal Syndrome	Disease
MESH:D005234	Fatty Liver	Disease
MESH:D005317	Fetal Growth Retardation	Disease
MESH:D005327	Fetal Resorption	Disease
MESH:D020520	Brain Infarction	Disease
MESH:D006973	Hypertension	Disease
MESH:D011658	Pulmonary Fibrosis	Disease
MESH:D010190	Pancreatic Neoplasms	Disease
MESH:D000230	Adenocarcinoma	Disease
MESH:D000236	Adenoma	Disease
MESH:D002759	Adenoma, Bile Duct	Disease
MESH:D001943	Breast Neoplasms	Disease
MESH:D018281	Cholangiocarcinoma	Disease
MESH:D005706	Gallbladder Neoplasms	Disease
MESH:D006529	Hepatomegaly	Disease
MESH:D007414	Intestinal Neoplasms	Disease
MESH:D007680	Kidney Neoplasms	Disease
MESH:D056784	Leukoencephalopathies	Disease
MESH:D017114	Liver Failure, Acute	Disease
MESH:D008114	Liver Neoplasms, Experimental	Disease
MESH:D008171	Lung Diseases	Disease
MESH:D055370	Lung Injury	Disease
MESH:D009062	Mouth Neoplasms	Disease
MESH:D009336	Necrosis	Disease
MESH:D009361	Neoplasm Invasiveness	Disease
MESH:D009369	Neoplasms	Disease
MESH:D020258	Neurotoxicity Syndromes	Disease
MESH:D009784	Occupational Diseases	Disease
MESH:D014594	Uterine Neoplasms	Disease
MESH:D004646	Emphysema	Disease
MESH:D053565	Hypercalciuria	Disease
MESH:D011164	Porphyrias	Disease
MESH:D001161	Arteriosclerosis	Disease
MESH:D002277	Carcinoma	Disease
MESH:D006390	Hemangioendothelioma	Disease
MESH:D007153	Immunologic Deficiency Syndromes	Disease
MESH:D015674	Mammary Neoplasms, Animal	Disease
MESH:D048629	Micronuclei, Chromosome-Defective	Disease
MESH:D009374	Neoplasms, Experimental	Disease
MESH:D010212	Papilloma	Disease
MESH:D012509	Sarcoma	Disease
MESH:D012878	Skin Neoplasms	Disease
MESH:D006934	Hypercalcemia	Disease
MESH:D011183	Postoperative Complications	Disease
MESH:D003643	Death	Disease
MESH:D007674	Kidney Diseases	Disease
MESH:D011507	Proteinuria	Disease
MESH:D012279	Rickets	Disease
MESH:D003872	Dermatitis	Disease
MESH:D006968	Hypersensitivity, Delayed	Disease
MESH:D020078	Neurogenic Inflammation	Disease
MESH:D013226	Status Epilepticus	Disease
MESH:D017449	Dermatitis, Allergic Contact	Disease
MESH:D003877	Dermatitis, Contact	Disease
MESH:D020262	Mercury Poisoning, Nervous System	Disease
MESH:D014693	Ventricular Fibrillation	Disease
MESH:D019969	Amphetamine-Related Disorders	Disease
MESH:D020329	Essential Tremor	Disease
MESH:D066253	Vascular Remodeling	Disease
MESH:D005909	Glioblastoma	Disease
MESH:D008545	Melanoma	Disease
MESH:D009101	Multiple Myeloma	Disease
MESH:D006509	Hepatitis B	Disease
MESH:D020233	Gait Disorders, Neurologic	Disease
MESH:D000068079	Motor Disorders	Disease
MESH:D058065	Diabetic Cardiomyopathies	Disease
MESH:D009783	Dermatitis, Occupational	Disease
MESH:D004485	Eczema	Disease
MESH:D005148	Facial Dermatoses	Disease
MESH:D006229	Hand Dermatoses	Disease
MESH:D006967	Hypersensitivity	Disease
MESH:D012883	Skin Ulcer	Disease
MESH:D053713	Azoospermia	Disease
MESH:D007248	Infertility, Male	Disease
MESH:D008325	Mammary Neoplasms, Experimental	Disease
MESH:D009669	Nose Neoplasms	Disease
MESH:D009845	Oligospermia	Disease
MESH:D011469	Prostatic Diseases	Disease
MESH:D013163	Splenomegaly	Disease
MESH:D066126	Cardiotoxicity	Disease
MESH:D010051	Ovarian Neoplasms	Disease
MESH:D058739	Aberrant Crypt Foci	Disease
MESH:D002471	Cell Transformation, Neoplastic	Disease
MESH:D019457	Chromosome Breakage	Disease
MESH:D003108	Colonic Diseases	Disease
MESH:D003110	Colonic Neoplasms	Disease
MESH:D015179	Colorectal Neoplasms	Disease
MESH:D004195	Disease Models, Animal	Disease
MESH:D005770	Gastrointestinal Neoplasms	Disease
MESH:D006394	Hemangiosarcoma	Disease
MESH:D013964	Thyroid Neoplasms	Disease
MESH:D066263	Protein Aggregation, Pathological	Disease
MESH:D010146	Pain	Disease
MESH:D012021	Reflex, Abnormal	Disease
MESH:D006528	Carcinoma, Hepatocellular	Disease
MESH:D018307	Neoplasms, Squamous Cell	Disease
MESH:D011115	Polyneuropathies	Disease
MESH:D003929	Diabetic Neuropathies	Disease
MESH:D003921	Diabetes Mellitus, Experimental	Disease
MESH:D018248	Adenoma, Liver Cell	Disease
MESH:D007942	Leukemia, Experimental	Disease
MESH:D015470	Leukemia, Myeloid, Acute	Disease
MESH:D016393	Lymphoma, B-Cell	Disease
MESH:D012516	Osteosarcoma	Disease
MESH:D003328	Coronary Thrombosis	Disease
MESH:D056912	Binge-Eating Disorder	Disease
MESH:D004409	Dyskinesia, Drug-Induced	Disease
MESH:D006963	Hyperphagia	Disease
MESH:D009765	Obesity	Disease
MESH:D000743	Anemia, Hemolytic	Disease
MESH:D018450	Disease Progression	Disease
MESH:D020031	Epstein-Barr Virus Infections	Disease
MESH:D042822	Genomic Instability	Disease
MESH:D000077274	Nasopharyngeal Carcinoma	Disease
MESH:D005334	Fever	Disease
MESH:D012893	Sleep Wake Disorders	Disease
MESH:D050197	Atherosclerosis	Disease
MESH:D008268	Macular Degeneration	Disease
MESH:D000544	Alzheimer Disease	Disease
MESH:D009422	Nervous System Diseases	Disease
MESH:D003866	Depressive Disorder	Disease
MESH:D007035	Hypothermia	Disease
MESH:D015427	Reperfusion Injury	Disease
MESH:D012164	Retinal Diseases	Disease
MESH:D018805	Sepsis	Disease
MESH:D013276	Stomach Ulcer	Disease
MESH:D008106	Liver Cirrhosis, Experimental	Disease
MESH:D008630	Mercury Poisoning	Disease
MESH:D007948	Leukemia, Monocytic, Acute	Disease
MESH:D012734	Disorders of Sex Development	Disease
MESH:D001321	Autistic Disorder	Disease
MESH:D001932	Brain Neoplasms	Disease
MESH:D063646	Carcinogenesis	Disease
MESH:D002869	Chromosome Aberrations	Disease
MESH:D005910	Glioma	Disease
MESH:D009447	Neuroblastoma	Disease
MESH:D018242	Neuroectodermal Tumors, Primitive	Disease
MESH:D010677	Philadelphia Chromosome	Disease
MESH:D001749	Urinary Bladder Neoplasms	Disease
MESH:D001259	Ataxia	Disease
MESH:D001929	Brain Edema	Disease
MESH:D002545	Brain Ischemia	Disease
MESH:D004283	Dog Diseases	Disease
MESH:D005141	Eyelid Diseases	Disease
MESH:D007003	Hypoglycemia	Disease
MESH:D002534	Hypoxia, Brain	Disease
MESH:D002546	Ischemic Attack, Transient	Disease
MESH:D007662	Ketosis	Disease
MESH:D009410	Nerve Degeneration	Disease
MESH:D001008	Anxiety Disorders	Disease
MESH:D003072	Cognition Disorders	Disease
MESH:D009771	Obsessive-Compulsive Disorder	Disease
MESH:D014625	Vaginal Neoplasms	Disease
MESH:D002282	Adenocarcinoma, Bronchiolo-Alveolar	Disease
MESH:D000747	Anemia, Hypochromic	Disease
MESH:D000740	Anemia	Disease
MESH:D048550	Hepatic Insufficiency	Disease
MESH:D006949	Hyperlipidemias	Disease
MESH:D008654	Mesothelioma	Disease
MESH:D013736	Testicular Neoplasms	Disease
MESH:D058186	Acute Kidney Injury	Disease
MESH:D000419	Albuminuria	Disease
MESH:D005923	Glomerulosclerosis, Focal Segmental	Disease
MESH:D002294	Carcinoma, Squamous Cell	Disease
MESH:D051677	Histiocytoma, Malignant Fibrous	Disease
MESH:D012513	Sarcoma, Experimental	Disease
MESH:D001480	Basal Ganglia Diseases	Disease
MESH:D018754	Ventricular Dysfunction	Disease
MESH:D004421	Dystonia	Disease
MESH:D006461	Hemolysis	Disease
MESH:D006947	Hyperkalemia	Disease
MESH:D017202	Myocardial Ischemia	Disease
MESH:D018879	Ventricular Premature Complexes	Disease
MESH:D002289	Carcinoma, Non-Small-Cell Lung	Disease
MESH:D000015	Abnormalities, Multiple	Disease
MESH:D010538	Peritonitis	Disease
MESH:D059226	Nociceptive Pain	Disease
MESH:D002780	Cholestasis, Intrahepatic	Disease
MESH:D018149	Glucose Intolerance	Disease
MESH:D006984	Hypertrophy	Disease
MESH:D010243	Paralysis	Disease
MESH:D005131	Eye Injuries	Disease
MESH:D062025	Organophosphate Poisoning	Disease
MESH:D006327	Heart Block	Disease
MESH:D000067877	Autism Spectrum Disorder	Disease
MESH:D064419	Chemically-Induced Disorders	Disease
MESH:D011014	Pneumonia	Disease
MESH:D009127	Muscle Rigidity	Disease
MESH:D012130	Respiratory Hypersensitivity	Disease
MESH:D011470	Prostatic Hyperplasia	Disease
MESH:D005767	Gastrointestinal Diseases	Disease
MESH:D008231	Lymphopenia	Disease
MESH:D013921	Thrombocytopenia	Disease
MESH:D014839	Vomiting	Disease
MESH:D003924	Diabetes Mellitus, Type 2	Disease
MESH:D011537	Pruritus	Disease
MESH:D015451	Leukemia, Lymphocytic, Chronic, B-Cell	Disease
MESH:D008103	Liver Cirrhosis	Disease
MESH:D001745	Urinary Bladder Diseases	Disease
MESH:D020244	Infarction, Middle Cerebral Artery	Disease
MESH:D009203	Myocardial Infarction	Disease
MESH:D006976	Hypertension, Pulmonary	Disease
MESH:D011655	Pulmonary Embolism	Disease
MESH:D002177	Candidiasis	Disease
MESH:D005901	Glaucoma	Disease
MESH:D005921	Glomerulonephritis	Disease
MESH:D007105	Immune Complex Diseases	Disease
MESH:D014657	Vasculitis	Disease
MESH:D002252	Carbon Tetrachloride Poisoning	Disease
MESH:D004381	Duodenal Ulcer	Disease
MESH:D013272	Stomach Diseases	Disease
MESH:D001862	Bone Resorption	Disease
MESH:D009437	Neuralgia	Disease
MESH:D013733	Testicular Diseases	Disease
MESH:D001249	Asthma	Disease
MESH:D059366	Asthma, Occupational	Disease
MESH:D007280	Disorders of Environmental Origin	Disease
MESH:D000782	Aneuploidy	Disease
MESH:D020734	Parkinsonian Disorders	Disease
MESH:D011471	Prostatic Neoplasms	Disease
MESH:D001851	Bone Diseases, Metabolic	Disease
MESH:D016640	Diabetes, Gestational	Disease
MESH:D004714	Endometrial Hyperplasia	Disease
MESH:D016889	Endometrial Neoplasms	Disease
MESH:D019584	Hot Flashes	Disease
