id	name	BOL	node_type
KE:3	Reduction, 17beta-estradiol synthesis by ovarian granulosa cells	Cellular	KE
KE:8	Decreased, 3-hydroxyacyl-CoA dehydrogenase type-2 activity	Cellular	KE
KE:9	Activation, 5HT2c	Molecular	KE
KE:10	Acetylcholine accumulation in synapses	Cellular	KE
KE:12	Acetylcholinesterase (AchE) Inhibition	Cellular	KE
KE:17	Altered gene expression, AHR nuclear translocator (ARNT)-dependent pathway	Molecular	KE
KE:18	Activation, AhR	Molecular	KE
KE:21	Altered regulation, Alpha hemoglobin	Cellular	KE
KE:25	Agonism, Androgen receptor	Molecular	KE
KE:26	Antagonism, Androgen receptor	Molecular	KE
KE:28	Reduction, Angiogenesis	Molecular	KE
KE:36	Inhibition, Aromatase	Molecular	KE
KE:39	Increased Cholinergic Signaling	Organ	KE
KE:40	Decrease, Mitochondrial ATP production	Cellular	KE
KE:41	Inhibition, Bile Salt Export Pump (ABCB11)	Molecular	KE
KE:46	Accumulation, Biological membranes	Cellular	KE
KE:49	Reduction, Ca and HCO3 transport to shell gland	Tissue	KE
KE:50	Increase, Ca++ (intracellular)	Cellular	KE
KE:51	Inhibition, Ca++ ATPase	Molecular	KE
KE:52	Decreased, Calcium influx	Cellular	KE
KE:54	Up Regulation, CD36	Molecular	KE
KE:55	Increase, Cell injury/death	Cellular	KE
KE:57	Proliferation, Cell proliferation in the absence of cytotoxicity	Cellular	KE
KE:64	Reduction, Ionotropic GABA receptor chloride channel conductance	Cellular	KE
KE:66	Activation, ChREBP	Molecular	KE
KE:68	Accumulation, Collagen	Tissue	KE
KE:77	Production, Critical Metabolites (CGA 330050 and CGA 265307)	Cellular	KE
KE:78	Reduction, Cumulative fecundity and spawning	Individual	KE
KE:79	Inhibition, Cyclooxygenase activity	Molecular	KE
KE:80	Up Regulation, CYP1A1	Molecular	KE
KE:87	Release, Cytokine	Cellular	KE
KE:89	Synthesis, De Novo Fatty Acid (FA)	Cellular	KE
KE:97	Alkylation, DNA	Molecular	KE
