Serial Number	Chemical 1	Chemical 2	Jaccard Similarity
1	DED000001	DED000002	0.13333333333333333
2	DED000001	DED000004	0.25
3	DED000001	DED000006	0.0
4	DED000001	DED000011	0.16666666666666666
5	DED000001	DED000012	0.0
6	DED000001	DED000013	0.0
7	DED000001	DED000017	0.0
8	DED000001	DED000018	0.056338028169014086
9	DED000001	DED000019	0.6
10	DED000001	DED000021	0.08333333333333333
11	DED000001	DED000022	0.09523809523809523
12	DED000001	DED000023	0.034482758620689655
13	DED000001	DED000025	0.4
14	DED000001	DED000026	0.13333333333333333
15	DED000001	DED000027	0.1111111111111111
16	DED000001	DED000028	0.0
17	DED000001	DED000029	0.16666666666666666
18	DED000001	DED000030	0.0
19	DED000001	DED000031	0.13333333333333333
20	DED000001	DED000032	0.09090909090909091
21	DED000001	DED000033	0.07692307692307693
22	DED000001	DED000034	0.15384615384615385
23	DED000001	DED000035	0.3076923076923077
24	DED000001	DED000036	0.0
25	DED000001	DED000037	0.07407407407407407
26	DED000001	DED000039	0.1111111111111111
27	DED000001	DED000041	0.125
28	DED000001	DED000042	0.0
29	DED000001	DED000043	0.03225806451612903
30	DED000001	DED000044	0.15
31	DED000001	DED000045	0.06153846153846154
32	DED000001	DED000046	0.07692307692307693
33	DED000001	DED000048	0.1
34	DED000001	DED000049	0.043478260869565216
35	DED000001	DED000052	0.14285714285714285
36	DED000001	DED000054	0.0
37	DED000001	DED000056	0.0
38	DED000001	DED000057	0.13636363636363635
39	DED000001	DED000058	0.025
40	DED000001	DED000059	0.07142857142857142
41	DED000001	DED000061	0.25
42	DED000001	DED000062	0.36363636363636365
43	DED000001	DED000064	0.16666666666666666
44	DED000001	DED000065	0.1
45	DED000001	DED000066	0.09090909090909091
46	DED000001	DED000067	0.10344827586206896
47	DED000001	DED000068	0.05555555555555555
48	DED000001	DED000069	0.06451612903225806
49	DED000001	DED000071	0.5
50	DED000001	DED000072	0.1111111111111111
51	DED000001	DED000073	0.08333333333333333
52	DED000001	DED000074	0.25
53	DED000001	DED000075	0.03278688524590164
54	DED000001	DED000076	0.03571428571428571
55	DED000001	DED000077	0.06451612903225806
56	DED000001	DED000078	0.06666666666666667
57	DED000001	DED000080	0.15789473684210525
58	DED000001	DED000081	0.25
59	DED000001	DED000083	0.03488372093023256
60	DED000001	DED000084	0.05555555555555555
61	DED000001	DED000085	0.0
62	DED000001	DED000086	0.05
63	DED000001	DED000087	0.03571428571428571
64	DED000001	DED000088	0.03225806451612903
65	DED000001	DED000089	0.047619047619047616
66	DED000001	DED000090	0.06451612903225806
