source	target	reference	reference_source
DED000002	5328	PMID:10513995	Comparative Toxicogenomics Database (CTD)
DED000003	1571	PMID:12919724|PMID:20338863|PMID:8620572|PMID:8889796|PMID:18407866|PMID:8560479|PMID:8751834	Comparative Toxicogenomics Database (CTD)
DED000008	2908	PMID:15310238|PMID:33129825	Comparative Toxicogenomics Database (CTD)
DED000008	2936	PMID:34339004|PMID:36343453	Comparative Toxicogenomics Database (CTD)
DED000008	301	PMID:20655937	Comparative Toxicogenomics Database (CTD)
DED000008	836	PMID:17520061|PMID:18316066|PMID:35964836|PMID:18226606|PMID:20083129|PMID:22260869|PMID:35964836|PMID:22387748	Comparative Toxicogenomics Database (CTD)
DED000008	840	PMID:18316066|PMID:22260869|PMID:22387748	Comparative Toxicogenomics Database (CTD)
DED000009	1906	PMID:16651399	Comparative Toxicogenomics Database (CTD)
DED000009	207	PMID:12700235|PMID:18295389	Comparative Toxicogenomics Database (CTD)
DED000009	217	PMID:22022451|PMID:23500772|PMID:37142061	Comparative Toxicogenomics Database (CTD)
DED000009	2932	PMID:12700235|PMID:26014148	Comparative Toxicogenomics Database (CTD)
DED000009	3156	PMID:22841563|PMID:28442378	Comparative Toxicogenomics Database (CTD)
DED000009	3162	PMID:17433488|PMID:20080166	Comparative Toxicogenomics Database (CTD)
DED000009	4790	PMID:10573527|PMID:17887948	Comparative Toxicogenomics Database (CTD)
DED000009	5594	PMID:10993886|PMID:18358832|PMID:12065697|PMID:18295389|PMID:21999510	Comparative Toxicogenomics Database (CTD)
DED000009	5595	PMID:10993886|PMID:18358832|PMID:12065697|PMID:18295389|PMID:21999510	Comparative Toxicogenomics Database (CTD)
DED000009	5970	PMID:10573527|PMID:16317704|PMID:17887948|PMID:20923693|PMID:23274713|PMID:28013186	Comparative Toxicogenomics Database (CTD)
DED000009	6647	PMID:23994065|PMID:28849987	Comparative Toxicogenomics Database (CTD)
DED000009	6648	PMID:19063909|PMID:20016022|PMID:20016022	Comparative Toxicogenomics Database (CTD)
DED000009	847	PMID:11344824|PMID:28456544|PMID:34474091|PMID:39988212|PMID:11747978|PMID:15381826|PMID:17258234|PMID:20020850|PMID:20923693|PMID:23274713|PMID:24972622|PMID:25168850|PMID:25289771|PMID:28456544|PMID:29339218|PMID:30844427|PMID:32151596|PMID:33314588|PMID:35156864|PMID:36085217|PMID:11747978|PMID:25111957|PMID:26854922|PMID:19063909|PMID:19637192|PMID:19853593|PMID:21086752|PMID:25927324|PMID:28797650|PMID:28849987|PMID:20067348|PMID:23994065|PMID:32894639|PMID:37142061|PMID:39988212	Comparative Toxicogenomics Database (CTD)
DED000010	6652	PMID:29315975	Comparative Toxicogenomics Database (CTD)
DED000010	847	PMID:15820619|PMID:16716041|PMID:16937016|PMID:39142364|PMID:17283889|PMID:31823256	Comparative Toxicogenomics Database (CTD)
DED000018	7157	PMID:35435491	Comparative Toxicogenomics Database (CTD)
DED000019	116085	PMID:14694169	Comparative Toxicogenomics Database (CTD)
DED000025	351	PMID:16204253	Comparative Toxicogenomics Database (CTD)
DED000025	4803	PMID:15935206	Comparative Toxicogenomics Database (CTD)
DED000026	196	PMID:18294747	Comparative Toxicogenomics Database (CTD)
DED000026	367	PMID:18294747	Comparative Toxicogenomics Database (CTD)
DED000029	1588	PMID:15968818|PMID:17910019|PMID:1659868|PMID:20087668	Comparative Toxicogenomics Database (CTD)
DED000033	5468	PMID:11991651|PMID:12927354|PMID:14998300|PMID:15187150|PMID:15383218|PMID:15187150|PMID:18272184|PMID:18643838|PMID:23795773|PMID:21543282|PMID:24011919|PMID:24188201|PMID:24433871|PMID:24612634|PMID:27363640|PMID:34553211	Comparative Toxicogenomics Database (CTD)
DED000034	1543	PMID:10463385|PMID:12628514|PMID:16054776|PMID:16906435|PMID:18493746|PMID:25370011|PMID:26880746|PMID:3929785|PMID:10923861|PMID:15893423|PMID:18493746|PMID:30031879|PMID:32858204|PMID:7646562|PMID:15297030|PMID:15337587|PMID:20930378|PMID:15621696|PMID:15958656|PMID:20080079|PMID:21053930	Comparative Toxicogenomics Database (CTD)
DED000034	1544	PMID:10463385|PMID:15466162|PMID:16054776|PMID:19118567|PMID:26880746|PMID:29366910|PMID:10923861|PMID:14722322|PMID:15893423|PMID:19497360|PMID:19497361|PMID:22843569|PMID:26201057|PMID:21053930|PMID:21745492|PMID:26827781	Comparative Toxicogenomics Database (CTD)
DED000035	7157	PMID:16882877	Comparative Toxicogenomics Database (CTD)
DED000036	1544	PMID:11465391|PMID:24211539|PMID:15822860|PMID:18420780	Comparative Toxicogenomics Database (CTD)
DED000036	43	PMID:28465162|PMID:37865952	Comparative Toxicogenomics Database (CTD)
DED000036	545	PMID:11507241	Comparative Toxicogenomics Database (CTD)
DED000040	1437	PMID:8349185	Comparative Toxicogenomics Database (CTD)
DED000040	1555	PMID:11723234|PMID:12872138|PMID:17041008	Comparative Toxicogenomics Database (CTD)
DED000040	1576	PMID:17041008|PMID:18420780	Comparative Toxicogenomics Database (CTD)
DED000042	2936	PMID:20302853|PMID:22224058|PMID:22751200|PMID:25895260	Comparative Toxicogenomics Database (CTD)
DED000042	847	PMID:1587340|PMID:22034174|PMID:20302853|PMID:22751200|PMID:29143438|PMID:39733793|PMID:25891459|PMID:26814074|PMID:27180203	Comparative Toxicogenomics Database (CTD)
DED000043	2100	PMID:16626760|PMID:26139245	Comparative Toxicogenomics Database (CTD)
DED000043	4790	PMID:10385688	Comparative Toxicogenomics Database (CTD)
DED000046	1571	PMID:33007364	Comparative Toxicogenomics Database (CTD)
DED000046	5054	PMID:23378038	Comparative Toxicogenomics Database (CTD)
DED000046	5327	PMID:23378038	Comparative Toxicogenomics Database (CTD)
DED000048	6648	PMID:23615023	Comparative Toxicogenomics Database (CTD)
DED000048	8647	PMID:35753641	Comparative Toxicogenomics Database (CTD)
DED000049	1576	PMID:20361990|PMID:24832206	Comparative Toxicogenomics Database (CTD)
DED000049	2100	PMID:15064155|PMID:26139245|PMID:16626760|PMID:9860891	Comparative Toxicogenomics Database (CTD)
DED000049	5243	PMID:17490606|PMID:21783720|PMID:23169446	Comparative Toxicogenomics Database (CTD)
DED000049	5594	PMID:11767051|PMID:15888667|PMID:22146149	Comparative Toxicogenomics Database (CTD)
DED000049	5595	PMID:11767051|PMID:15888667	Comparative Toxicogenomics Database (CTD)
DED000049	6652	PMID:11692196|PMID:8588293	Comparative Toxicogenomics Database (CTD)
DED000049	6718	PMID:39988211	Comparative Toxicogenomics Database (CTD)
DED000049	847	PMID:15337585|PMID:29702342|PMID:30502743|PMID:34856488	Comparative Toxicogenomics Database (CTD)
DED000051	1555	PMID:22310298|PMID:22634058	Comparative Toxicogenomics Database (CTD)
DED000051	1576	PMID:22310298|PMID:22634058	Comparative Toxicogenomics Database (CTD)
DED000051	5243	PMID:17490606|PMID:21783720	Comparative Toxicogenomics Database (CTD)
DED000051	6647	PMID:10355540|PMID:15892188	Comparative Toxicogenomics Database (CTD)
DED000051	847	PMID:10355540|PMID:15892188	Comparative Toxicogenomics Database (CTD)
DED000052	1385	PMID:18573488|PMID:20122921	Comparative Toxicogenomics Database (CTD)
DED000052	3358	PMID:19662385|PMID:9050900	Comparative Toxicogenomics Database (CTD)
DED000056	5297	PMID:14994277	Comparative Toxicogenomics Database (CTD)
DED000059	1579	PMID:37499995	Comparative Toxicogenomics Database (CTD)
DED000059	4313	PMID:10878458|PMID:11719597|PMID:16537180	Comparative Toxicogenomics Database (CTD)
DED000059	4318	PMID:10231640|PMID:10878458|PMID:11719597|PMID:16537180	Comparative Toxicogenomics Database (CTD)
DED000059	5742	PMID:11239499|PMID:12242329|PMID:14726416|PMID:16141368|PMID:20933508|PMID:16141368|PMID:20361948|PMID:9146894|PMID:9258749	Comparative Toxicogenomics Database (CTD)
DED000059	5743	PMID:12135387|PMID:12142058|PMID:16690318|PMID:12242329|PMID:21268125|PMID:12517972|PMID:14726416|PMID:16190777|PMID:20933508|PMID:16818512|PMID:20361948|PMID:21268125|PMID:9146894|PMID:9258749	Comparative Toxicogenomics Database (CTD)
DED000059	836	PMID:10192188|PMID:11043455|PMID:16184425|PMID:17657623|PMID:18853145|PMID:19220725|PMID:19251492|PMID:11532860|PMID:15804060|PMID:12485869|PMID:17341418|PMID:23022152|PMID:24312908|PMID:15265368|PMID:19615346	Comparative Toxicogenomics Database (CTD)
DED000059	841	PMID:15265368|PMID:15812552|PMID:19615346	Comparative Toxicogenomics Database (CTD)
DED000059	847	PMID:12566098|PMID:16397915|PMID:17351913|PMID:25926722|PMID:30252991|PMID:35752295|PMID:37483153|PMID:16169175|PMID:17604372|PMID:17895592|PMID:18087811|PMID:18726076|PMID:19034656|PMID:19497431	Comparative Toxicogenomics Database (CTD)
DED000061	3162	PMID:16309571|PMID:36027947	Comparative Toxicogenomics Database (CTD)
DED000061	5972	PMID:3281763	Comparative Toxicogenomics Database (CTD)
DED000062	1571	PMID:12458634|PMID:15132840|PMID:15205388|PMID:19683030|PMID:23211455|PMID:25683034|PMID:26880746|PMID:9051121|PMID:9129171|PMID:18754103|PMID:39047805	Comparative Toxicogenomics Database (CTD)
DED000064	1588	PMID:15837728|PMID:15909811|PMID:16009161|PMID:16013988|PMID:16023854|PMID:16033851|PMID:16034487|PMID:16046582|PMID:16054421|PMID:16480277|PMID:17145897|PMID:21341743|PMID:24496634|PMID:29501854|PMID:30817981|PMID:32197950|PMID:15967659|PMID:20087668|PMID:24902786	Comparative Toxicogenomics Database (CTD)
DED000064	5925	PMID:16033851	Comparative Toxicogenomics Database (CTD)
DED000065	590	PMID:17364237|PMID:18617161|PMID:21983245|PMID:25180440	Comparative Toxicogenomics Database (CTD)
DED000065	847	PMID:11834209|PMID:20194575|PMID:24810974|PMID:25180440|PMID:36336997|PMID:18655177|PMID:19429256|PMID:21628957|PMID:28987951|PMID:30769050|PMID:32120800	Comparative Toxicogenomics Database (CTD)
DED000066	3350	PMID:23596261	Comparative Toxicogenomics Database (CTD)
DED000066	3356	PMID:23596261	Comparative Toxicogenomics Database (CTD)
DED000066	7157	PMID:35435491	Comparative Toxicogenomics Database (CTD)
DED000067	7157	PMID:35435491	Comparative Toxicogenomics Database (CTD)
DED000070	847	PMID:21964610|PMID:26095701|PMID:26584762|PMID:33577942	Comparative Toxicogenomics Database (CTD)
DED000071	1544	PMID:10064569|PMID:15272053|PMID:19118567|PMID:19909766	Comparative Toxicogenomics Database (CTD)
DED000071	1559	PMID:15802389|PMID:19202563|PMID:19328226|PMID:19909766	Comparative Toxicogenomics Database (CTD)
DED000071	1576	PMID:12065438|PMID:14977870|PMID:18094037|PMID:19118567|PMID:19202563|PMID:19328226|PMID:22258563|PMID:22310298|PMID:22843569|PMID:30364229|PMID:15802389|PMID:15833926|PMID:19202563|PMID:19909766	Comparative Toxicogenomics Database (CTD)
DED000071	2147	PMID:19952496	Comparative Toxicogenomics Database (CTD)
DED000071	2152	PMID:19952496	Comparative Toxicogenomics Database (CTD)
DED000071	266682	PMID:12807726	Comparative Toxicogenomics Database (CTD)
DED000071	9970	PMID:14742670|PMID:14742670|PMID:19196849|PMID:23626729|PMID:25145657|PMID:27080131|PMID:30203046|PMID:15272053|PMID:15272053|PMID:16819505|PMID:19845433|PMID:21768169|PMID:25145657|PMID:27080131|PMID:15919853|PMID:15986414|PMID:18832183|PMID:17041008|PMID:23015691|PMID:23899473|PMID:24449422|PMID:27080131	Comparative Toxicogenomics Database (CTD)
DED000077	582146	PMID:21251949	Comparative Toxicogenomics Database (CTD)
DED000080	582146	PMID:21251949	Comparative Toxicogenomics Database (CTD)
DED000086	1621	PMID:7984052	Comparative Toxicogenomics Database (CTD)
DED000086	43	PMID:28212939	Comparative Toxicogenomics Database (CTD)
