source	target	reference	reference_source
DED000002	10253	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	1026	PMID:29110037	Comparative Toxicogenomics Database (CTD)
DED000002	10265	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	10637	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	1756	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	1942	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	2043	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	2064	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	2118	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	2122	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	2128	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	2253	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	2290	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	255738	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	26050	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	2619	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	2637	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	2736	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	27412	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	3087	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	3170	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	3211	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	3214	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	3215	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	3221	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	3233	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	388585	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	4609	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	4646	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	4792	PMID:14722113|PMID:17952619|PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	4838	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	4902	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	5015	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	50861	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	5087	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	5100	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	51176	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	51450	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	51478	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	5803	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	64840	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	6586	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	6932	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	6997	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	7042	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	7155	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	7408	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	7474	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	8092	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	81029	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	8313	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	8320	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	8322	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	8325	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	84870	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	8516	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	8521	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	8811	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	8829	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	9353	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	9420	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	9706	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000003	100314117	PMID:32105654	Comparative Toxicogenomics Database (CTD)
