source	target	reference	reference_source
DED000001	DEDuCT_Endpoint:221	PMID:9417843	DEDuCT 3.0
DED000001	DEDuCT_Endpoint:649	PMID:9417843	DEDuCT 3.0
DED000002	DEDuCT_Endpoint:58	PMID:6723515;PMID:7128453	DEDuCT 3.0
DED000002	DEDuCT_Endpoint:286	PMID:22538484	DEDuCT 3.0
DED000002	DEDuCT_Endpoint:431	PMID:7128453	DEDuCT 3.0
DED000003	DEDuCT_Endpoint:93	PMID:33502539	DEDuCT 3.0
DED000003	DEDuCT_Endpoint:109	PMID:33502539	DEDuCT 3.0
DED000003	DEDuCT_Endpoint:286	PMID:33502539	DEDuCT 3.0
DED000003	DEDuCT_Endpoint:293	DOI:10.3109/10915818909018060	DEDuCT 3.0
DED000003	DEDuCT_Endpoint:474	PMID:33502539	DEDuCT 3.0
DED000003	DEDuCT_Endpoint:476	PMID:33502539	DEDuCT 3.0
DED000003	DEDuCT_Endpoint:703	PMID:33502539	DEDuCT 3.0
DED000004	DEDuCT_Endpoint:215	PMID:7423533	DEDuCT 3.0
DED000005	DEDuCT_Endpoint:110	PMID:14925120	DEDuCT 3.0
DED000006	DEDuCT_Endpoint:116	PMID:18850357	DEDuCT 3.0
DED000006	DEDuCT_Endpoint:163	PMID:2606405	DEDuCT 3.0
DED000006	DEDuCT_Endpoint:182	PMID:18850357	DEDuCT 3.0
DED000006	DEDuCT_Endpoint:184	PMID:18850357	DEDuCT 3.0
DED000006	DEDuCT_Endpoint:232	PMID:18850357	DEDuCT 3.0
DED000006	DEDuCT_Endpoint:301	PMID:2606405	DEDuCT 3.0
DED000006	DEDuCT_Endpoint:447	PMID:18850357	DEDuCT 3.0
DED000006	DEDuCT_Endpoint:461	PMID:18850357	DEDuCT 3.0
DED000006	DEDuCT_Endpoint:766	PMID:18850357	DEDuCT 3.0
DED000006	DEDuCT_Endpoint:781	PMID:18850357	DEDuCT 3.0
DED000007	DEDuCT_Endpoint:184	PMID:4035593	DEDuCT 3.0
DED000008	DEDuCT_Endpoint:58	PMID:24090629	DEDuCT 3.0
DED000008	DEDuCT_Endpoint:234	PMID:24090629	DEDuCT 3.0
DED000008	DEDuCT_Endpoint:268	PMID:24090629	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:58	PMID:21463340	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:107	PMID:37994192	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:132	PMID:21463340	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:236	PMID:21432428	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:239	PMID:37994192	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:240	PMID:37994192	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:286	PMID:37994192	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:287	PMID:37994192	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:309	PMID:37994192	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:313	PMID:37994192	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:338	PMID:37994192	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:360	PMID:21432428	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:376	PMID:37994192	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:388	PMID:37994192	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:414	PMID:37994192	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:449	PMID:611632	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:474	PMID:37994192	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:476	PMID:37994192	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:565	PMID:37994192	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:575	PMID:37994192	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:590	PMID:37994192	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:647	PMID:37994192	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:703	PMID:2318350	DEDuCT 3.0
DED000009	DEDuCT_Endpoint:748	PMID:37994192	DEDuCT 3.0
DED000010	DEDuCT_Endpoint:320	PMID:12916763	DEDuCT 3.0
DED000010	DEDuCT_Endpoint:340	PMID:12916763	DEDuCT 3.0
DED000010	DEDuCT_Endpoint:343	PMID:12916763	DEDuCT 3.0
DED000010	DEDuCT_Endpoint:468	PMID:12916763	DEDuCT 3.0
DED000010	DEDuCT_Endpoint:530	PMID:12916763	DEDuCT 3.0
DED000011	DEDuCT_Endpoint:2	PMID:9628555	DEDuCT 3.0
DED000011	DEDuCT_Endpoint:116	PMID:9628555	DEDuCT 3.0
DED000011	DEDuCT_Endpoint:427	PMID:9628555	DEDuCT 3.0
DED000012	DEDuCT_Endpoint:12	PMID:10467719	DEDuCT 3.0
DED000012	DEDuCT_Endpoint:39	PMID:10467719	DEDuCT 3.0
DED000012	DEDuCT_Endpoint:86	PMID:17537412	DEDuCT 3.0
DED000012	DEDuCT_Endpoint:141	PMID:17537412	DEDuCT 3.0
DED000012	DEDuCT_Endpoint:177	PMID:17080404	DEDuCT 3.0
DED000012	DEDuCT_Endpoint:179	PMID:17080404	DEDuCT 3.0
DED000012	DEDuCT_Endpoint:193	PMID:16641539	DEDuCT 3.0
DED000012	DEDuCT_Endpoint:215	PMID:14613717;PMID:16641539	DEDuCT 3.0
