source	target	reference	reference_source
DED000753	MESH:D056486	PMID:19783048	Comparative Toxicogenomics Database (CTD)
DED000403	MESH:D001284	PMID:22813907	Comparative Toxicogenomics Database (CTD)
DED000320	MESH:D007333	PMID:26752053	Comparative Toxicogenomics Database (CTD)
DED000320	MESH:D056128	PMID:26752053	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D000230	PMID:12692652	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D000236	PMID:12692652	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D002759	PMID:16362062	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D001284	PMID:3184199	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D001943	PMID:11921183|PMID:12692652|PMID:7665008	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D056486	PMID:12692652|PMID:1918791|PMID:22045893	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D018281	PMID:16362062	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D064420	PMID:12692652|PMID:16362062|PMID:1918791|PMID:3184199	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D005706	PMID:16581948	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D006529	PMID:12692652|PMID:1918791|PMID:3184199	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D006965	PMID:12692652	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D007414	PMID:12692652	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D007680	PMID:12692652|PMID:28321044	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D056784	PMID:23390197	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D017114	PMID:20825388	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D008113	PMID:12692652|PMID:16581948	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D008114	PMID:21097997	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D008171	PMID:12692652|PMID:19776212	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D055370	PMID:21097997	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D009062	PMID:12692652|PMID:7665008	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D009336	PMID:12692652|PMID:1918791	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D009361	PMID:22952646	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D009369	PMID:8806876	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D020258	PMID:23390197	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D009784	PMID:23390197	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D010190	PMID:12692652	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D013274	PMID:11397402|PMID:12692652	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D014594	PMID:12692652|PMID:7665008	Comparative Toxicogenomics Database (CTD)
DED000701	MESH:D015431	PMID:12692652|PMID:1918791|PMID:28321044|PMID:3184199	Comparative Toxicogenomics Database (CTD)
DED000142	MESH:D008107	PMID:1949037	Comparative Toxicogenomics Database (CTD)
DED000142	MESH:D008113	PMID:9714333	Comparative Toxicogenomics Database (CTD)
DED000090	MESH:D000230	PMID:21863085	Comparative Toxicogenomics Database (CTD)
DED000090	MESH:D000236	PMID:21863085|PMID:8571376	Comparative Toxicogenomics Database (CTD)
DED000090	MESH:D001161	PMID:3142695	Comparative Toxicogenomics Database (CTD)
DED000090	MESH:D002277	PMID:21863085	Comparative Toxicogenomics Database (CTD)
DED000090	MESH:D006390	PMID:21863085	Comparative Toxicogenomics Database (CTD)
DED000090	MESH:D007153	PMID:8571374	Comparative Toxicogenomics Database (CTD)
DED000090	MESH:D007680	PMID:21863085	Comparative Toxicogenomics Database (CTD)
DED000090	MESH:D008113	PMID:21863085	Comparative Toxicogenomics Database (CTD)
DED000090	MESH:D008175	PMID:21863085|PMID:8571376|PMID:9659573	Comparative Toxicogenomics Database (CTD)
DED000090	MESH:D015674	PMID:21863085	Comparative Toxicogenomics Database (CTD)
DED000090	MESH:D048629	PMID:26603514	Comparative Toxicogenomics Database (CTD)
DED000090	MESH:D009336	PMID:17961608	Comparative Toxicogenomics Database (CTD)
DED000090	MESH:D009374	PMID:6850980	Comparative Toxicogenomics Database (CTD)
DED000090	MESH:D010212	PMID:21863085	Comparative Toxicogenomics Database (CTD)
DED000090	MESH:D011041	PMID:1309687	Comparative Toxicogenomics Database (CTD)
DED000090	MESH:D012509	PMID:21863085	Comparative Toxicogenomics Database (CTD)
DED000090	MESH:D012878	PMID:21863085	Comparative Toxicogenomics Database (CTD)
DED000090	MESH:D013274	PMID:21863085	Comparative Toxicogenomics Database (CTD)
DED000603	MESH:D001284	PMID:3228205|PMID:6487690	Comparative Toxicogenomics Database (CTD)
DED000603	MESH:D053713	PMID:73955	Comparative Toxicogenomics Database (CTD)
DED000603	MESH:D001943	PMID:11921183	Comparative Toxicogenomics Database (CTD)
DED000603	MESH:D007248	PMID:17353961	Comparative Toxicogenomics Database (CTD)
DED000603	MESH:D007674	PMID:2734806	Comparative Toxicogenomics Database (CTD)
DED000603	MESH:D008175	PMID:292813	Comparative Toxicogenomics Database (CTD)
DED000603	MESH:D008325	PMID:11921183	Comparative Toxicogenomics Database (CTD)
DED000603	MESH:D009336	PMID:2734806	Comparative Toxicogenomics Database (CTD)
