source	target	reference	reference_source
DED000001	3952	PMID:22956630	Comparative Toxicogenomics Database (CTD)
DED000002	1119	PMID:29110037	Comparative Toxicogenomics Database (CTD)
DED000002	1282	PMID:8135774	Comparative Toxicogenomics Database (CTD)
DED000002	153364	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	1938	PMID:16469450	Comparative Toxicogenomics Database (CTD)
DED000002	2034	PMID:35504338	Comparative Toxicogenomics Database (CTD)
DED000002	217	PMID:28017615	Comparative Toxicogenomics Database (CTD)
DED000002	22943	PMID:22634333|PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	23035	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	2495	PMID:35595033	Comparative Toxicogenomics Database (CTD)
DED000002	283687	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	29923	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	3091	PMID:35504338	Comparative Toxicogenomics Database (CTD)
DED000002	387640	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	4144	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	4312	PMID:7934638	Comparative Toxicogenomics Database (CTD)
DED000002	4976	PMID:35158046	Comparative Toxicogenomics Database (CTD)
DED000002	5071	PMID:35595033	Comparative Toxicogenomics Database (CTD)
DED000002	5080	PMID:22634333	Comparative Toxicogenomics Database (CTD)
DED000002	5465	PMID:18703563	Comparative Toxicogenomics Database (CTD)
DED000002	5514	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	55629	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	55669	PMID:35158046	Comparative Toxicogenomics Database (CTD)
DED000002	56829	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	56977	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	57804	PMID:33064461	Comparative Toxicogenomics Database (CTD)
DED000002	57817	PMID:16737972	Comparative Toxicogenomics Database (CTD)
DED000002	596	PMID:16814256|PMID:35158046	Comparative Toxicogenomics Database (CTD)
DED000002	5994	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	64859	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	650	PMID:28017615	Comparative Toxicogenomics Database (CTD)
DED000002	65018	PMID:35595033	Comparative Toxicogenomics Database (CTD)
DED000002	7769	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	84826	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	84981	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	8878	PMID:35595033	Comparative Toxicogenomics Database (CTD)
DED000002	91461	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	94234	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000002	9886	PMID:23416264	Comparative Toxicogenomics Database (CTD)
DED000003	100124487	PMID:32105654	Comparative Toxicogenomics Database (CTD)
DED000003	100126343	PMID:32105654	Comparative Toxicogenomics Database (CTD)
DED000003	100194935	PMID:20036648	Comparative Toxicogenomics Database (CTD)
DED000003	100287569	PMID:35135009	Comparative Toxicogenomics Database (CTD)
DED000003	100526467	PMID:32105654	Comparative Toxicogenomics Database (CTD)
DED000003	100526508	PMID:32105654	Comparative Toxicogenomics Database (CTD)
DED000003	10078	PMID:15120971|PMID:15122651	Comparative Toxicogenomics Database (CTD)
DED000003	10112	PMID:21843810	Comparative Toxicogenomics Database (CTD)
