source	target	reference	reference_source
DED000001	GO:0008284	PMID:22552402	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0001649	PMID:28017615	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0004030	PMID:35158046	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0004035	PMID:28017615	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0006750	PMID:28017615	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0044237	PMID:35158046	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0055072	PMID:35595033	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0000723	PMID:19772576	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0002521	PMID:15576619	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0004784	PMID:35090963	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0006306	PMID:26341289	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0006750	PMID:24733833	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0007088	PMID:23138419	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0007283	PMID:36306860	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0007596	PMID:33749080	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0030218	PMID:30567741	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0030220	PMID:31988427|PMID:33749080|PMID:35092719	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0030851	PMID:15576619	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0036344	PMID:15576619	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0040018	PMID:28373009	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0042541	PMID:33749080	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0046651	PMID:30567741	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0070661	PMID:30567741|PMID:38866309	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0097009	PMID:33502539	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0097722	PMID:36306860	Comparative Toxicogenomics Database (CTD)
DED000006	GO:0008283	PMID:25458622	Comparative Toxicogenomics Database (CTD)
DED000007	GO:0016049	PMID:30002397	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0004096	PMID:39798443	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0004364	PMID:29572906	Comparative Toxicogenomics Database (CTD)
DED000008	GO:0004602	PMID:34339004|PMID:39798443	Comparative Toxicogenomics Database (CTD)
