source	target	reference	reference_source
DED000001	6817	PMID:16308312	Comparative Toxicogenomics Database (CTD)
DED000002	25	PMID:17030193	Comparative Toxicogenomics Database (CTD)
DED000002	2539	PMID:8123704	Comparative Toxicogenomics Database (CTD)
DED000002	2741	PMID:11707631	Comparative Toxicogenomics Database (CTD)
DED000002	3725	PMID:10799556	Comparative Toxicogenomics Database (CTD)
DED000002	4318	PMID:19110045	Comparative Toxicogenomics Database (CTD)
DED000002	4790	PMID:10799556|PMID:17952619	Comparative Toxicogenomics Database (CTD)
DED000002	4791	PMID:10799556	Comparative Toxicogenomics Database (CTD)
DED000002	4792	PMID:10799556|PMID:14722113	Comparative Toxicogenomics Database (CTD)
DED000002	5580	PMID:17030193	Comparative Toxicogenomics Database (CTD)
DED000002	5594	PMID:12065697|PMID:14722101|PMID:17030193	Comparative Toxicogenomics Database (CTD)
DED000002	5595	PMID:12065697|PMID:14722101|PMID:17030193	Comparative Toxicogenomics Database (CTD)
DED000002	5599	PMID:10733585	Comparative Toxicogenomics Database (CTD)
DED000002	5601	PMID:10733585	Comparative Toxicogenomics Database (CTD)
DED000002	5970	PMID:10799556|PMID:17952619	Comparative Toxicogenomics Database (CTD)
DED000002	6198	PMID:16962100	Comparative Toxicogenomics Database (CTD)
DED000002	687	PMID:10733585	Comparative Toxicogenomics Database (CTD)
DED000002	836	PMID:14722101|PMID:16814256	Comparative Toxicogenomics Database (CTD)
DED000003	1017	PMID:9118908	Comparative Toxicogenomics Database (CTD)
DED000003	1728	PMID:20079720	Comparative Toxicogenomics Database (CTD)
DED000003	2538	PMID:26056850	Comparative Toxicogenomics Database (CTD)
DED000003	5105	PMID:26056850	Comparative Toxicogenomics Database (CTD)
DED000003	5447	PMID:3080823	Comparative Toxicogenomics Database (CTD)
DED000003	7015	PMID:19080380	Comparative Toxicogenomics Database (CTD)
DED000003	7157	PMID:9118908	Comparative Toxicogenomics Database (CTD)
DED000003	836	PMID:15826604|PMID:27339418	Comparative Toxicogenomics Database (CTD)
DED000003	8989	PMID:21591660	Comparative Toxicogenomics Database (CTD)
DED000006	100506742	PMID:17567590|PMID:17567592	Comparative Toxicogenomics Database (CTD)
DED000007	6513	PMID:20955755	Comparative Toxicogenomics Database (CTD)
DED000008	100506742	PMID:18077580|PMID:18226606	Comparative Toxicogenomics Database (CTD)
DED000008	1051	PMID:16008523	Comparative Toxicogenomics Database (CTD)
DED000008	10673	PMID:18418899	Comparative Toxicogenomics Database (CTD)
DED000008	1326	PMID:19808956	Comparative Toxicogenomics Database (CTD)
DED000008	1728	PMID:18474416	Comparative Toxicogenomics Database (CTD)
DED000008	2002	PMID:10445758|PMID:16008523	Comparative Toxicogenomics Database (CTD)
DED000008	207	PMID:11788791|PMID:14971644|PMID:22040890	Comparative Toxicogenomics Database (CTD)
DED000008	2321	PMID:25493652	Comparative Toxicogenomics Database (CTD)
DED000008	2729	PMID:19328227	Comparative Toxicogenomics Database (CTD)
DED000008	2730	PMID:19328227	Comparative Toxicogenomics Database (CTD)
DED000008	3297	PMID:20835880	Comparative Toxicogenomics Database (CTD)
DED000008	3576	PMID:18418899	Comparative Toxicogenomics Database (CTD)
DED000008	4353	PMID:37442281	Comparative Toxicogenomics Database (CTD)
DED000008	4780	PMID:25680285|PMID:25701757|PMID:33412187	Comparative Toxicogenomics Database (CTD)
DED000008	4790	PMID:18418899	Comparative Toxicogenomics Database (CTD)
DED000008	4843	PMID:28688901	Comparative Toxicogenomics Database (CTD)
DED000008	4846	PMID:11788791	Comparative Toxicogenomics Database (CTD)
DED000008	5054	PMID:11864708	Comparative Toxicogenomics Database (CTD)
DED000008	54407	PMID:22215663	Comparative Toxicogenomics Database (CTD)
DED000008	5591	PMID:22366412	Comparative Toxicogenomics Database (CTD)
DED000008	5594	PMID:14516795|PMID:14674888|PMID:16008523|PMID:19059425|PMID:21344382	Comparative Toxicogenomics Database (CTD)
DED000008	5595	PMID:14516795|PMID:14674888|PMID:16008523|PMID:19059425|PMID:21344382	Comparative Toxicogenomics Database (CTD)
DED000008	5599	PMID:15014438	Comparative Toxicogenomics Database (CTD)
DED000008	5601	PMID:22366412	Comparative Toxicogenomics Database (CTD)
DED000008	5604	PMID:14674888	Comparative Toxicogenomics Database (CTD)
DED000008	5605	PMID:14674888	Comparative Toxicogenomics Database (CTD)
DED000008	5743	PMID:34339004	Comparative Toxicogenomics Database (CTD)
DED000008	578	PMID:17553788	Comparative Toxicogenomics Database (CTD)
DED000008	581	PMID:17553788	Comparative Toxicogenomics Database (CTD)
DED000008	5970	PMID:20199942	Comparative Toxicogenomics Database (CTD)
DED000008	5971	PMID:18418899	Comparative Toxicogenomics Database (CTD)
DED000008	6198	PMID:14516795	Comparative Toxicogenomics Database (CTD)
DED000008	7157	PMID:30177839	Comparative Toxicogenomics Database (CTD)
DED000008	7296	PMID:19429247|PMID:36343453	Comparative Toxicogenomics Database (CTD)
DED000008	8569	PMID:9545260	Comparative Toxicogenomics Database (CTD)
DED000008	9252	PMID:11689710	Comparative Toxicogenomics Database (CTD)
DED000008	9261	PMID:12071973|PMID:9545260	Comparative Toxicogenomics Database (CTD)
DED000008	9970	PMID:18832183|PMID:30203046	Comparative Toxicogenomics Database (CTD)
DED000009	100506742	PMID:24224909	Comparative Toxicogenomics Database (CTD)
DED000009	1020	PMID:30143782	Comparative Toxicogenomics Database (CTD)
DED000009	10397	PMID:23991167	Comparative Toxicogenomics Database (CTD)
DED000009	11522	PMID:25111957	Comparative Toxicogenomics Database (CTD)
DED000009	13087	PMID:22552773|PMID:28131861	Comparative Toxicogenomics Database (CTD)
DED000009	142	PMID:27984176|PMID:30368987	Comparative Toxicogenomics Database (CTD)
DED000009	1528	PMID:28442378	Comparative Toxicogenomics Database (CTD)
DED000009	1571	PMID:10667633|PMID:15920153|PMID:11212141|PMID:30380359|PMID:8074729|PMID:12451447|PMID:15802389|PMID:18845238|PMID:19325051|PMID:22552773|PMID:15946133|PMID:19788401|PMID:21999510|PMID:22960445|PMID:24146112|PMID:25111957|PMID:15998439|PMID:20116195|PMID:21704112|PMID:22525864|PMID:28442378|PMID:17299812|PMID:17533807|PMID:22530035|PMID:22552773|PMID:24146112|PMID:24892905|PMID:28131861|PMID:28797650|PMID:23274713|PMID:35301062	Comparative Toxicogenomics Database (CTD)
DED000009	1727	PMID:28442378	Comparative Toxicogenomics Database (CTD)
DED000009	196	PMID:30203046	Comparative Toxicogenomics Database (CTD)
DED000009	210	PMID:16309571	Comparative Toxicogenomics Database (CTD)
DED000009	218	PMID:15920153	Comparative Toxicogenomics Database (CTD)
DED000009	23433	PMID:16105861	Comparative Toxicogenomics Database (CTD)
DED000009	2554	PMID:16807363	Comparative Toxicogenomics Database (CTD)
DED000009	2805	PMID:31374322	Comparative Toxicogenomics Database (CTD)
