source	target	reference	reference_source
DED000001	GO:0008219	PMID:39389441	Comparative Toxicogenomics Database (CTD)
DED000001	GO:0008283	PMID:16021681	Comparative Toxicogenomics Database (CTD)
DED000001	GO:0010942	PMID:22552402	Comparative Toxicogenomics Database (CTD)
DED000001	GO:0034440	PMID:39389441	Comparative Toxicogenomics Database (CTD)
DED000001	GO:0035063	PMID:39389441	Comparative Toxicogenomics Database (CTD)
DED000001	GO:0070269	PMID:39389441	Comparative Toxicogenomics Database (CTD)
DED000001	GO:0070782	PMID:22552402	Comparative Toxicogenomics Database (CTD)
DED000001	GO:1902512	PMID:22552402	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0004069	PMID:35158046	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0005739	PMID:35158046	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0006749	PMID:35595033	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0006915	PMID:35158046	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0008285	PMID:35595033	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0010942	PMID:28821405	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0014063	PMID:26711020	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0016042	PMID:28017615|PMID:35158046	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0032125	PMID:29110037	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0033602	PMID:26711020	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0034440	PMID:35595033	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0036211	PMID:28119953	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0042310	PMID:2727987	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0045930	PMID:29110037	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0070994	PMID:28017615	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0150032	PMID:35595033	Comparative Toxicogenomics Database (CTD)
DED000002	GO:0160020	PMID:35595033	Comparative Toxicogenomics Database (CTD)
DED000002	GO:1901525	PMID:35595033	Comparative Toxicogenomics Database (CTD)
DED000002	GO:1903428	PMID:35595033	Comparative Toxicogenomics Database (CTD)
DED000002	GO:2000786	PMID:35595033	Comparative Toxicogenomics Database (CTD)
DED000003	GO:0001510	PMID:36306860	Comparative Toxicogenomics Database (CTD)
