source	target	reference	reference_source
DEDuCT_Endpoint:1	MESH:D006058	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:1	MESH:D006059	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:6	MESH:D010859	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:12	MESH:D000072660	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:13	MESH:D000072660	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:14	MESH:D003920	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:14	OMIM:616087	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:14	MESH:D003924	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:15	MESH:D011629	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:16	MESH:D011629	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:19	MESH:D000230	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:55	MESH:D000307	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:58	MESH:D002658	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:84	MESH:D007246	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:85	MESH:D007246	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:88	MESH:D010182	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:103	MESH:D011248	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:111	MESH:D007775	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:114	MESH:D052439	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:115	MESH:D052439	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:117	MESH:D008107	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:118	MESH:D000068079	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:120	MESH:D008659	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:121	MESH:D028361	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:122	MESH:D028361	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:123	MESH:D008107	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:125	MESH:D065886	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:134	MESH:D010049	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:143	MESH:D010182	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:147	MESH:D010900	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:167	MESH:D007859	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:168	MESH:D007859	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:169	MESH:D008569	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:170	MESH:D008569	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:176	MESH:D013158	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:186	MESH:D013733	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:189	MESH:D013733	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:190	MESH:D013733	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:191	MESH:D013733	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:192	MESH:D013733	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:210	MESH:C562565	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:210	MESH:D014591	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:211	MESH:C562565	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:211	MESH:D014591	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:217	MESH:D006058	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:218	MESH:D011469	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:219	MESH:D011469	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:221	MESH:D014623	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:255	MESH:D008141	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:273	MESH:D000853	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:274	MESH:D001284	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:275	MESH:D001284	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:276	MESH:D001284	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:277	MESH:D001284	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:278	MESH:D001284	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:279	MESH:D001284	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:280	MESH:D001284	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:281	MESH:D001284	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:282	MESH:D001284	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:283	MESH:D053713	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:286	MESH:D007249	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:287	MESH:D007333	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:288	MESH:D007333	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:291	MESH:D002583	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:335	MESH:D060825	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:335	MESH:D003072	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:335	OMIM:614306	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:336	MESH:D060825	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:336	MESH:D003072	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:336	OMIM:614306	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:388	MESH:D015431	manual inference from DEDuCT 3.0	DEDuCT 3.0
