source	target	reference	reference_source
DEDuCT_Endpoint:434	KE:749	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:434	KE:1692	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:161	KE:1390	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:377	KE:531	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:377	KE:690	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:285	KE:885	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:285	KE:1971	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:109	KE:2066	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:731	KE:1193	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:731	KE:1982	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:530	KE:1023	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:793	KE:854	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:447	KE:1506	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:449	KE:1690	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:184	KE:592	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:184	KE:636	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:340	KE:1003	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:340	KE:1116	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:781	KE:520	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:781	KE:1757	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:755	KE:1392	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:227	KE:496	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:91	KE:1560	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:479	KE:773	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:479	KE:854	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:59	KE:1560	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:783	KE:520	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:783	KE:646	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:481	KE:854	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:688	KE:496	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:22	KE:1239	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:691	KE:1776	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:691	KE:1262	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:691	KE:1365	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:691	KE:1817	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:691	KE:1864	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:691	KE:1825	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:690	KE:1776	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:690	KE:1262	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:690	KE:1513	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:690	KE:1365	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:690	KE:1817	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:690	KE:1864	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:690	KE:1825	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:713	KE:1262	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:713	KE:1365	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:713	KE:1817	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:713	KE:1864	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:713	KE:1825	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:713	KE:2195	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:751	KE:1392	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:480	KE:854	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:591	KE:1289	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:591	KE:2115	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:684	KE:1262	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:684	KE:1365	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:684	KE:1817	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:684	KE:1864	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:684	KE:1825	manually inferred	DEDuCT 3.0
DEDuCT_Endpoint:510	KE:854	manually inferred	DEDuCT 3.0
