source	target	reference	reference_source
DEDuCT_Endpoint:1	GO:2000019	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:1	GO:2000195	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:2	GO:0044849	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:3	GO:0044849	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:6	GO:0043473	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:7	GO:0048599	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:7	GO:0001556	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:8	GO:0036093	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:9	GO:1990739	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:10	GO:0008283	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:11	GO:0008283	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:12	GO:0036126	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:12	GO:0061827	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:12	GO:0097225	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:13	GO:0036126	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:13	GO:0061827	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:13	GO:0097225	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:17	GO:0071593	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:18	GO:0070488	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:20	GO:0016917	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:20	GO:0050811	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:21	GO:0050847	manual inference from DEDuCT 3.0	DEDuCT 3.0
DEDuCT_Endpoint:22	GO:0002154	manual inference from DEDuCT 3.0	DEDuCT 3.0
