source	target	reference	reference_source
331	GO:0042981	PMID:11865055	Gene Ontology (GO) - Experimental Evidence
493	GO:0038060	PMID:19278978	Gene Ontology (GO) - Experimental Evidence
4291	GO:1902806	PMID:15861129	Gene Ontology (GO) - Experimental Evidence
4671	GO:0042981	PMID:11865055	Gene Ontology (GO) - Experimental Evidence
6794	GO:0070314	PMID:17216128	Gene Ontology (GO) - Experimental Evidence
6794	GO:0070314	PMID:12805220	Gene Ontology (GO) - Experimental Evidence
7021	GO:0043066	PMID:17525748	Gene Ontology (GO) - Experimental Evidence
7057	GO:0038060	PMID:17416590	Gene Ontology (GO) - Experimental Evidence
7157	GO:1902749	PMID:10962037	Gene Ontology (GO) - Experimental Evidence
7161	GO:0051726	PMID:18421303	Gene Ontology (GO) - Experimental Evidence
7709	GO:0070314	PMID:19160485	Gene Ontology (GO) - Experimental Evidence
8399	GO:0141193	PMID:20844270	Gene Ontology (GO) - Experimental Evidence
10514	GO:1903450	PMID:21471221	Gene Ontology (GO) - Experimental Evidence
11180	GO:0070314	PMID:17216128	Gene Ontology (GO) - Experimental Evidence
11186	GO:1902806	PMID:12024041	Gene Ontology (GO) - Experimental Evidence
23378	GO:1903450	PMID:21471221	Gene Ontology (GO) - Experimental Evidence
51147	GO:1902749	PMID:15251430	Gene Ontology (GO) - Experimental Evidence
54606	GO:0044830	PMID:33109765	Gene Ontology (GO) - Experimental Evidence
57104	GO:0160077	PMID:28578400	Gene Ontology (GO) - Experimental Evidence
64116	GO:0043124	PMID:23403290	Gene Ontology (GO) - Experimental Evidence
64116	GO:0050728	PMID:23403290	Gene Ontology (GO) - Experimental Evidence
79444	GO:0042981	PMID:11865055	Gene Ontology (GO) - Experimental Evidence
91039	GO:0070269	PMID:33731929|PMID:34019797	Gene Ontology (GO) - Experimental Evidence
92335	GO:0070314	PMID:12805220	Gene Ontology (GO) - Experimental Evidence
406929	GO:0042311	PMID:24244340	Gene Ontology (GO) - Experimental Evidence
407017	GO:0051607	PMID:26222045	Gene Ontology (GO) - Experimental Evidence
494327	GO:0006805	PMID:19945440	Gene Ontology (GO) - Experimental Evidence
693198	GO:0141193	PMID:24751522	Gene Ontology (GO) - Experimental Evidence
12036	GO:0050873	PMID:35075301	Gene Ontology (GO) - Experimental Evidence
12389	GO:0007595	PMID:12388746	Gene Ontology (GO) - Experimental Evidence
13116	GO:1903044	PMID:20193040	Gene Ontology (GO) - Experimental Evidence
15902	GO:0010468	PMID:17681138	Gene Ontology (GO) - Experimental Evidence
15902	GO:0045664	PMID:17681138	Gene Ontology (GO) - Experimental Evidence
15902	GO:2000177	PMID:17681138	Gene Ontology (GO) - Experimental Evidence
16923	GO:0035162	PMID:14612394	Gene Ontology (GO) - Experimental Evidence
16923	GO:0038163	PMID:27430239	Gene Ontology (GO) - Experimental Evidence
17260	GO:0098989	PMID:18599438	Gene Ontology (GO) - Experimental Evidence
17260	GO:0098990	PMID:18599438	Gene Ontology (GO) - Experimental Evidence
18706	GO:0141068	PMID:21047779	Gene Ontology (GO) - Experimental Evidence
18996	GO:0051726	PMID:18421303	Gene Ontology (GO) - Experimental Evidence
19823	GO:0038026	PMID:24210661	Gene Ontology (GO) - Experimental Evidence
21385	GO:0043474	PMID:26971330	Gene Ontology (GO) - Experimental Evidence
21419	GO:0043066	PMID:17525748	Gene Ontology (GO) - Experimental Evidence
24069	GO:0007224	PMID:29487109	Gene Ontology (GO) - Experimental Evidence
26565	GO:0141193	PMID:20844270	Gene Ontology (GO) - Experimental Evidence
75717	GO:0038026	PMID:17974915|PMID:24210661	Gene Ontology (GO) - Experimental Evidence
100314029	GO:0045765	PMID:29207094	Gene Ontology (GO) - Experimental Evidence
