source	target	reference	reference_source
1001	GO:0030512	PMID:22696062	Gene Ontology (GO) - Experimental Evidence
2627	GO:0070315	PMID:9593712	Gene Ontology (GO) - Experimental Evidence
5660	GO:0010467	PMID:27356620	Gene Ontology (GO) - Experimental Evidence
9528	GO:0009101	PMID:20427278	Gene Ontology (GO) - Experimental Evidence
10019	GO:0038163	PMID:20404132	Gene Ontology (GO) - Experimental Evidence
283131	GO:0010793	PMID:19716791	Gene Ontology (GO) - Experimental Evidence
11774	GO:0042789	PMID:31272455	Gene Ontology (GO) - Experimental Evidence
11774	GO:0050790	PMID:31272455	Gene Ontology (GO) - Experimental Evidence
11816	GO:0010467	PMID:26397958	Gene Ontology (GO) - Experimental Evidence
12628	GO:0006957	PMID:19828624	Gene Ontology (GO) - Experimental Evidence
12902	GO:0006957	PMID:19828624	Gene Ontology (GO) - Experimental Evidence
13205	GO:0031053	PMID:28819115	Gene Ontology (GO) - Experimental Evidence
13654	GO:0010467	PMID:26941017	Gene Ontology (GO) - Experimental Evidence
14042	GO:0051923	PMID:18337501	Gene Ontology (GO) - Experimental Evidence
14783	GO:0010467	PMID:26941017	Gene Ontology (GO) - Experimental Evidence
14783	GO:0070371	PMID:26941017	Gene Ontology (GO) - Experimental Evidence
15209	GO:0060070	PMID:17360769	Gene Ontology (GO) - Experimental Evidence
16412	GO:0150003	PMID:25716834	Gene Ontology (GO) - Experimental Evidence
16412	GO:0150103	PMID:25716834	Gene Ontology (GO) - Experimental Evidence
16420	GO:0010467	PMID:23264742|PMID:30467097	Gene Ontology (GO) - Experimental Evidence
16923	GO:1990869	PMID:15337790	Gene Ontology (GO) - Experimental Evidence
18605	GO:0070212	PMID:27406238	Gene Ontology (GO) - Experimental Evidence
19016	GO:0002246	PMID:21880694	Gene Ontology (GO) - Experimental Evidence
19156	GO:0010467	PMID:27356620	Gene Ontology (GO) - Experimental Evidence
19702	GO:0010467	PMID:27754863	Gene Ontology (GO) - Experimental Evidence
19821	GO:0010467	PMID:23027973	Gene Ontology (GO) - Experimental Evidence
20502	GO:0006590	PMID:24248460	Gene Ontology (GO) - Experimental Evidence
20502	GO:0070460	PMID:24248460	Gene Ontology (GO) - Experimental Evidence
20586	GO:0010467	PMID:25119045	Gene Ontology (GO) - Experimental Evidence
65106	GO:0072659	PMID:22210510	Gene Ontology (GO) - Experimental Evidence
65106	GO:0098712	PMID:12119102	Gene Ontology (GO) - Experimental Evidence
66864	GO:0036324	PMID:27991863	Gene Ontology (GO) - Experimental Evidence
72472	GO:0006590	PMID:24248460	Gene Ontology (GO) - Experimental Evidence
72472	GO:0070460	PMID:24248460	Gene Ontology (GO) - Experimental Evidence
81703	GO:0006357	PMID:11231009	Gene Ontology (GO) - Experimental Evidence
83433	GO:0070269	PMID:29887864	Gene Ontology (GO) - Experimental Evidence
105504	GO:0006915	PMID:26040895	Gene Ontology (GO) - Experimental Evidence
192236	GO:0010467	PMID:31272455	Gene Ontology (GO) - Experimental Evidence
208266	GO:0010467	PMID:20427473	Gene Ontology (GO) - Experimental Evidence
228368	GO:0009247	PMID:18308723	Gene Ontology (GO) - Experimental Evidence
381485	GO:1905517	PMID:29435413	Gene Ontology (GO) - Experimental Evidence
387161	GO:0010467	PMID:29925839	Gene Ontology (GO) - Experimental Evidence
387177	GO:0010467	PMID:28819115	Gene Ontology (GO) - Experimental Evidence
387178	GO:0010467	PMID:28819115	Gene Ontology (GO) - Experimental Evidence
723886	GO:0010467	PMID:28819115	Gene Ontology (GO) - Experimental Evidence
751519	GO:0006468	PMID:28411267	Gene Ontology (GO) - Experimental Evidence
751519	GO:0010467	PMID:28411267	Gene Ontology (GO) - Experimental Evidence
751519	GO:0051898	PMID:28411267	Gene Ontology (GO) - Experimental Evidence
751523	GO:0006915	PMID:30325740	Gene Ontology (GO) - Experimental Evidence
751523	GO:0010467	PMID:30325740	Gene Ontology (GO) - Experimental Evidence
100124476	GO:0010467	PMID:26941017	Gene Ontology (GO) - Experimental Evidence
100124493	GO:0006954	PMID:23015294	Gene Ontology (GO) - Experimental Evidence
100124493	GO:0010467	PMID:23015294	Gene Ontology (GO) - Experimental Evidence
100316737	GO:0010467	PMID:30323063	Gene Ontology (GO) - Experimental Evidence
100316840	GO:0010467	PMID:27013351	Gene Ontology (GO) - Experimental Evidence
100499514	GO:0010467	PMID:19920351	Gene Ontology (GO) - Experimental Evidence
101202683	GO:0008283	PMID:23239537	Gene Ontology (GO) - Experimental Evidence
101202683	GO:0010467	PMID:23239537	Gene Ontology (GO) - Experimental Evidence
101202683	GO:0016477	PMID:23239537	Gene Ontology (GO) - Experimental Evidence
102465187	GO:0010467	PMID:29925839	Gene Ontology (GO) - Experimental Evidence
102465671	GO:0001774	PMID:28543680	Gene Ontology (GO) - Experimental Evidence
102465671	GO:0150103	PMID:28543680	Gene Ontology (GO) - Experimental Evidence
103164605	GO:0010467	PMID:24488179	Gene Ontology (GO) - Experimental Evidence
105500046	GO:0022008	PMID:25800779	Gene Ontology (GO) - Experimental Evidence
25139	GO:0007614	PMID:27881773	Gene Ontology (GO) - Experimental Evidence
