source	target	reference	reference_source
2	GO:0031012	PMID:28327460	Gene Ontology (GO) - Experimental Evidence
81	GO:0015629	PMID:25918384	Gene Ontology (GO) - Experimental Evidence
87	GO:0005884	PMID:23434115|PMID:24069336	Gene Ontology (GO) - Experimental Evidence
88	GO:0005886	PMID:19815520	Gene Ontology (GO) - Experimental Evidence
118	GO:0005886	PMID:25978380	Gene Ontology (GO) - Experimental Evidence
165	GO:0031012	PMID:20551380	Gene Ontology (GO) - Experimental Evidence
176	GO:0031012	PMID:20551380	Gene Ontology (GO) - Experimental Evidence
182	GO:0016020	PMID:22465068	Gene Ontology (GO) - Experimental Evidence
199	GO:0005884	PMID:18699778	Gene Ontology (GO) - Experimental Evidence
199	GO:0032587	PMID:18699778	Gene Ontology (GO) - Experimental Evidence
274	GO:0005856	PMID:25051234	Gene Ontology (GO) - Experimental Evidence
288	GO:0005923	PMID:14757759	Gene Ontology (GO) - Experimental Evidence
301	GO:0005884	PMID:22773844	Gene Ontology (GO) - Experimental Evidence
302	GO:0031012	PMID:28327460	Gene Ontology (GO) - Experimental Evidence
302	GO:0045121	PMID:14699089	Gene Ontology (GO) - Experimental Evidence
308	GO:0031012	PMID:28327460	Gene Ontology (GO) - Experimental Evidence
309	GO:0031012	PMID:28327460	Gene Ontology (GO) - Experimental Evidence
310	GO:0042584	PMID:9268363	Gene Ontology (GO) - Experimental Evidence
324	GO:0005874	PMID:28057765	Gene Ontology (GO) - Experimental Evidence
324	GO:0005886	PMID:16611247	Gene Ontology (GO) - Experimental Evidence
324	GO:0005912	PMID:16611247	Gene Ontology (GO) - Experimental Evidence
325	GO:0005576	PMID:20551380	Gene Ontology (GO) - Experimental Evidence
337	GO:0009986	PMID:1935934	Gene Ontology (GO) - Experimental Evidence
350	GO:0005576	PMID:20551380	Gene Ontology (GO) - Experimental Evidence
351	GO:0005737	PMID:11689470	Gene Ontology (GO) - Experimental Evidence
351	GO:0005764	PMID:21289173|PMID:23152628	Gene Ontology (GO) - Experimental Evidence
351	GO:0005886	PMID:11689470	Gene Ontology (GO) - Experimental Evidence
351	GO:0043005	PMID:25390368	Gene Ontology (GO) - Experimental Evidence
351	GO:0044297	PMID:25390368	Gene Ontology (GO) - Experimental Evidence
351	GO:0098793	PMID:25390368	Gene Ontology (GO) - Experimental Evidence
351	GO:0098794	PMID:25390368	Gene Ontology (GO) - Experimental Evidence
357	GO:0030864	PMID:16684770	Gene Ontology (GO) - Experimental Evidence
387	GO:0032154	PMID:16103226	Gene Ontology (GO) - Experimental Evidence
392	GO:0097443	PMID:16380373	Gene Ontology (GO) - Experimental Evidence
468	GO:0005813	PMID:20873783	Gene Ontology (GO) - Experimental Evidence
472	GO:0000781	PMID:15149599	Gene Ontology (GO) - Experimental Evidence
488	GO:0014704	PMID:16402920	Gene Ontology (GO) - Experimental Evidence
540	GO:0005802	PMID:15269005|PMID:16472602	Gene Ontology (GO) - Experimental Evidence
540	GO:0016323	PMID:15269005	Gene Ontology (GO) - Experimental Evidence
540	GO:0031410	PMID:16472602	Gene Ontology (GO) - Experimental Evidence
540	GO:0048471	PMID:16939419	Gene Ontology (GO) - Experimental Evidence
571	GO:0005634	PMID:16780588	Gene Ontology (GO) - Experimental Evidence
571	GO:0005829	PMID:16780588	Gene Ontology (GO) - Experimental Evidence
581	GO:0071944	PMID:21803450	Gene Ontology (GO) - Experimental Evidence
604	GO:0005657	PMID:10490843	Gene Ontology (GO) - Experimental Evidence
633	GO:0031012	PMID:20551380	Gene Ontology (GO) - Experimental Evidence
636	GO:0005794	PMID:17139249	Gene Ontology (GO) - Experimental Evidence
636	GO:0005881	PMID:20089649	Gene Ontology (GO) - Experimental Evidence
