source	target	reference	reference_source
18	GO:0034386	PMID:15528998	Gene Ontology (GO) - Experimental Evidence
60	GO:0031492	PMID:16217013	Gene Ontology (GO) - Experimental Evidence
86	GO:0031492	PMID:16217013	Gene Ontology (GO) - Experimental Evidence
90	GO:0016361	PMID:8242742	Gene Ontology (GO) - Experimental Evidence
91	GO:0017002	PMID:12665502	Gene Ontology (GO) - Experimental Evidence
91	GO:0019838	PMID:14517293	Gene Ontology (GO) - Experimental Evidence
91	GO:0048185	PMID:12665502	Gene Ontology (GO) - Experimental Evidence
92	GO:0005515	PMID:10746731	Gene Ontology (GO) - Experimental Evidence
92	GO:0017002	PMID:12665502	Gene Ontology (GO) - Experimental Evidence
92	GO:0048185	PMID:9032295	Gene Ontology (GO) - Experimental Evidence
155	GO:0051380	PMID:15123695	Gene Ontology (GO) - Experimental Evidence
196	GO:0004879	PMID:34521881	Gene Ontology (GO) - Experimental Evidence
213	GO:0019825	PMID:16283771	Gene Ontology (GO) - Experimental Evidence
335	GO:0120020	PMID:9651324	Gene Ontology (GO) - Experimental Evidence
336	GO:0120020	PMID:9651324	Gene Ontology (GO) - Experimental Evidence
351	GO:0048018	PMID:33239400	Gene Ontology (GO) - Experimental Evidence
405	GO:0000981	PMID:7539918|PMID:8756616	Gene Ontology (GO) - Experimental Evidence
405	GO:0004879	PMID:34521881	Gene Ontology (GO) - Experimental Evidence
468	GO:0000976	PMID:12871976	Gene Ontology (GO) - Experimental Evidence
498	GO:0046933	PMID:12110673	Gene Ontology (GO) - Experimental Evidence
506	GO:0046933	PMID:12110673	Gene Ontology (GO) - Experimental Evidence
509	GO:0046933	PMID:12110673	Gene Ontology (GO) - Experimental Evidence
513	GO:0046933	PMID:12110673	Gene Ontology (GO) - Experimental Evidence
514	GO:0046933	PMID:12110673	Gene Ontology (GO) - Experimental Evidence
515	GO:0046933	PMID:12110673	Gene Ontology (GO) - Experimental Evidence
521	GO:0046933	PMID:12110673	Gene Ontology (GO) - Experimental Evidence
522	GO:0046933	PMID:12110673	Gene Ontology (GO) - Experimental Evidence
539	GO:0046933	PMID:12110673	Gene Ontology (GO) - Experimental Evidence
580	GO:0004842	PMID:12890688|PMID:20351172	Gene Ontology (GO) - Experimental Evidence
593	GO:0003863	PMID:9582350|PMID:10745006	Gene Ontology (GO) - Experimental Evidence
594	GO:0003863	PMID:9582350|PMID:10745006	Gene Ontology (GO) - Experimental Evidence
594	GO:0003863	PMID:2022752	Gene Ontology (GO) - Experimental Evidence
650	GO:0005125	PMID:31800957	Gene Ontology (GO) - Experimental Evidence
654	GO:0005125	PMID:31800957	Gene Ontology (GO) - Experimental Evidence
712	GO:0019864	PMID:29449492	Gene Ontology (GO) - Experimental Evidence
