source	target	reference	reference_source
2	GO:0001869	PMID:12538697	Gene Ontology (GO) - Experimental Evidence
14	GO:0014909	PMID:18634987	Gene Ontology (GO) - Experimental Evidence
15	GO:0006474	PMID:11313340	Gene Ontology (GO) - Experimental Evidence
15	GO:0007623	PMID:12736803	Gene Ontology (GO) - Experimental Evidence
15	GO:0030187	PMID:11313340	Gene Ontology (GO) - Experimental Evidence
15	GO:0071320	PMID:11313340	Gene Ontology (GO) - Experimental Evidence
16	GO:0006419	PMID:27622773|PMID:28493438	Gene Ontology (GO) - Experimental Evidence
16	GO:0006419	PMID:33909043	Gene Ontology (GO) - Experimental Evidence
16	GO:0035332	PMID:38512451	Gene Ontology (GO) - Experimental Evidence
16	GO:1901797	PMID:38653238	Gene Ontology (GO) - Experimental Evidence
18	GO:0009448	PMID:15528998	Gene Ontology (GO) - Experimental Evidence
19	GO:0007040	PMID:15163665	Gene Ontology (GO) - Experimental Evidence
19	GO:0007186	PMID:16443932	Gene Ontology (GO) - Experimental Evidence
19	GO:0007189	PMID:14701824	Gene Ontology (GO) - Experimental Evidence
19	GO:0008203	PMID:14747463	Gene Ontology (GO) - Experimental Evidence
19	GO:0009306	PMID:11855831	Gene Ontology (GO) - Experimental Evidence
19	GO:0016197	PMID:14747463	Gene Ontology (GO) - Experimental Evidence
19	GO:0023061	PMID:11855831	Gene Ontology (GO) - Experimental Evidence
19	GO:0032367	PMID:10431236	Gene Ontology (GO) - Experimental Evidence
19	GO:0032489	PMID:16443932	Gene Ontology (GO) - Experimental Evidence
19	GO:0033344	PMID:10431236|PMID:11162594|PMID:16702602|PMID:23931754	Gene Ontology (GO) - Experimental Evidence
19	GO:0033344	PMID:28373057	Gene Ontology (GO) - Experimental Evidence
19	GO:0033344	PMID:16443932|PMID:19556522|PMID:25084135|PMID:35974019	Gene Ontology (GO) - Experimental Evidence
19	GO:0033700	PMID:10431236|PMID:11162594	Gene Ontology (GO) - Experimental Evidence
19	GO:0033700	PMID:28373057	Gene Ontology (GO) - Experimental Evidence
19	GO:0033700	PMID:16702602|PMID:19556522|PMID:35974019	Gene Ontology (GO) - Experimental Evidence
19	GO:0034380	PMID:10431236|PMID:14754908|PMID:17305370	Gene Ontology (GO) - Experimental Evidence
19	GO:0034616	PMID:15358760	Gene Ontology (GO) - Experimental Evidence
19	GO:0042632	PMID:10431236	Gene Ontology (GO) - Experimental Evidence
19	GO:0043691	PMID:10431236	Gene Ontology (GO) - Experimental Evidence
19	GO:0045332	PMID:24097981	Gene Ontology (GO) - Experimental Evidence
19	GO:0055091	PMID:16702602	Gene Ontology (GO) - Experimental Evidence
19	GO:0060155	PMID:15163665	Gene Ontology (GO) - Experimental Evidence
20	GO:0032383	PMID:15238223	Gene Ontology (GO) - Experimental Evidence
20	GO:0042632	PMID:15238223	Gene Ontology (GO) - Experimental Evidence
20	GO:0042986	PMID:20704561	Gene Ontology (GO) - Experimental Evidence
20	GO:0048545	PMID:15238223	Gene Ontology (GO) - Experimental Evidence
20	GO:0070723	PMID:11178988	Gene Ontology (GO) - Experimental Evidence
