source	target	reference	reference_source
16	GO:0005634	PMID:38512451	Gene Ontology (GO) - Experimental Evidence
16	GO:0005737	PMID:38512451	Gene Ontology (GO) - Experimental Evidence
20	GO:0005886	PMID:24201375	Gene Ontology (GO) - Experimental Evidence
26	GO:0005615	PMID:8144586	Gene Ontology (GO) - Experimental Evidence
30	GO:0005777	PMID:22057399|PMID:25538232	Gene Ontology (GO) - Experimental Evidence
38	GO:0005783	PMID:32944968	Gene Ontology (GO) - Experimental Evidence
39	GO:0005737	PMID:7911016	Gene Ontology (GO) - Experimental Evidence
40	GO:0005886	PMID:10842183	Gene Ontology (GO) - Experimental Evidence
41	GO:0005886	PMID:21036899	Gene Ontology (GO) - Experimental Evidence
41	GO:0098839	PMID:32996060	Gene Ontology (GO) - Experimental Evidence
41	GO:0098978	PMID:32996060	Gene Ontology (GO) - Experimental Evidence
43	GO:0031594	PMID:14702351	Gene Ontology (GO) - Experimental Evidence
47	GO:0005829	PMID:9116495	Gene Ontology (GO) - Experimental Evidence
51	GO:0005777	PMID:32169171	Gene Ontology (GO) - Experimental Evidence
60	GO:0098871	PMID:18341992	Gene Ontology (GO) - Experimental Evidence
60	GO:0098978	PMID:18341992	Gene Ontology (GO) - Experimental Evidence
81	GO:0098871	PMID:30123108	Gene Ontology (GO) - Experimental Evidence
87	GO:0098978	PMID:29429936	Gene Ontology (GO) - Experimental Evidence
90	GO:0005886	PMID:8242742	Gene Ontology (GO) - Experimental Evidence
91	GO:0005886	PMID:9032295	Gene Ontology (GO) - Experimental Evidence
93	GO:0005886	PMID:17924656	Gene Ontology (GO) - Experimental Evidence
94	GO:0005886	PMID:26176610	Gene Ontology (GO) - Experimental Evidence
103	GO:0005730	PMID:12665561	Gene Ontology (GO) - Experimental Evidence
104	GO:0005730	PMID:21289159	Gene Ontology (GO) - Experimental Evidence
105	GO:0005634	PMID:19617375	Gene Ontology (GO) - Experimental Evidence
116	GO:0005615	PMID:36385145	Gene Ontology (GO) - Experimental Evidence
117	GO:0005886	PMID:36385145	Gene Ontology (GO) - Experimental Evidence
132	GO:0005829	PMID:8577746	Gene Ontology (GO) - Experimental Evidence
133	GO:0005615	PMID:12379507	Gene Ontology (GO) - Experimental Evidence
134	GO:0005886	PMID:25644539	Gene Ontology (GO) - Experimental Evidence
135	GO:0005886	PMID:25644539	Gene Ontology (GO) - Experimental Evidence
142	GO:0000785	PMID:30675909|PMID:34874266|PMID:35013556	Gene Ontology (GO) - Experimental Evidence
142	GO:0005634	PMID:17177976|PMID:22464733|PMID:27256882|PMID:34102106|PMID:35393539|PMID:35460603	Gene Ontology (GO) - Experimental Evidence
142	GO:0005829	PMID:35460603	Gene Ontology (GO) - Experimental Evidence
142	GO:0035861	PMID:27568560|PMID:29234005	Gene Ontology (GO) - Experimental Evidence
142	GO:0043596	PMID:33412112	Gene Ontology (GO) - Experimental Evidence
142	GO:0090734	PMID:22683995|PMID:26626479|PMID:26626480|PMID:30104678|PMID:30675909|PMID:31796734|PMID:32028527|PMID:32241924|PMID:32358582|PMID:33186521|PMID:34795260|PMID:34874266	Gene Ontology (GO) - Experimental Evidence
147	GO:0005886	PMID:24567387	Gene Ontology (GO) - Experimental Evidence
148	GO:0005886	PMID:24567387	Gene Ontology (GO) - Experimental Evidence
150	GO:0005886	PMID:29069590	Gene Ontology (GO) - Experimental Evidence
151	GO:0005886	PMID:29069590	Gene Ontology (GO) - Experimental Evidence
152	GO:0005886	PMID:16605244	Gene Ontology (GO) - Experimental Evidence
154	GO:0005886	PMID:19584355	Gene Ontology (GO) - Experimental Evidence
155	GO:0005886	PMID:19584355	Gene Ontology (GO) - Experimental Evidence
181	GO:0005615	PMID:15927146	Gene Ontology (GO) - Experimental Evidence
183	GO:0005615	PMID:4300938	Gene Ontology (GO) - Experimental Evidence
187	GO:0005886	PMID:35817871|PMID:38428423	Gene Ontology (GO) - Experimental Evidence
196	GO:0005634	PMID:28602820|PMID:32866000|PMID:34521881	Gene Ontology (GO) - Experimental Evidence
207	GO:0005634	PMID:20333297	Gene Ontology (GO) - Experimental Evidence
207	GO:0005737	PMID:19203586|PMID:26440888	Gene Ontology (GO) - Experimental Evidence
207	GO:0005829	PMID:21045808	Gene Ontology (GO) - Experimental Evidence
207	GO:0016020	PMID:24529379	Gene Ontology (GO) - Experimental Evidence
212	GO:0005743	PMID:14643893	Gene Ontology (GO) - Experimental Evidence
238	GO:0005886	PMID:34646012|PMID:34819673	Gene Ontology (GO) - Experimental Evidence
249	GO:0005886	PMID:2220817|PMID:33821301	Gene Ontology (GO) - Experimental Evidence
267	GO:0005789	PMID:11724934	Gene Ontology (GO) - Experimental Evidence
268	GO:0005615	PMID:3754790	Gene Ontology (GO) - Experimental Evidence
269	GO:0005886	PMID:11549681	Gene Ontology (GO) - Experimental Evidence
283	GO:0005615	PMID:29748193	Gene Ontology (GO) - Experimental Evidence
283	GO:0005634	PMID:23047679|PMID:23843625	Gene Ontology (GO) - Experimental Evidence
283	GO:0005737	PMID:23047679|PMID:23843625	Gene Ontology (GO) - Experimental Evidence
284	GO:0005615	PMID:10218485	Gene Ontology (GO) - Experimental Evidence
285	GO:0005615	PMID:10218485	Gene Ontology (GO) - Experimental Evidence
314	GO:0005886	PMID:19588076	Gene Ontology (GO) - Experimental Evidence
322	GO:0005737	PMID:18468999	Gene Ontology (GO) - Experimental Evidence
331	GO:0005737	PMID:15665297	Gene Ontology (GO) - Experimental Evidence
335	GO:0005615	PMID:22664934	Gene Ontology (GO) - Experimental Evidence
336	GO:0005615	PMID:24116940	Gene Ontology (GO) - Experimental Evidence
338	GO:0005615	PMID:9633939|PMID:26224785	Gene Ontology (GO) - Experimental Evidence
348	GO:0005615	PMID:30333625	Gene Ontology (GO) - Experimental Evidence
348	GO:0043083	PMID:22637583	Gene Ontology (GO) - Experimental Evidence
348	GO:0098978	PMID:22637583	Gene Ontology (GO) - Experimental Evidence
351	GO:0005615	PMID:29518356	Gene Ontology (GO) - Experimental Evidence
351	GO:0030425	PMID:24012003	Gene Ontology (GO) - Experimental Evidence
351	GO:0031901	PMID:16174740	Gene Ontology (GO) - Experimental Evidence
355	GO:0005886	PMID:21625644	Gene Ontology (GO) - Experimental Evidence
356	GO:0005615	PMID:9228058	Gene Ontology (GO) - Experimental Evidence
366	GO:0005886	PMID:9514918	Gene Ontology (GO) - Experimental Evidence
367	GO:0005634	PMID:15572661	Gene Ontology (GO) - Experimental Evidence
368	GO:0005576	PMID:28592560	Gene Ontology (GO) - Experimental Evidence
373	GO:0005737	PMID:28871090	Gene Ontology (GO) - Experimental Evidence
374	GO:0005615	PMID:8702723	Gene Ontology (GO) - Experimental Evidence
382	GO:0005794	PMID:37461827	Gene Ontology (GO) - Experimental Evidence
382	GO:0005829	PMID:32103017	Gene Ontology (GO) - Experimental Evidence
382	GO:0005886	PMID:32103017	Gene Ontology (GO) - Experimental Evidence
382	GO:0030496	PMID:16148947	Gene Ontology (GO) - Experimental Evidence
382	GO:0032154	PMID:16148947	Gene Ontology (GO) - Experimental Evidence
387	GO:0005829	PMID:1328215	Gene Ontology (GO) - Experimental Evidence
387	GO:0098794	PMID:21423166|PMID:24352656	Gene Ontology (GO) - Experimental Evidence
387	GO:0098978	PMID:21423166|PMID:24352656	Gene Ontology (GO) - Experimental Evidence
391	GO:0098794	PMID:21900250	Gene Ontology (GO) - Experimental Evidence
391	GO:0098978	PMID:21900250	Gene Ontology (GO) - Experimental Evidence
408	GO:0005737	PMID:15611106|PMID:16325578	Gene Ontology (GO) - Experimental Evidence
409	GO:0005737	PMID:15611106|PMID:16325578	Gene Ontology (GO) - Experimental Evidence
409	GO:0005886	PMID:18604210	Gene Ontology (GO) - Experimental Evidence
434	GO:0005615	PMID:36536132	Gene Ontology (GO) - Experimental Evidence
439	GO:0005789	PMID:32910895	Gene Ontology (GO) - Experimental Evidence
468	GO:0005634	PMID:23123191	Gene Ontology (GO) - Experimental Evidence
472	GO:0005634	PMID:26323318	Gene Ontology (GO) - Experimental Evidence
472	GO:0005782	PMID:26344566	Gene Ontology (GO) - Experimental Evidence
472	GO:0035861	PMID:26240375	Gene Ontology (GO) - Experimental Evidence
476	GO:0005886	PMID:7711835	Gene Ontology (GO) - Experimental Evidence
491	GO:0098978	PMID:7929331	Gene Ontology (GO) - Experimental Evidence
491	GO:0098982	PMID:7929331	Gene Ontology (GO) - Experimental Evidence
492	GO:0098978	PMID:18029012	Gene Ontology (GO) - Experimental Evidence
492	GO:0098982	PMID:18029012	Gene Ontology (GO) - Experimental Evidence
501	GO:0000139	PMID:31492851	Gene Ontology (GO) - Experimental Evidence
501	GO:0005886	PMID:31492851|PMID:40233740	Gene Ontology (GO) - Experimental Evidence
545	GO:0005635	PMID:25083873|PMID:37788673|PMID:37832547	Gene Ontology (GO) - Experimental Evidence
545	GO:0090734	PMID:21777809	Gene Ontology (GO) - Experimental Evidence
551	GO:0005615	PMID:33713620	Gene Ontology (GO) - Experimental Evidence
554	GO:0005886	PMID:33742150	Gene Ontology (GO) - Experimental Evidence
578	GO:0005741	PMID:22006182	Gene Ontology (GO) - Experimental Evidence
595	GO:0005737	PMID:29279382	Gene Ontology (GO) - Experimental Evidence
596	GO:0005741	PMID:21358617	Gene Ontology (GO) - Experimental Evidence
596	GO:0005789	PMID:21358617	Gene Ontology (GO) - Experimental Evidence
629	GO:0106139	PMID:30643019	Gene Ontology (GO) - Experimental Evidence
644	GO:0005829	PMID:7929092|PMID:8424666	Gene Ontology (GO) - Experimental Evidence
645	GO:0005737	PMID:38056462	Gene Ontology (GO) - Experimental Evidence
650	GO:0005615	PMID:22227436	Gene Ontology (GO) - Experimental Evidence
652	GO:0005615	PMID:16604073	Gene Ontology (GO) - Experimental Evidence
655	GO:0005615	PMID:17977014	Gene Ontology (GO) - Experimental Evidence
