source	target	reference	reference_source
1139	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
89832	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
1136	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
1141	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
9228	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
57555	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
321	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
10211	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
84189	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
26037	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
84631	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
26280	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
3556	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
139065	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
81858	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
91683	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
114798	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
8541	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
143425	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
26050	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
8495	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
11141	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
50944	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
5789	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
22941	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
8497	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
5792	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
127833	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
4916	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
8500	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
6812	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
10313	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
94030	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
8499	KE:10	https://doi.org/10.5281/zenodo.7980953	https://doi.org/10.5281/zenodo.7980953
