id	name	oecd_status	node_type
AOP:3	Inhibition of the mitochondrial complex I of nigro-striatal neurons leads to parkinsonian motor deficits	WPHA/WNT Endorsed	AOP
AOP:4	Ecdysone receptor agonism leading to incomplete ecdysis associated mortality		AOP
AOP:6	Antagonist binding to PPARα leading to body-weight loss	WPHA/WNT Endorsed	AOP
AOP:7	Aromatase (Cyp19a1) reduction leading to impaired fertility in adult female	Under Review	AOP
AOP:8	Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals	Under Development	AOP
AOP:10	Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain	WPHA/WNT Endorsed	AOP
AOP:12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging	WPHA/WNT Endorsed	AOP
AOP:13	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities	WPHA/WNT Endorsed	AOP
AOP:15	Alkylation of DNA in male pre-meiotic germ cells leading to heritable mutations	WPHA/WNT Endorsed	AOP
AOP:16	Acetylcholinesterase inhibition leading to acute mortality	Under Development	AOP
AOP:17	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory	WPHA/WNT Endorsed	AOP
AOP:18	PPARα activation in utero leading to impaired fertility in males	Under Review	AOP
AOP:19	Androgen receptor antagonism leading to adverse effects in the male foetus (mammals)		AOP
AOP:21	Aryl hydrocarbon receptor activation leading to early life stage mortality, via increased COX-2	WPHA/WNT Endorsed	AOP
AOP:23	Androgen receptor agonism leading to reproductive dysfunction (in repeat-spawning fish)	WPHA/WNT Endorsed	AOP
AOP:25	Aromatase inhibition leading to reproductive dysfunction	WPHA/WNT Endorsed	AOP
AOP:27	Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11)	Under Development	AOP
AOP:28	Cyclooxygenase inhibition leading reproductive failure		AOP
AOP:30	Estrogen receptor antagonism leading to reproductive dysfunction	Under Review	AOP
AOP:34	LXR activation leading to hepatic steatosis		AOP
AOP:36	Peroxisomal Fatty Acid Beta-Oxidation Inhibition Leading to Steatosis		AOP
AOP:37	PPARα activation leading to hepatocellular adenomas and carcinomas in rodents	Under Development	AOP
AOP:38	Protein Alkylation leading to Liver Fibrosis	WPHA/WNT Endorsed	AOP
AOP:39	Covalent Binding, Protein, leading to Increase, Allergic Respiratory Hypersensitivity Response	Under Development	AOP
AOP:40	Covalent Protein binding leading to Skin Sensitisation	WPHA/WNT Endorsed	AOP
AOP:41	Sustained AhR Activation leading to Rodent Liver Tumours	Under Review	AOP
AOP:42	Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals	WPHA/WNT Endorsed	AOP
AOP:43	Disruption of VEGFR Signaling Leading to Developmental Defects	WPHA/WNT Endorsed	AOP
AOP:48	Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.	WPHA/WNT Endorsed	AOP
AOP:54	Inhibition of Na+/I- symporter (NIS) leads to learning and memory impairment	WPHA/WNT Endorsed	AOP
AOP:58	NR1I3 (CAR) suppression leading to hepatic steatosis		AOP
AOP:60	NR1I2 (Pregnane X Receptor, PXR)  activation leading to hepatic steatosis		AOP
AOP:62	AKT2 activation leading to hepatic steatosis		AOP
AOP:63	Cyclooxygenase inhibition leading to reproductive dysfunction		AOP
AOP:64	Glucocorticoid Receptor (GR) Mediated Adult Leydig Cell Dysfunction Leading to Decreased Male Fertility		AOP
AOP:69	Modulation of Adult Leydig Cell Function Subsequent to Decreased Cholesterol Synthesis or Transport in the Adult Leydig Cell		AOP
AOP:73	Xenobiotic Inhibition of Dopamine-beta-Hydroxylase and subsequent reduced fecundity		AOP
AOP:77	Nicotinic acetylcholine receptor activation contributes to abnormal foraging and leads to colony death/failure 1		AOP
