id	name	CASRN	PubChem_CID	node_type
DED000001	4-Hydroxybenzoic acid	CAS:99-96-7	CID:135	Chemical
DED000002	Acetaldehyde	CAS:75-07-0	CID:177	Chemical
DED000003	Benzene	CAS:71-43-2	CID:241	Chemical
DED000004	Octane	CAS:111-65-9	CID:356	Chemical
DED000005	Phloroglucinol	CAS:108-73-6	CID:359	Chemical
DED000006	p-Aminophenol	CAS:123-30-8	CID:403	Chemical
DED000007	Propionaldehyde	CAS:123-38-6	CID:527	Chemical
DED000008	Arsenite	CAS:15502-74-6	CID:544	Chemical
DED000009	Ethanol	CAS:64-17-5	CID:702	Chemical
DED000010	Formaldehyde	CAS:50-00-0	CID:712	Chemical
DED000011	Formamide	CAS:75-12-7	CID:713	Chemical
DED000012	Lindane	CAS:58-89-9	CID:727	Chemical
DED000013	Iodine	CAS:7553-56-2	CID:807	Chemical
DED000014	Methanol	CAS:67-56-1	CID:887	Chemical
DED000015	Nitrate ion	CAS:14797-55-8	CID:943	Chemical
DED000016	Nitrous Oxide	CAS:10024-97-2	CID:948	Chemical
DED000017	p-Nitrophenol	CAS:100-02-7	CID:980	Chemical
DED000018	Parathion	CAS:56-38-2	CID:991	Chemical
DED000019	Pyrazinamide	CAS:98-96-4	CID:1046	Chemical
DED000020	Methylbenzene	CAS:108-88-3	CID:1140	Chemical
DED000021	2,4,6-Tribromophenol	CAS:118-79-6	CID:1483	Chemical
DED000022	2,4-Dichlorophenoxyacetic acid	CAS:94-75-7	CID:1486	Chemical
DED000023	4-(2,4-Dichlorophenoxy)butyric acid	CAS:94-82-6	CID:1489	Chemical
DED000024	3,4-Methylenedioxymethamphetamine	CAS:42542-10-9	CID:1615	Chemical
DED000025	2-Amino-1,3,4-triazole	CAS:61-82-5	CID:1639	Chemical
DED000026	Chlorocresol	CAS:59-50-7	CID:1732	Chemical
DED000027	Acephate	CAS:30560-19-1	CID:1982	Chemical
DED000028	Alachlor	CAS:15972-60-8	CID:2078	Chemical
DED000029	Aminoglutethimide	CAS:125-84-8	CID:2145	Chemical
DED000030	Ampyrone	CAS:83-07-8	CID:2151	Chemical
DED000031	Theophylline	CAS:58-55-9	CID:2153	Chemical
DED000032	Anastrozole	CAS:120511-73-1	CID:2187	Chemical
DED000033	Bisphenol A diglycidyl ether	CAS:1675-54-3	CID:2286	Chemical
DED000034	beta-Naphthoflavone	CAS:6051-87-2	CID:2361	Chemical
DED000035	Busulfan	CAS:55-98-1	CID:2478	Chemical
DED000036	Caffeine	CAS:58-08-2	CID:2519	Chemical
DED000037	Carbofuran	CAS:1563-66-2	CID:2566	Chemical
DED000038	Citalopram	CAS:59729-33-8	CID:2771	Chemical
DED000039	p-Cresol	CAS:106-44-5	CID:2879	Chemical
DED000040	Cyclophosphamide	CAS:50-18-0	CID:2907	Chemical
DED000041	Danthron	CAS:117-10-2	CID:2950	Chemical
DED000042	Dichlorvos	CAS:62-73-7	CID:3039	Chemical
DED000043	Endrin	CAS:72-20-8	CID:12358480	Chemical
DED000044	Benzophenone	CAS:119-61-9	CID:3102	Chemical
DED000045	Diuron	CAS:330-54-1	CID:3120	Chemical
DED000046	Valproic acid	CAS:99-66-1	CID:3121	Chemical
DED000047	Econazole	CAS:27220-47-9	CID:3198	Chemical
DED000048	Emodin	CAS:518-82-1	CID:3220	Chemical
DED000049	Endosulfan	CAS:115-29-7	CID:3224	Chemical
DED000050	Diethyl ether	CAS:60-29-7	CID:3283	Chemical
DED000051	Fenvalerate	CAS:51630-58-1	CID:3347	Chemical
DED000052	Fluoxetine	CAS:54910-89-3	CID:3386	Chemical
DED000053	Rac-[6]-Gingerol	CAS:39886-76-5	CID:3473	Chemical
DED000054	Glutaraldehyde	CAS:111-30-8	CID:3485	Chemical
DED000055	Guanethidine	CAS:55-65-2	CID:3518	Chemical
DED000056	Heptachlor	CAS:76-44-8	CID:3589	Chemical
DED000057	Hexylresorcinol	CAS:136-77-6	CID:3610	Chemical
DED000058	Indole-3-carbinol	CAS:700-06-1	CID:3712	Chemical
DED000059	Indomethacin	CAS:53-86-1	CID:3715	Chemical
DED000060	1-Methyl-3-isobutylxanthine	CAS:28822-58-4	CID:3758	Chemical
DED000061	Isoflurane	CAS:26675-46-7	CID:3763	Chemical
DED000062	Isoniazid	CAS:54-85-3	CID:3767	Chemical
DED000063	Kojic acid	CAS:501-30-4	CID:3840	Chemical
DED000064	Letrozole	CAS:112809-51-5	CID:3902	Chemical
DED000065	Malathion	CAS:121-75-5	CID:4004	Chemical
DED000066	Methamidophos	CAS:10265-92-6	CID:4096	Chemical
DED000067	Methyl parathion	CAS:298-00-0	CID:4130	Chemical
DED000068	Mitotane	CAS:53-19-0	CID:4211	Chemical
DED000069	Nordihydroguaiaretic acid	CAS:500-38-9	CID:4534	Chemical
DED000070	Patulin	CAS:149-29-1	CID:4696	Chemical
DED000071	Phenobarbital	CAS:50-06-6	CID:4763	Chemical
DED000072	Phenolsulfonphthalein	CAS:143-74-8	CID:4766	Chemical
DED000073	Phenothrin	CAS:26002-80-2	CID:4767	Chemical
DED000074	Phloretin	CAS:60-82-2	CID:4788	Chemical
DED000075	Prometryn	CAS:7287-19-6	CID:4929	Chemical
DED000076	Propanil	CAS:709-98-8	CID:4933	Chemical
DED000077	Propazine	CAS:139-40-2	CID:4937	Chemical
DED000078	Raloxifene	CAS:84449-90-1	CID:5035	Chemical
DED000079	Carbamylhydrazine	CAS:57-56-7	CID:5196	Chemical
DED000080	Simazine	CAS:122-34-9	CID:5216	Chemical
DED000081	Sulfathiazole	CAS:72-14-0	CID:5340	Chemical
DED000082	Sulpiride	CAS:15676-16-1	CID:5355	Chemical
DED000083	Tetramethylthiuram disulfide	CAS:137-26-8	CID:5455	Chemical
DED000084	Trifluralin	CAS:1582-09-8	CID:5569	Chemical
DED000085	Zinc chloride	CAS:7646-85-7	CID:5727	Chemical
DED000086	Reserpine	CAS:50-55-5	CID:5770	Chemical
DED000087	3,3',5-Triiodothyroacetic acid	CAS:51-24-1	CID:5803	Chemical
DED000088	Spironolactone	CAS:52-01-7	CID:5833	Chemical
DED000089	Trichlorfon	CAS:52-68-6	CID:5853	Chemical
DED000090	Dibenz(a,h)anthracene	CAS:53-70-3	CID:5889	Chemical
DED000091	Carbon tetrachloride	CAS:56-23-5	CID:5943	Chemical
DED000092	Benz(a)anthracene	CAS:56-55-3	CID:5954	Chemical
DED000093	Chlordane	CAS:12789-03-6	CID:5993	Chemical
DED000094	Testosterone propionate	CAS:57-85-2	CID:5995	Chemical
DED000095	7,12-Dimethylbenz(a)anthracene	CAS:57-97-6	CID:6001	Chemical
DED000096	Methyltestosterone	CAS:58-18-4	CID:6010	Chemical
DED000097	Aniline	CAS:62-53-3	CID:6115	Chemical
DED000098	Carbaryl	CAS:63-25-2	CID:6129	Chemical
DED000099	Colchicine	CAS:64-86-8	CID:6167	Chemical
DED000100	Cycloheximide	CAS:66-81-9	CID:6197	Chemical
DED000101	Chloroform	CAS:67-66-3	CID:6212	Chemical
DED000102	Medroxyprogesterone 17-acetate	CAS:71-58-9	CID:6279	Chemical
DED000103	1,2-Dihydroxy-9,10-anthracenedione	CAS:72-48-0	CID:6293	Chemical
DED000104	Dichlorodiphenyldichloroethane	CAS:72-54-8	CID:6294	Chemical
DED000105	N,N'-Diphenyl-4-phenylenediamine	CAS:74-31-7	CID:6319	Chemical
DED000106	Methyl bromide	CAS:74-83-9	CID:6323	Chemical
DED000107	Myclobutanil	CAS:88671-89-0	CID:6336	Chemical
DED000108	Dichloromethane	CAS:75-09-2	CID:6344	Chemical
DED000109	Carbon disulfide	CAS:75-15-0	CID:6348	Chemical
DED000110	Ethylene oxide	CAS:75-21-8	CID:6354	Chemical
DED000111	2-Bromopropane	CAS:75-26-3	CID:6358	Chemical
DED000112	Bromodichloromethane	CAS:75-27-4	CID:6359	Chemical
DED000113	Trichloroacetic acid	CAS:76-03-9	CID:6421	Chemical
DED000114	Acetyl tributyl citrate	CAS:77-90-7	CID:6505	Chemical
DED000115	Tributyl citrate	CAS:77-94-1	CID:6507	Chemical
DED000116	Tri-p-cresyl phosphate	CAS:78-32-0	CID:6529	Chemical
DED000117	Tri(2-butoxyethyl) phosphate	CAS:78-51-3	CID:6540	Chemical
DED000118	Isoprene	CAS:78-79-5	CID:6557	Chemical
DED000119	Acrylamide	CAS:79-06-1	CID:6579	Chemical
DED000120	Dichloroacetic acid	CAS:79-43-6	CID:6597	Chemical
DED000121	Tetrabromobisphenol A	CAS:79-94-7	CID:6618	Chemical
DED000122	p-tert-Amylphenol	CAS:80-46-6	CID:6643	Chemical
DED000123	Methyl methacrylate	CAS:80-62-6	CID:6658	Chemical
DED000124	Benzanthrone	CAS:82-05-3	CID:6697	Chemical
DED000125	2,6-Dihydroxyanthraquinone	CAS:84-60-6	CID:6776	Chemical
DED000126	Dicyclohexyl phthalate	CAS:84-61-7	CID:6777	Chemical
DED000127	Diisobutyl phthalate	CAS:84-69-5	CID:6782	Chemical
DED000128	Dihexyl phthalate	CAS:84-75-3	CID:6786	Chemical
DED000129	Dinonyl phthalate	CAS:84-76-4	CID:6787	Chemical
DED000130	Santowhite powder	CAS:85-60-9	CID:6815	Chemical
DED000131	Butyl glycolyl butyl phthalate	CAS:85-70-1	CID:6819	Chemical
DED000132	Methylmercury	CAS:22967-92-6	CID:6860	Chemical
DED000133	2,6-Dichlorophenol	CAS:87-65-0	CID:6899	Chemical
DED000134	Versalide	CAS:88-29-9	CID:6930	Chemical
DED000135	Dinoseb	CAS:88-85-7	CID:6950	Chemical
DED000136	Thymol	CAS:89-83-8	CID:6989	Chemical
DED000137	2-Phenyl phenol	CAS:90-43-7	CID:7017	Chemical
DED000138	4,4'-Dihydroxybiphenyl	CAS:92-88-6	CID:7112	Chemical
DED000139	Propyl p-hydroxybenzoate	CAS:94-13-3	CID:7175	Chemical
DED000140	2,4-D butyl ester	CAS:94-80-4	CID:7206	Chemical
DED000141	1,2-Dichlorobenzene	CAS:95-50-1	CID:7239	Chemical
DED000142	1,2,4,5-Tetrachlorobenzene	CAS:12408-10-5	CID:7270	Chemical
