id	name	systems_level_info	node_type
DEDuCT_Endpoint:1	Abnormal development of gonads in offspring	Developmental endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:2	Abnormal estrous cycles	Reproductive endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:3	Abnormal estrous cycles in offspring	Developmental endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:4	Abnormal neuronal distribution	Neurological endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:5	Abnormal neuronal distribution in offspring	Developmental endocrine-mediated perturbations;Neurological endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:6	Abnormal neuronal pigmentation	Neurological endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:7	Abnormal oocyte morphology	Reproductive endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:8	Abnormal proliferation of germ cells	Reproductive endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:9	Abnormal proliferation of granulosa cells	Reproductive endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:10	Abnormal proliferation of neuronal cells	Neurological endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:11	Abnormal proliferation of thyroid cells	Metabolic endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:12	Abnormal sperm morphology	Reproductive endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:13	Abnormal sperm morphology in offspring	Developmental endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:14	Accelerated onset of diabetes	Metabolic endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:15	Accelerated onset of puberty	Reproductive endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:16	Accelerated onset of puberty in offspring	Developmental endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:17	Accumulation of lymphocytes in prostate gland	Immunological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:18	Accumulation of neutrophils in prostate gland	Immunological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:19	Adenocarcinoma	Endocrine-mediated cancer;Metabolic endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:20	Affects GABA-receptors	Neurological endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:21	Affects Progestagen receptor (PR) expression	Reproductive endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:22	Affects TR-mediated gene expression	Metabolic endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:23	Affects Transthyretin (TTR) levels	Metabolic endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:24	Affects Wnt signaling pathway	Developmental endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:25	Affects acetylcholinesterase activity	Neurological endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:26	Affects alpha-cells population in islets of Langerhans	Metabolic endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:27	Affects amino acid metabolism	Metabolic endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:28	Affects androgen production	Reproductive endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:29	Affects androgen signaling	Reproductive endocrine-mediated perturbations	DEDuCT_endpoint
DEDuCT_Endpoint:30	Affects anogenital distance	Reproductive endocrine-mediated perturbations	DEDuCT_endpoint
