id	name	node_type
1109	AKR1C4	Gene
1645	AKR1C1	Gene
1646	AKR1C2	Gene
3141	HLCS	Gene
3952	LEP	Gene
6817	SULT1A1	Gene
8644	AKR1C3	Gene
10059	DNM1L	Gene
10138	YAF2	Gene
1019	CDK4	Gene
10253	SPRY2	Gene
1026	CDKN1A	Gene
10265	IRX5	Gene
1051	CEBPB	Gene
10637	LEFTY1	Gene
1119	CHKA	Gene
1268	CNR1	Gene
1277	COL1A1	Gene
1278	COL1A2	Gene
1280	COL2A1	Gene
1282	COL4A1	Gene
1490	CCN2	Gene
153364	MBLAC2	Gene
1536	CYBB	Gene
1649	DDIT3	Gene
1756	DMD	Gene
1850	DUSP8	Gene
18811	PRL2C2	Gene
1938	EEF2	Gene
1942	EFNA1	Gene
1958	EGR1	Gene
1974	EIF4A2	Gene
2034	EPAS1	Gene
2043	EPHA4	Gene
2064	ERBB2	Gene
2118	ETV4	Gene
2122	MECOM	Gene
2128	EVX1	Gene
217	ALDH2	Gene
2177	FANCD2	Gene
221079	ARL5B	Gene
2253	FGF8	Gene
22888	UBOX5	Gene
2290	FOXG1	Gene
22943	DKK1	Gene
23035	PHLPP2	Gene
2335	FN1	Gene
2353	FOS	Gene
2495	FTH1	Gene
25	ABL1	Gene
2539	G6PD	Gene
255738	PCSK9	Gene
26050	SLITRK5	Gene
2619	GAS1	Gene
2637	GBX2	Gene
2669	GEM	Gene
27111	SDCBP2	Gene
27289	RND1	Gene
2729	GCLC	Gene
2736	GLI2	Gene
2741	GLRA1	Gene
27412	PEG12	Gene
283687	ST20-AS1	Gene
29923	HILPDA	Gene
3087	HHEX	Gene
3091	HIF1A	Gene
3164	NR4A1	Gene
3170	FOXA2	Gene
3211	HOXB1	Gene
3214	HOXB4	Gene
3215	HOXB5	Gene
3221	HOXC4	Gene
3233	HOXD4	Gene
3280	HES1	Gene
3456	IFNB1	Gene
3553	IL1B	Gene
3569	IL6	Gene
3576	CXCL8	Gene
3725	JUN	Gene
