id	name	node_type
GO:0006754	ATP biosynthetic process	Phenotype
GO:0030099	myeloid cell differentiation	Phenotype
GO:0045930	negative regulation of mitotic cell cycle	Phenotype
GO:0019226	transmission of nerve impulse	Phenotype
GO:0044237	cellular metabolic process	Phenotype
GO:0006631	fatty acid metabolic process	Phenotype
GO:0030317	flagellated sperm motility	Phenotype
GO:0008584	male gonad development	Phenotype
GO:0019217	regulation of fatty acid metabolic process	Phenotype
GO:2001279	regulation of unsaturated fatty acid biosynthetic process	Phenotype
GO:0019046	release from viral latency	Phenotype
GO:0008283	cell population proliferation	Phenotype
GO:0043065	positive regulation of apoptotic process	Phenotype
GO:0045654	positive regulation of megakaryocyte differentiation	Phenotype
GO:0034109	homotypic cell-cell adhesion	Phenotype
GO:0010942	positive regulation of cell death	Phenotype
GO:0008285	negative regulation of cell population proliferation	Phenotype
GO:0097327	response to antineoplastic agent	Phenotype
GO:0043525	positive regulation of neuron apoptotic process	Phenotype
GO:0006915	apoptotic process	Phenotype
GO:0006309	apoptotic DNA fragmentation	Phenotype
GO:0060326	cell chemotaxis	Phenotype
GO:0097153	cysteine-type endopeptidase activity involved in apoptotic process	Phenotype
GO:0045023	G0 to G1 transition	Phenotype
GO:0000084	mitotic S phase	Phenotype
GO:0070265	necrotic cell death	Phenotype
GO:0072593	reactive oxygen species metabolic process	Phenotype
GO:0051881	regulation of mitochondrial membrane potential	Phenotype
GO:0006629	lipid metabolic process	Phenotype
GO:0052697	xenobiotic glucuronidation	Phenotype
GO:0030185	nitric oxide transport	Phenotype
GO:0006749	glutathione metabolic process	Phenotype
GO:0030336	negative regulation of cell migration	Phenotype
GO:0008284	positive regulation of cell population proliferation	Phenotype
GO:0051092	positive regulation of NF-kappaB transcription factor activity	Phenotype
GO:0007049	cell cycle	Phenotype
GO:0003677	DNA binding	Phenotype
GO:0071897	DNA biosynthetic process	Phenotype
GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	Phenotype
GO:1903047	mitotic cell cycle process	Phenotype
GO:0032993	protein-DNA complex	Phenotype
GO:0042744	hydrogen peroxide catabolic process	Phenotype
GO:0034440	lipid oxidation	Phenotype
GO:0046466	membrane lipid catabolic process	Phenotype
GO:1903428	positive regulation of reactive oxygen species biosynthetic process	Phenotype
GO:0048386	positive regulation of retinoic acid receptor signaling pathway	Phenotype
GO:0019430	removal of superoxide radicals	Phenotype
GO:0097176	epoxide metabolic process	Phenotype
GO:0032148	activation of protein kinase B activity	Phenotype
GO:0061154	endothelial tube morphogenesis	Phenotype
GO:0006690	icosanoid metabolic process	Phenotype
GO:1905447	negative regulation of mitochondrial ATP synthesis coupled electron transport	Phenotype
GO:0010917	negative regulation of mitochondrial membrane potential	Phenotype
GO:0045906	negative regulation of vasoconstriction	Phenotype
GO:0001938	positive regulation of endothelial cell proliferation	Phenotype
GO:0005776	autophagosome	Phenotype
GO:0071492	cellular response to UV-A	Phenotype
GO:0007635	chemosensory behavior	Phenotype
GO:0042632	cholesterol homeostasis	Phenotype
GO:0070994	detection of oxidative stress	Phenotype
GO:0006304	DNA modification	Phenotype
GO:0007029	endoplasmic reticulum organization	Phenotype
GO:0005764	lysosome	Phenotype
GO:0007005	mitochondrion organization	Phenotype
GO:0000423	mitophagy	Phenotype
GO:1901670	negative regulation of superoxide dismutase activity	Phenotype
GO:0061908	phagophore	Phenotype
GO:1900119	positive regulation of execution phase of apoptosis	Phenotype
GO:0006801	superoxide metabolic process	Phenotype
GO:0031982	vesicle	Phenotype
